Eco_code,Biome_ID,Realm,Ecoregion_name,Assigned_habitat_type,Ecoregion_Area_km2,Global_area_share ,Sorg_plants,Sorg_birds,Sorg_mammals,Sorg_amphibians,Sorg_reptiles,VS_plants,VS_birds,VS_mammals,VS_amphibians,VS_reptiles
AT1316,13,AT,Namibian savanna woodlands,non-forest,226006,0.001716,1100,303,97,13,111,0.041069,0.011591836,0.021889009,0.202402644,0.018733041
AT1318,13,AT,Socotra Island xeric shrublands,island,3676,0.000028,750,78,3,0,28,0.057549,0.028082221,0.003427765,0,0.301650955
AT1319,13,AT,Somali montane xeric woodlands,non-forest,62358,0.000473,1500,159,60,13,43,0.008059,0.017532349,0.019540566,0.006348682,0.008383316
AT1320,13,AT,Southwestern Arabian foothills savanna,non-forest,275274,0.00209,400,210,69,4,66,0.015329,0.016063133,0.020035886,0.25234116,0.119535604
AT1321,13,AT,Southwestern Arabian montane woodlands,non-forest,87095,0.000661,2000,116,53,1,30,0.015329,0.019990597,0.012548049,0.083493393,0.057346187
AT1322,13,AT,Succulent Karoo,non-forest,102548,0.000778,4850,225,75,15,89,0.041069,0.01251718,0.042926257,0.108755831,0.014906158
AT1401,14,AT,Central African mangroves,forest,27939,0.000212,200,217,31,3,8,0.014139,0.00467309,0.033975064,0.412409517,0.021793355
AT1402,14,AT,East African mangroves,forest,14608,0.000111,200,235,33,3,7,0.012072,0.003094345,0.024088932,0.46500454,0.033012488
AT1403,14,AT,Guinean mangroves,forest,22317,0.000169,200,191,32,2,7,0.004783,0.002272871,0.013779419,0.196330598,0.172192862
AT1404,14,AT,Madagascar mangroves,island,4962,0.000038,200,125,35,2,3,0.057549,0.004522263,0.030836211,0.636094624,0.40768882
AT1405,14,AT,Southern Africa mangroves,forest,948,0.000007,200,224,20,2,5,0.029942,0.000245025,0.001141811,0.076181136,0.033254572
IM0101,1,IM,Andaman Islands rain forests,island,5123,0.000039,1827,123,8,0,0,0.033454,0.019674803,0.451229858,0,0
IM0102,1,IM,Borneo lowland rain forests,island,426844,0.00324,10000,467,202,150,230,0.033454,0.052073304,0.15576882,0.229328588,0.066083465
IM0103,1,IM,Borneo montane rain forests,island,115864,0.000879,4000,256,178,46,107,0.033454,0.040647917,0.070816273,0.401607904,0.052607418
IM0104,1,IM,Borneo peat swamp forests,island,67033,0.000509,2500,396,166,45,119,0.033454,0.009193409,0.023027371,0.037604168,0.021227149
IM0105,1,IM,Brahmaputra Valley semi-evergreen forests,forest,56840,0.000431,2500,372,141,15,3,0.023656,0.012660638,0.020169662,0.282466599,0.206149728
IM0106,1,IM,Cardamom Mountains rain forests,forest,43961,0.000334,3000,324,118,19,69,0.012826,0.004876367,0.016149432,0.259038001,0.029516747
IM0107,1,IM,Chao Phraya freshwater swamp forests,forest,39081,0.000297,1100,307,159,14,50,0.012826,0.001873664,0.007678901,0.014769867,0.071758091
IM0108,1,IM,Chao Phraya lowland moist deciduous forests,forest,20265,0.000154,2000,368,155,24,65,0.012826,0.001338629,0.006386777,0.05779141,0.020919471
IM0109,1,IM,Chin Hills-Arakan Yoma montane forests,forest,29762,0.000226,2600,414,106,1,7,0.012826,0.00417772,0.00965885,0.088600465,0.087705259
IM0110,1,IM,Christmas and Cocos Islands tropical forests,island,128,0.000001,220,19,3,0,10,0.033454,0.019449934,0.097548783,0,0.028576039
IM0111,1,IM,Eastern highlands moist deciduous forests,forest,341835,0.002595,1600,313,100,11,33,0.010861,0.018988759,0.026415367,0.329667718,0.114270847
IM0112,1,IM,Eastern Java-Bali montane rain forests,island,15928,0.000121,1500,213,106,21,66,0.033454,0.013109359,0.017880282,0.038807227,0.011618855
IM0113,1,IM,Eastern Java-Bali rain forests,island,52380,0.000398,2900,346,116,28,91,0.033454,0.011462678,0.042421772,0.021972338,0.009891505
IM0114,1,IM,Greater Negros-Panay rain forests,island,34071,0.000259,3000,283,48,27,97,0.089254,0.039862495,0.145045598,0.216328037,0.159605829
IM0115,1,IM,Himalayan subtropical broadleaf forests,forest,38291,0.000291,1800,343,148,5,2,0.023656,0.006373193,0.016772994,0.436398346,0.536591523
IM0116,1,IM,Irrawaddy freshwater swamp forests,forest,15195,0.000115,1000,269,57,1,6,0.012826,0.001117702,0.001351627,0.011910515,0.223487042
IM0117,1,IM,Irrawaddy moist deciduous forests,forest,138590,0.001052,1800,342,178,16,48,0.012826,0.0120629,0.016714137,0.092227668,0.126971769
IM0118,1,IM,Jian Nan subtropical evergreen forests,forest,663618,0.005037,5500,564,137,96,148,0.00591,0.021578195,0.041376917,0.237621214,0.04711406
IM0119,1,IM,Kayah-Karen montane rain forests,forest,119808,0.000909,4000,568,198,54,112,0.012826,0.010058462,0.018330416,0.16091979,0.02710874
IM0120,1,IM,Lower Gangetic Plains moist deciduous forests,forest,254352,0.001931,3500,383,179,15,42,0.010861,0.010637885,0.010226591,0.097021776,0.021483781
IM0121,1,IM,Luang Prabang montane rain forests,forest,71968,0.000546,3800,541,165,32,78,0.012826,0.004918895,0.023023049,0.079091103,0.028104674
IM0122,1,IM,Luzon montane rain forests,island,8320,0.000063,1500,163,32,14,55,0.089254,0.016768623,0.058284025,0.092061243,0.034148163
IM0123,1,IM,Luzon rain forests,island,93383,0.000709,5000,365,74,36,116,0.089254,0.054223718,0.147923762,0.368282376,0.147281249
IM0124,1,IM,Malabar Coast moist forests,forest,34391,0.000261,1500,280,89,20,46,0.010861,0.003219317,0.022575331,0.352163681,0.117948997
IM0125,1,IM,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,island,409,0.000003,380,57,2,0,6,0.089254,8.89E-05,0.000327815,0,0.000657389
IM0126,1,IM,Meghalaya subtropical forests,forest,41801,0.000317,3000,443,145,35,52,0.012826,0.00679178,0.011833324,0.282310843,0.008352145
IM0127,1,IM,Mentawai Islands rain forests,island,6078,0.000046,1500,212,43,15,63,0.033454,0.004123167,0.22875251,0.031719657,0.011462139
IM0128,1,IM,Mindanao montane rain forests,island,18240,0.000138,2000,173,50,31,78,0.089254,0.049855767,0.110045082,0.163012013,0.061443176
IM0129,1,IM,Mindanao-Eastern Visayas rain forests,island,102456,0.000778,4300,327,78,46,131,0.089254,0.059101865,0.136762988,0.226442723,0.12116628
IM0130,1,IM,Mindoro rain forests,island,9802,0.000074,2500,238,36,15,57,0.089254,0.019279528,0.216918876,0.113580532,0.014596966
IM0131,1,IM,Mizoram-Manipur-Kachin rain forests,forest,135855,0.001031,3800,580,181,20,71,0.012826,0.012047522,0.023790348,0.451678496,0.047710486
IM0132,1,IM,Myanmar coastal rain forests,forest,64927,0.000493,2200,357,149,4,55,0.012826,0.00652221,0.006427585,0.521377143,0.072258971
IM0133,1,IM,Nicobar Islands rain forests,island,1541,0.000012,1379,82,12,5,43,0.033454,0.024667419,0.169886587,0.156203622,0.003650684
IM0134,1,IM,North Western Ghats moist deciduous forests,forest,48284,0.000367,2300,346,99,13,43,0.102876,0.004612689,0.006537011,0.781019179,0.081172964
IM0135,1,IM,North Western Ghats montane rain forests,forest,31017,0.000235,2800,327,91,50,16,0.102876,0.005398877,0.01848372,0.410279406,0.283397877
IM0136,1,IM,Northern Annamites rain forests,forest,47314,0.000359,3000,524,137,20,47,0.012826,0.005911394,0.077104841,0.30558074,0.101568005
IM0137,1,IM,Northern Indochina subtropical forests,forest,437970,0.003324,7000,847,274,112,166,0.012826,0.024651574,0.072882836,0.346618341,0.061773234
IM0138,1,IM,Northern Khorat Plateau moist deciduous forests,forest,16886,0.000128,1500,390,122,21,51,0.012826,0.000733036,0.003497564,0.005367408,0.025719285
IM0139,1,IM,Northern Thailand-Laos moist deciduous forests,forest,42241,0.000321,2300,379,175,24,63,0.012826,0.003447484,0.009862436,0.047272465,0.006727268
IM0140,1,IM,Northern Triangle subtropical forests,forest,53992,0.00041,3500,372,177,31,43,0.012826,0.008862483,0.027351964,0.125501564,0.015593133
IM0141,1,IM,Northern Vietnam lowland rain forests,forest,22216,0.000169,2800,306,139,11,42,0.012826,0.005555012,0.016647344,0.121354871,0.034888531
IM0142,1,IM,Orissa semi-evergreen forests,forest,21434,0.000163,1400,215,64,15,23,0.010861,0.001510328,0.00157283,0.00515778,0.05122256
IM0143,1,IM,Palawan rain forests,island,13309,0.000101,2700,246,54,25,71,0.089254,0.022205172,0.127978026,0.204164213,0.080127308
IM0144,1,IM,Peninsular Malaysian montane rain forests,forest,17207,0.000131,3200,258,191,40,92,0.033454,0.0084474,0.022501955,0.112896599,0.046956689
IM0145,1,IM,Peninsular Malaysian peat swamp forests,forest,3636,0.000028,1100,381,154,22,38,0.033454,0.000612713,0.002713577,0.013574825,0.007066531
IM0146,1,IM,Peninsular Malaysian rain forests,forest,123657,0.000939,7000,452,203,76,155,0.033454,0.018470731,0.076813128,0.250656499,0.075653329
IM0147,1,IM,Red River freshwater swamp forests,forest,10768,0.000082,800,276,113,13,15,0.012826,0.000970709,0.002867487,0.010082587,0.036553461
IM0148,1,IM,South China Sea Islands,island,22,0,400,0,0,0,2,0.012081,0,0,0,0.000122542
IM0149,1,IM,South China-Vietnam subtropical evergreen forests,forest,222848,0.001692,6500,694,151,90,154,0.012826,0.007655385,0.04584522,0.133426925,0.050395594
IM0150,1,IM,South Western Ghats moist deciduous forests,forest,23827,0.000181,2300,323,106,20,56,0.102876,0.007973421,0.033583232,0.688088231,0.300149731
IM0151,1,IM,South Western Ghats montane rain forests,forest,22680,0.000172,3300,309,102,66,99,0.102876,0.012560346,0.047760361,0.58622167,0.23763285
IM0152,1,IM,Southern Annamites montane rain forests,forest,46580,0.000354,4000,414,146,36,85,0.012826,0.017421529,0.026764613,0.64457659,0.117793638
IM0153,1,IM,Southwest Borneo freshwater swamp forests,island,36746,0.000279,1400,361,127,49,118,0.033454,0.008189405,0.012173034,0.008219549,0.010634296
IM0154,1,IM,Sri Lanka lowland rain forests,island,12576,0.000095,2000,229,77,43,45,0.084978,0.025049301,0.083926779,0.708031937,0.09961733
IM0155,1,IM,Sri Lanka montane rain forests,island,3081,0.000023,2200,179,82,36,61,0.084978,0.01296122,0.044554306,0.461482999,0.030993901
IM0156,1,IM,Sulu Archipelago rain forests,island,1701,0.000013,1400,184,17,14,60,0.089254,0.012778136,0.040298002,0.023716402,0.043172709
IM0157,1,IM,Sumatran freshwater swamp forests,island,18065,0.000137,1600,391,143,42,123,0.033454,0.00265098,0.006135306,0.007038278,0.003415534
IM0158,1,IM,Sumatran lowland rain forests,island,257446,0.001954,7500,308,172,62,188,0.033454,0.05252926,0.09628838,0.149765403,0.081240059
IM0159,1,IM,Sumatran montane rain forests,island,73100,0.000555,3500,391,166,34,112,0.033454,0.03029076,0.072694305,0.374490869,0.107692549
IM0160,1,IM,Sumatran peat swamp forests,island,87342,0.000663,2000,463,137,36,118,0.033454,0.010879394,0.02054707,0.050427309,0.02239625
IM0161,1,IM,Sundaland heath forests,island,76270,0.000579,1600,353,151,46,125,0.033454,0.010089528,0.023162017,0.047379006,0.026275176
IM0162,1,IM,Sundarbans freshwater swamp forests,forest,14587,0.000111,800,189,61,2,30,0.010861,0.00119266,0.001222757,0.01934148,0.001778962
IM0163,1,IM,Tenasserim-South Thailand semi-evergreen rain forests,forest,96721,0.000734,4000,560,193,65,153,0.012826,0.009116262,0.028134914,0.135181294,0.029631162
IM0164,1,IM,Tonle Sap freshwater swamp forests,forest,25694,0.000195,800,299,99,8,29,0.012826,0.001874817,0.00281731,0.00724052,0.033906641
IM0165,1,IM,Tonle Sap-Mekong peat swamp forests,forest,29324,0.000223,700,301,100,10,33,0.012826,0.002077313,0.00302254,0.005313611,0.020273704
IM0166,1,IM,Upper Gangetic Plains moist deciduous forests,forest,263683,0.002002,2100,293,123,7,33,0.010861,0.014587972,0.020893163,0.240143479,0.020002865
IM0167,1,IM,Western Java montane rain forests,island,26344,0.0002,2000,235,125,25,76,0.033454,0.036986115,0.078021748,0.213408655,0.024859246
IM0168,1,IM,Western Java rain forests,island,40574,0.000308,3500,355,121,33,112,0.033454,0.009701353,0.046725462,0.050502811,0.019540066
IM0169,1,IM,Hainan Island monsoon rain forests,island,15561,0.000118,3000,315,89,39,86,0.012826,0.006188979,0.034008074,0.202879581,0.010767139
IM0170,1,IM,Nansei Islands subtropical evergreen forests,island,3814,0.000029,2000,138,20,27,48,0.035786,0.01568893,0.241390522,0.189995237,0.015956789
IM0171,1,IM,South Taiwan monsoon rain forests,island,2543,0.000019,2700,322,60,26,40,0.104896,0.001300721,0.003957673,0.018661954,0.004833458
IM0172,1,IM,Taiwan subtropical evergreen forests,island,33338,0.000253,3000,333,64,34,88,0.104896,0.018958358,0.091517641,0.230472835,0.026143538
IM0201,2,IM,Central Deccan Plateau dry deciduous forests,forest,240649,0.001827,1800,298,94,9,28,0.010861,0.013429433,0.015218836,0.088293687,0.141813485
IM0202,2,IM,Central Indochina dry forests,forest,320765,0.002435,3000,491,216,26,73,0.012826,0.014330291,0.033176076,0.205987567,0.083130709
IM0203,2,IM,Chhota-Nagpur dry deciduous forests,forest,122693,0.000931,1200,268,103,5,25,0.010861,0.009862513,0.017063179,0.035099102,0.013166566
IM0204,2,IM,East Deccan dry-evergreen forests,forest,25234,0.000192,1200,230,70,13,45,0.010861,0.001242455,0.001830803,0.005077952,0.003482909
IM0205,2,IM,Irrawaddy dry forests,forest,35160,0.000267,1000,338,153,1,4,0.012826,0.00276345,0.003470978,0.051971555,0.59871019
IM0206,2,IM,Khathiar-Gir dry deciduous forests,forest,267171,0.002028,1400,299,98,4,39,0.010861,0.013135923,0.012358354,0.026693083,0.050422473
IM0207,2,IM,Narmada Valley dry deciduous forests,forest,170267,0.001292,1000,276,103,4,20,0.010861,0.013414907,0.01816262,0.175410576,0.191072997
IM0208,2,IM,Northern dry deciduous forests,forest,58446,0.000444,1000,261,79,2,9,0.010861,0.003790697,0.003719273,0.089586804,0.038302966
IM0209,2,IM,South Deccan Plateau dry deciduous forests,forest,82440,0.000626,2000,261,111,8,36,0.010861,0.00751078,0.024412332,0.189412084,0.243370084
IM0210,2,IM,Southeastern Indochina dry evergreen forests,forest,124519,0.000945,4000,454,167,29,95,0.012826,0.01144674,0.041823162,0.312369725,0.073664343
IM0211,2,IM,Southern Vietnam lowland dry forests,forest,34208,0.00026,1700,320,121,10,64,0.012826,0.004087763,0.017260031,0.484259236,0.061654901
IM0212,2,IM,Sri Lanka dry-zone dry evergreen forests,island,48140,0.000365,1200,270,75,19,72,0.084978,0.012976413,0.053414301,0.181632142,0.061250959
IM0301,3,IM,Himalayan subtropical pine forests,forest,76362,0.00058,1000,469,162,37,100,0.023656,0.010444021,0.014356395,0.087779396,0.017262879
IM0302,3,IM,Luzon tropical pine forests,island,7092,0.000054,1300,149,38,10,35,0.089254,0.016559933,0.156229637,0.223562605,0.157138544
IM0303,3,IM,Northeast India-Myanmar pine forests,forest,9727,0.000074,1000,286,144,0,0,0.012826,0.00283271,0.002648937,0,0
IM0304,3,IM,Sumatran tropical pine forests,island,2768,0.000021,1000,166,140,0,1,0.033454,0.002735064,0.002642082,0,0.80683865
IM0401,4,IM,Eastern Himalayan broadleaf forests,forest,83238,0.000632,4500,490,183,18,42,0.023656,0.017048818,0.024270766,0.570238078,0.061833675
IM0402,4,IM,Northern Triangle temperate forests,forest,10749,0.000082,2500,365,132,17,29,0.023656,0.002659988,0.005410396,0.110968638,0.018179989
IM0403,4,IM,Western Himalayan broadleaf forests,forest,55980,0.000425,1200,126,115,3,18,0.023656,0.020573887,0.017899453,0.265777304,0.023059231
IM0501,5,IM,Eastern Himalayan subalpine conifer forests,forest,27552,0.000209,2000,202,130,15,2,0.023656,0.011831633,0.017389432,0.073817805,0.135311294
IM0502,5,IM,Western Himalayan subalpine conifer forests,forest,39762,0.000302,1000,315,102,3,3,0.023656,0.003998928,0.010352671,0.473771676,0.078928117
IM0701,7,IM,Terai-Duar savanna and grasslands,non-forest,34645,0.000263,1000,366,115,15,21,0.023656,0.00443977,0.015828896,0.113798718,0.030987697
IM0901,9,IM,Rann of Kutch seasonal salt marsh,non-forest,27587,0.000209,800,205,60,2,2,0.00227,0.001613218,0.002581479,0.00371871,0.050448531
IM1001,10,IM,Kinabalu montane alpine meadows,island,4346,0.000033,3800,184,162,15,6,0.033454,0.004701817,0.023781457,0.556954534,0.646665752
IM1301,13,IM,Deccan thorn scrub forests,non-forest,340235,0.002583,1300,345,107,12,32,0.010861,0.016124676,0.022819677,0.109710985,0.143121249
IM1302,13,IM,Indus Valley desert,non-forest,19538,0.000148,400,189,51,0,0,0.00227,0.001006177,0.000427498,0,0
IM1303,13,IM,Northwestern thorn scrub forests,non-forest,488714,0.00371,1000,405,139,10,89,0.00227,0.014751882,0.012495071,0.023810839,0.034528584
IM1304,13,IM,Thar desert,non-forest,239187,0.001816,650,141,76,2,20,0.00227,0.014590261,0.012832904,0.034087205,0.011712039
IM1401,14,IM,Godavari-Krishna mangroves,forest,6167,0.000047,200,142,72,3,11,0.010861,0.000572836,0.00051777,0.03479226,0.004504136
IM1402,14,IM,Indochina mangroves,forest,25155,0.000191,200,299,189,2,34,0.012826,0.00232318,0.002177362,0.248569533,0.057246238
IM1403,14,IM,Indus River Delta-Arabian Sea mangroves,forest,4906,0.000037,200,123,80,1,1,0.00227,0.000577581,0.000333856,0.002418575,0.085888504
IM1404,14,IM,Myanamar Coast mangroves,forest,19586,0.000149,200,185,151,2,21,0.012826,0.003507784,0.001761593,0.054972417,0.036778183
IM1405,14,IM,Sunda Shelf mangroves,island,32600,0.000247,250,267,174,2,26,0.033454,0.008103487,0.012055931,0.220576368,0.07771081
IM1406,14,IM,Sundarbans mangroves,forest,20094,0.000153,350,174,51,3,13,0.010861,0.001953409,0.002189066,0.007530253,0.020023015
NA0201,2,NA,Sonoran-Sinaloan transition subtropical dry forest,forest,50479,0.000383,1700,215,95,0,0,0.008087,0.005236871,0.013963305,0,0
NA0302,3,NA,Sierra Madre Occidental pine-oak forests,forest,223239,0.001695,4400,319,164,39,122,0.029553,0.025927809,0.032191271,0.155702802,0.097498972
NA0303,3,NA,Sierra Madre Oriental pine-oak forests,forest,65775,0.000499,3300,336,169,39,128,0.029553,0.007270756,0.023871723,0.201931363,0.077782852
NA0401,4,NA,Allegheny Highlands forests,forest,84072,0.000638,1883,198,58,27,19,0.003888,0.002062739,0.004039172,0.013185184,0.010813068
NA0402,4,NA,Appalachian mixed mesophytic forests,forest,192573,0.001462,2487,200,73,57,35,0.003888,0.004996467,0.012188449,0.080672254,0.012355959
NA0403,4,NA,Appalachian/Blue Ridge forests,forest,159626,0.001212,2398,194,73,66,32,0.003888,0.004156843,0.013314918,0.207127686,0.009577718
NA0404,4,NA,Central U.S. hardwood forests,forest,296692,0.002252,2332,203,69,55,49,0.003888,0.008092605,0.014479472,0.04811353,0.016300184
NA0405,4,NA,East Central Texas forests,forest,52753,0.0004,1553,210,65,28,43,0.003888,0.001912023,0.004518181,0.024419491,0.007578499
NA0406,4,NA,Eastern forest/boreal transition,forest,348375,0.002644,1228,204,58,20,12,0.003888,0.006011111,0.009103966,0.016055979,0.012000531
NA0407,4,NA,Eastern Great Lakes lowland forests,forest,116537,0.000885,1381,220,56,22,17,0.003888,0.002333643,0.003743786,0.00719553,0.010487819
NA0408,4,NA,Gulf of St. Lawrence lowland forests,forest,38781,0.000294,1033,191,46,15,3,0.003888,0.000792578,0.001985926,0.002011254,0.005125207
NA0409,4,NA,Mississippi lowland forests,forest,112260,0.000852,1468,222,62,35,36,0.003888,0.005779215,0.00585108,0.014069347,0.012482466
NA0410,4,NA,New England/Acadian forests,forest,234621,0.001781,1496,219,58,20,14,0.003888,0.005101082,0.012250632,0.013439043,0.004553759
NA0411,4,NA,Northeastern coastal forests,forest,87748,0.000666,1695,251,63,28,20,0.003888,0.002916164,0.009759382,0.01089212,0.004148697
NA0412,4,NA,Ozark Mountain forests,forest,62155,0.000472,1743,191,61,38,41,0.003888,0.002150023,0.003794652,0.103809879,0.006073544
NA0413,4,NA,Southeastern mixed forests,forest,347853,0.00264,3363,212,66,63,49,0.003888,0.015227886,0.017886333,0.070100856,0.029635037
NA0414,4,NA,Southern Great Lakes forests,forest,245026,0.00186,2243,223,60,32,21,0.003888,0.00563612,0.007472082,0.023017533,0.039277234
NA0415,4,NA,Upper Midwest Forest/Savanna transition zone,forest,166496,0.001264,1420,215,62,21,23,0.003888,0.003854275,0.004276511,0.005913868,0.008236547
NA0416,4,NA,Western Great Lakes forests,forest,274572,0.002084,1459,216,64,21,12,0.003888,0.005867051,0.005866481,0.011298417,0.010905244
NA0417,4,NA,Willamette Valley forests,forest,14887,0.000113,1067,177,77,6,7,0.009434,0.000563804,0.009908594,0.062392462,0.006297293
NA0501,5,NA,Alberta Mountain forests,forest,39859,0.000303,660,179,57,4,2,0.009434,0.000886002,0.001491621,0.003991498,0.000107781
NA0502,5,NA,Alberta/British Columbia foothills forests,forest,120733,0.000916,740,182,61,5,2,0.009434,0.002092598,0.002446935,0.003554098,0.000608683
NA0503,5,NA,Arizona Mountains forests,forest,109330,0.00083,2204,208,123,12,30,0.009434,0.00547228,0.02390044,0.040830892,0.030551621
NA0504,5,NA,Atlantic coastal pine barrens,forest,8492,0.000064,632,212,45,13,20,0.003888,0.000642938,0.000773938,0.005404776,0.000663563
NA0505,5,NA,Blue Mountains forests,forest,64850,0.000492,1134,196,77,7,13,0.009434,0.001963248,0.010206383,0.018706485,0.006979684
NA0506,5,NA,British Columbia mainland coastal forests,forest,134155,0.001018,1325,221,78,11,7,0.009434,0.003562939,0.008156641,0.038291574,0.006178581
NA0507,5,NA,Cascade Mountains leeward forests,forest,46400,0.000352,1328,187,81,4,4,0.009434,0.001390687,0.002933743,0.030876708,0.008480112
NA0508,5,NA,Central and Southern Cascades forests,forest,44954,0.000341,1296,202,97,20,13,0.009434,0.001381187,0.010450708,0.094799176,0.007728693
NA0509,5,NA,Central British Columbia Mountain forests,forest,71913,0.000546,909,174,59,4,2,0.009434,0.001316384,0.001714874,0.006455005,0
NA0510,5,NA,Central Pacific coastal forests,forest,71755,0.000545,1109,218,74,19,10,0.009434,0.002465307,0.030590722,0.095568238,0.018813876
NA0511,5,NA,Colorado Rockies forests,forest,133037,0.00101,1626,210,103,7,6,0.009434,0.007205034,0.007094623,0.053839254,0.02826872
NA0512,5,NA,Eastern Cascades forests,forest,55324,0.00042,1224,204,101,4,13,0.009434,0.002084134,0.006923883,0.103751303,0.009710589
NA0513,5,NA,Florida sand pine scrub,forest,3881,0.000029,951,173,43,16,41,0.003888,0.000808781,0.001085005,0.002976289,0.004886797
NA0514,5,NA,Fraser Plateau and Basin complex,forest,137376,0.001043,1012,172,61,5,3,0.009434,0.003072123,0.003424274,0.011082237,0.001645274
NA0515,5,NA,Great Basin montane forests,forest,5803,0.000044,1043,160,91,4,8,0.008087,0.000228128,0.003617557,0.016211644,0.002153678
NA0516,5,NA,Klamath-Siskiyou forests,forest,50411,0.000383,1859,220,87,15,17,0.009434,0.002006249,0.016348213,0.204282406,0.018888479
NA0517,5,NA,Middle Atlantic coastal forests,forest,131479,0.000998,1488,237,58,49,48,0.003888,0.006603573,0.02197977,0.05008647,0.021507747
NA0518,5,NA,North Central Rockies forests,forest,246250,0.001869,1695,219,79,9,10,0.009434,0.005547364,0.011203435,0.052123981,0.010548895
NA0519,5,NA,Northern California coastal forests,forest,12542,0.000095,1212,232,77,18,18,0.009434,0.00071633,0.007269644,0.036209463,0.00382663
NA0520,5,NA,Northern Pacific coastal forests,forest,55087,0.000418,615,151,45,4,0,0.009434,0.002447936,0.00587611,0.006626512,0
NA0521,5,NA,Northern transitional alpine forests,forest,25728,0.000195,876,144,51,5,1,0.009434,0.000591416,0.000737687,0.002000326,0
NA0522,5,NA,Okanogan dry forests,forest,53434,0.000406,1355,199,79,8,13,0.009434,0.001534093,0.002234363,0.004309609,0.003400244
NA0523,5,NA,Piney Woods forests,forest,141207,0.001072,1729,205,60,34,42,0.003888,0.005196088,0.007928533,0.03005081,0.049153605
NA0524,5,NA,Puget lowland forests,forest,21166,0.000161,1100,195,68,12,8,0.009434,0.001779853,0.004850395,0.028342205,0.004365923
NA0525,5,NA,Queen Charlotte Islands,island,9132,0.000069,459,143,3,1,0,0.009434,0.000351028,0.008672163,0.001721342,0
NA0526,5,NA,Sierra Juarez & San Pedro Martir pine-oak forests,forest,4015,0.00003,1200,193,66,2,28,0.008087,0.000285478,0.013562398,0.03785613,0.004441176
NA0527,5,NA,Sierra Nevada forests,forest,52957,0.000402,2373,197,103,13,17,0.009434,0.002709267,0.014020227,0.381666838,0.019492823
NA0528,5,NA,South Central Rockies forests,forest,159718,0.001212,1933,201,99,6,9,0.009434,0.004417111,0.008784505,0.033682903,0.00967588
NA0529,5,NA,Southeastern conifer forests,forest,235663,0.001789,3095,236,54,53,59,0.003888,0.013691741,0.034657389,0.133144059,0.074253103
NA0530,5,NA,Wasatch and Uinta montane forests,forest,41558,0.000315,1109,190,91,7,15,0.009434,0.001504729,0.004689203,0.011862147,0.004881471
NA0601,6,NA,Alaska Peninsula montane taiga,forest,46006,0.000349,510,102,33,1,0,0.002494,0.002825079,0.001986173,8.88E-05,0
NA0602,6,NA,Central Canadian Shield forests,forest,462752,0.003513,1246,160,49,12,1,0.002494,0.006958734,0.009360766,0.014985048,0.000620762
NA0603,6,NA,Cook Inlet taiga,forest,27685,0.00021,738,116,39,1,0,0.002494,0.00075875,0.000750337,0.000657208,0
NA0604,6,NA,Copper Plateau taiga,forest,17210,0.000131,407,116,37,1,0,0.002494,0.000407154,0.000532663,0.002488012,0
NA0605,6,NA,Eastern Canadian forests,forest,481299,0.003653,1140,159,47,12,1,0.002494,0.007687613,0.008267597,0.010692194,0.005045963
NA0606,6,NA,Eastern Canadian Shield taiga,forest,752193,0.00571,925,99,34,5,1,0.002494,0.008087808,0.014420592,0.012861921,0
NA0607,6,NA,Interior Alaska/Yukon lowland taiga,forest,444183,0.003372,810,130,43,1,0,0.002494,0.009496696,0.012894673,0.008535148,0
NA0608,6,NA,Mid-Continental Canadian forests,forest,368741,0.002799,613,183,55,6,1,0.002494,0.006313012,0.008263111,0.012231045,0.001839306
NA0609,6,NA,Midwestern Canadian Shield forests,forest,547166,0.004153,797,177,46,7,1,0.002494,0.007668685,0.009296951,0.011983115,8.89E-05
NA0610,6,NA,Muskwa/Slave Lake forests,forest,262907,0.001996,722,158,50,3,0,0.002494,0.005364567,0.005843564,0.005756149,0
NA0611,6,NA,Newfoundland Highland forests,island,16365,0.000124,473,116,10,0,0,0.002494,0.000363171,0.000416305,0,0
NA0612,6,NA,Northern Canadian Shield taiga,forest,615111,0.004669,720,131,46,3,0,0.002494,0.014630357,0.01128146,0.004507154,0
NA0613,6,NA,Northern Cordillera forests,forest,263400,0.001999,823,165,55,6,1,0.002494,0.00452539,0.006678987,0.005961139,0
NA0614,6,NA,Northwest Territories taiga,forest,346500,0.00263,576,131,48,2,0,0.002494,0.00458985,0.005671909,0.003237469,0
NA0615,6,NA,South Avalon-Burin oceanic barrens,island,1950,0.000015,258,111,7,0,0,0.002494,9.89E-05,0.000107316,0,0
NA0616,6,NA,Southern Hudson Bay taiga,forest,372308,0.002826,1178,160,45,7,1,0.002494,0.00472041,0.00607237,0.009132341,0
NA0617,6,NA,Yukon Interior dry forests,forest,62526,0.000475,692,123,48,4,0,0.002494,0.001400852,0.002020309,0.000950528,0
NA0701,7,NA,Western Gulf coastal grasslands,non-forest,77386,0.000587,2180,335,75,31,66,0.003888,0.004271067,0.005518782,0.024692187,0.013533272
NA0801,8,NA,California Central Valley grasslands,non-forest,55112,0.000418,1682,184,79,6,14,0.060031,0.005918234,0.028178462,0.109428528,0.094553641
NA0802,8,NA,Canadian Aspen forests and parklands,non-forest,398317,0.003023,1464,206,72,9,7,0.003888,0.007390363,0.007799316,0.010914706,0.005970117
