Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,MFM,AF0,Selection_im,22.37742816,18.14555457,15.2569412,13.89853942,12.40031527,11.32851258,10.4296945,9.700172668,9.111037177,8.810079993,8.752686419
REF,MFM,AF0,Selective_im,5.02822221,4.998049307,4.989243025,4.963222746,5.048854763,5.091573107,5.275518787,5.459878867,5.942945029,6.034905922,6.119594068
REF,MFM,AF25,Selection_im,22.37742816,18.14542879,15.84208716,14.37046097,12.9021535,11.76648178,10.87689805,10.25073449,9.754415505,9.48372545,9.665348546
REF,MFM,AF25,Selective_im,5.02822221,4.997924739,4.993722641,4.965702263,5.151450416,5.215149356,5.445158229,5.664657956,6.035273617,6.104031754,6.17183896
REF,MFM,AF50,Selection_im,22.37742816,18.14540441,14.98256187,13.69669975,12.37433583,11.39907855,10.84762314,10.68893804,10.72002613,10.96243314,11.49084687
REF,MFM,AF50,Selective_im,5.02822221,4.997422782,4.993257968,4.971268662,5.26328198,5.34456168,5.581623118,5.782186428,6.332002241,6.475082372,6.539032065
REF,MFM,AF75,Selection_im,22.37742816,18.14603219,14.97570986,13.73630293,12.45410081,12.07173877,11.87134197,12.14744558,12.89505463,13.75736042,14.67028477
REF,MFM,AF75,Selective_im,5.02822221,4.998149404,4.988630587,4.967144641,5.600797607,5.971339296,6.483874026,6.917964309,7.424463931,7.560377314,7.648769739
REF,MFM,AF100,Selection_im,22.37742816,18.14564843,15.25793004,14.05339411,12.83730618,12.40192584,12.28454873,12.90743672,13.98962046,15.21894239,16.41891934
REF,MFM,AF100,Selective_im,5.02822221,4.998887782,4.993292772,4.989272696,5.847431551,6.483731613,7.230614378,7.972501955,8.553474613,8.787919867,8.955396939
REF,SFM,noAF,Selection_im,22.37742816,18.14501211,15.84191901,14.42450154,13.01191146,12.44492777,12.16413847,12.37437092,12.89988514,13.52933981,14.15143535
REF,SFM,noAF,Selective_im,5.02822221,4.999704396,4.995403601,5.015638488,5.712441775,6.41245222,6.977683076,7.416674222,7.843610941,7.974717127,8.034641381
REF,SFM,AF0,Selection_im,22.37742816,18.1459794,15.58788302,14.14764181,12.70783312,11.59296724,10.66816024,9.996840329,9.407627671,9.077361099,8.99638281
REF,SFM,AF0,Selective_im,5.02822221,4.998053612,4.989282845,4.963411866,5.068590485,5.114287475,5.350936102,5.553569303,5.900233002,5.979888451,6.043548389
REF,SFM,AF25,Selection_im,22.37742816,18.14555497,15.39060146,14.00795278,12.71697377,11.79960468,11.34181634,11.43258951,11.70916419,12.08051297,12.654962
REF,SFM,AF25,Selective_im,5.02822221,4.999188642,4.98871588,4.968393116,5.619583385,5.805183801,6.213908501,6.552219043,7.197752318,7.391268588,7.479945477
REF,SFM,AF50,Selection_im,22.37742816,18.14591064,15.84250897,14.53954895,13.31709859,12.8996033,12.62093526,13.10856225,13.99816748,15.30708572,16.56668862
REF,SFM,AF50,Selective_im,5.02822221,4.997411188,4.993198336,5.026303196,6.392147745,7.495539406,8.477022656,9.322848225,10.63572793,11.1020059,11.52481401
REF,SFM,AF75,Selection_im,22.37742816,18.14555457,14.97920771,13.60022683,12.82346042,13.12405555,13.44420444,14.90104151,17.09850795,19.37094523,21.78404607
REF,SFM,AF75,Selective_im,5.02822221,4.997457583,4.994852486,5.357213663,6.548438402,7.594461041,9.233930795,10.69065476,12.42156293,13.47085608,14.54692005
REF,SFM,AF100,Selection_im,22.37742816,18.14570206,15.49194307,14.05357553,13.45714022,14.04304165,15.12027578,17.45606601,20.57873766,23.71360631,26.40258547
REF,SFM,AF100,Selective_im,5.02822221,4.999155294,4.993522557,5.894113938,7.882551814,9.386066782,12.62290413,14.51810839,16.47572157,17.47189115,18.88344641
RCP,MFM,noAF,Selection_im,22.37742816,18.14540626,15.84207157,14.46165368,13.08081765,12.47478486,12.20816892,12.47879985,12.48134684,12.70074298,12.30825854
RCP,MFM,noAF,Selective_im,5.02822221,4.996536054,4.992495658,5.018508042,6.606880753,7.32023874,7.896112964,8.227846072,9.051912256,8.56974586,8.159146103
RCP,MFM,AF0,Selection_im,22.37742816,18.14603219,14.97059775,13.7005386,12.29441874,11.24204678,10.35286759,9.548721537,8.923008106,8.006076224,7.501359882
RCP,MFM,AF0,Selective_im,5.02822221,4.996283808,4.990971015,4.968323327,5.974810457,6.180098706,6.283307438,6.219182988,7.566897811,7.381468594,7.244054595
RCP,MFM,AF25,Selection_im,22.37742816,18.14595515,14.96577881,13.70334799,12.32517287,11.39239071,10.57056234,9.907775755,9.562867306,8.813267576,8.471602616
