Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Greece,RCP,MFM,AF0,0,0,0,0,0.091217572,0.157372953,0.177238611,0.220775899,0.235748936,0.240149488,0.242762988,Wood_EP_im
Hungary,RCP,MFM,AF0,0,0,0,0,0.091299997,1.173579361,2.85874014,5.383495444,7.333568823,9.08989785,10.8577006,Wood_EP_im
Ireland,RCP,MFM,AF0,0,0,0,0,0.096837594,0.191999307,0.222817599,0.27755101,0.29637454,0.301906745,0.305192338,Wood_EP_im
Italy,RCP,MFM,AF0,0,0,0,0,4.13682538,8.947543965,10.07701917,12.55236062,13.40366264,13.65385893,13.80245124,Wood_EP_im
Lithuania,RCP,MFM,AF0,0,0,0,0,0,0,0,0.058225344,0.09808242,0.099913252,0.102608361,Wood_EP_im
Malta,RCP,MFM,AF0,0,0,0,0,0.001191406,0.004564118,0.009164177,0.015427011,0.020731959,0.025749134,0.03092899,Wood_EP_im
Netherlands,RCP,MFM,AF0,0,0,0,0,1.031437678,1.779486003,2.004115838,2.49641132,2.665718118,2.715477114,2.745029128,Wood_EP_im
Poland,RCP,MFM,AF0,0,0,0,0,0.656307723,8.436245628,21.33755465,40.72010418,58.42192987,74.51201565,90.37598265,Wood_EP_im
Romania,RCP,MFM,AF0,0,0,0,0,0,0,0,0.707092784,4.202964769,7.989449475,12.21750177,Wood_EP_im
Slovenia,RCP,MFM,AF0,0,0,0,0,0.038412273,0.066270706,0.074636255,0.092970071,0.099275308,0.101128407,0.102228968,Wood_EP_im
Spain,RCP,MFM,AF0,0,0,0,0,0,0,0,0,0.0061258,0.022315486,0.145788767,Wood_EP_im
Sweden,RCP,MFM,AF0,0,0,0,0,0.615008563,1.06104242,1.194980975,3.773859828,8.161022642,11.12481424,15.70466244,Wood_EP_im
UK,RCP,MFM,AF0,0,0,0,0,2.266895247,6.105793918,8.703580726,12.35913934,13.19733707,13.50865465,15.0717957,Wood_EP_im
EU28,RCP,MFM,AF0,0,0,0,0,14.95842077,41.16055839,62.42752816,99.86803875,132.4991621,162.2271695,200.3495807,Wood_EP_im
Belgium,RCP,MFM,AF25,0,0,0.006414854,0.007236738,0.813990111,1.262506008,1.50966984,1.808460528,1.94758159,2.010710502,2.029574295,Wood_EP_im
Bulgaria,RCP,MFM,AF25,0,0,0,0,0,0,0,0,0,0.462427634,1.15388861,Wood_EP_im
Cyprus,RCP,MFM,AF25,0,0,0,0,0,0,0,0.041235409,0.097639752,0.154249464,0.212006177,Wood_EP_im
CzechRep,RCP,MFM,AF25,0,0,0,0,0,0,0.600271467,2.03447287,2.919244643,3.65314611,4.330668846,Wood_EP_im
Denmark,RCP,MFM,AF25,0,0,0.009904168,0.011173109,1.256754237,1.949237163,2.330844002,3.411223018,3.681313439,3.887014079,4.367243292,Wood_EP_im
France,RCP,MFM,AF25,0,0,0,0.014278792,4.299629741,9.491731326,11.53532652,14.78736179,18.1069613,21.52120079,27.02836933,Wood_EP_im
Germany,RCP,MFM,AF25,0,0,0,0,0,0,0,0,1.036368102,3.395223138,10.2623278,Wood_EP_im
Greece,RCP,MFM,AF25,0,0,0.000717706,0.00080966,0.097929037,0.15188882,0.181624459,0.21757119,0.234308484,0.24190336,0.244172814,Wood_EP_im
Hungary,RCP,MFM,AF25,0,0,0,0,0.098017526,1.132682462,2.929251706,5.306331549,7.29058352,9.163961231,10.92565284,Wood_EP_im
Ireland,RCP,MFM,AF25,0,0,0.000369792,0.000417171,0.10396256,0.183761505,0.219736936,0.26322681,0.283476294,0.292664895,0.295410576,Wood_EP_im
Italy,RCP,MFM,AF25,0,0,0.016879222,0.026201343,4.391951947,8.342857157,9.976158331,11.95061866,12.8699546,13.28712133,13.41177652,Wood_EP_im
Lithuania,RCP,MFM,AF25,0,0,0,0,0,0,0,0.183769462,0.372814828,0.483224753,0.618382868,Wood_EP_im
Malta,RCP,MFM,AF25,0,0,0,2.64E-06,0.001504085,0.004916726,0.010007943,0.015946777,0.02151042,0.027118192,0.032256009,Wood_EP_im
