Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Malta,REF,MFM,AF50,0.062373507,0.063214267,0.077549404,0.083682206,0.088464779,0.092820026,0.093560143,0.095273789,0.095923872,0.09608704,0.096409453,Wood_forest_im
Netherlands,REF,MFM,AF50,2.998066413,5.271250959,6.644175214,6.534712074,5.493302288,4.827062328,4.777840238,5.009836932,5.269697365,5.625112677,6.167952221,Wood_forest_im
Poland,REF,MFM,AF50,0.992893063,1.714976365,2.567279934,4.556479085,12.31720062,18.50279373,21.37731361,19.79404091,18.80218841,17.27238191,18.31372525,Wood_forest_im
Portugal,REF,MFM,AF50,0.961531151,2.011155518,2.015587697,3.365336687,8.676434993,14.44498792,17.25484192,15.61643121,14.69781389,13.34617392,14.49635659,Wood_forest_im
Romania,REF,MFM,AF50,0.002033333,0.297263781,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,1.275515803,1.973544064,2.570414277,Wood_forest_im
Slovakia,REF,MFM,AF50,0.318702898,1.029547618,1.312673787,1.327242649,1.327242649,1.327242649,1.33892218,1.412526603,1.541421357,1.571426229,1.62541621,Wood_forest_im
Slovenia,REF,MFM,AF50,0.836287111,0.896287344,1.129431738,1.125022807,1.082062162,1.056224438,1.045474633,1.09559081,1.101349294,1.119240453,1.150989103,Wood_forest_im
Spain,REF,MFM,AF50,6.113318358,7.156303355,7.174892471,7.196608028,7.196608028,7.196608028,7.196608028,7.650684131,8.137559275,8.77956199,9.762165291,Wood_forest_im
Sweden,REF,MFM,AF50,5.142051667,6.457710064,8.472284518,8.693959276,8.355008665,8.716954347,8.997678522,10.12516823,12.16069169,14.48814891,16.85114388,Wood_forest_im
UK,REF,MFM,AF50,12.91325555,22.84072811,37.0617471,42.79930931,44.99486898,52.33703898,56.93355637,57.57538074,61.06064888,62.42980026,71.9827994,Wood_forest_im
EU28,REF,MFM,AF50,102.9879277,120.7279581,132.5472347,135.2690706,136.9121341,139.7584951,143.1843547,150.2698489,159.0366974,170.0360075,183.0685466,Wood_forest_im
Austria,REF,MFM,AF75,6.152973849,6.152973849,6.195622512,6.651975574,6.934479166,7.342976624,7.63079431,8.222484315,8.712486501,9.237660866,9.522854906,Wood_forest_im
Belgium,REF,MFM,AF75,6.777334413,9.244337761,9.396567808,9.390819271,8.604681269,8.480478753,8.640150603,8.946870831,9.36671491,9.938261141,10.51582625,Wood_forest_im
Bulgaria,REF,MFM,AF75,0.08230758,0.323452211,0.529303712,0.529303712,0.529303712,0.529303712,0.529303712,0.672565658,0.908620147,1.064799971,1.189035167,Wood_forest_im
Croatia,REF,MFM,AF75,0.628890634,0.731376193,0.74883923,0.834379751,0.834379751,0.834379751,0.835820947,0.878047202,1.043247828,1.123450892,1.243419263,Wood_forest_im
Cyprus,REF,MFM,AF75,0.226668388,0.237650033,0.237667126,0.238234426,0.239577417,0.257354809,0.26608788,0.297672769,0.319178346,0.331003844,0.348489377,Wood_forest_im
CzechRep,REF,MFM,AF75,0.068323271,0.580404372,1.243816559,1.243816559,1.451898314,2.386263864,3.355490546,4.000539894,4.370438196,4.490164127,5.053424369,Wood_forest_im
Denmark,REF,MFM,AF75,1.797252731,3.917100169,5.381320296,5.293968104,4.027382201,3.720063094,3.960584923,3.869575558,4.115960655,4.648155379,5.358270298,Wood_forest_im
Estonia,REF,MFM,AF75,0.191581572,3.100535101,4.534262235,4.530628612,3.294546762,2.758790708,2.663555415,2.330432793,2.245479724,2.19246046,2.374605389,Wood_forest_im
Finland,REF,MFM,AF75,7.17809,10.19014748,10.26421612,10.52639976,10.52639976,10.52639976,10.75893195,11.19590227,12.25926852,13.27740834,14.53338307,Wood_forest_im
France,REF,MFM,AF75,9.691371494,12.26042272,13.70080363,18.21733089,19.25849743,17.93360953,21.69253494,24.70315834,27.88349885,30.7778107,34.32349682,Wood_forest_im
Germany,REF,MFM,AF75,11.39146882,12.62271279,12.83715573,12.84388349,12.84388349,12.84388349,14.11036038,16.93023886,19.09934223,20.32048111,22.82302014,Wood_forest_im
Greece,REF,MFM,AF75,2.622045621,2.684321865,3.083200745,3.084337719,2.989463819,2.932441777,2.91671339,2.918620359,2.911848824,2.907149781,2.929258516,Wood_forest_im
Hungary,REF,MFM,AF75,1.355876175,1.394441165,1.661631647,1.683408596,1.844496969,2.450929806,2.82634992,2.872251703,2.821368067,2.761039108,2.883432537,Wood_forest_im
Ireland,REF,MFM,AF75,1.263722299,1.332511349,1.625156058,1.677020348,1.682674496,1.6640968,1.692515216,1.929529632,2.000804087,2.105064312,2.238918852,Wood_forest_im
Italy,REF,MFM,AF75,22.52589839,25.70018861,30.44895024,32.74570975,29.69270596,28.39752401,27.39779221,26.86766338,27.14731246,27.1342656,27.50705212,Wood_forest_im
Latvia,REF,MFM,AF75,0.194476167,1.386714872,6.216788422,8.413894516,5.360890727,4.251271252,3.281748626,2.613137963,2.648327045,2.49070078,2.795277816,Wood_forest_im
Lithuania,REF,MFM,AF75,0.052109214,0.16664068,0.692331389,0.692331389,0.692331389,1.034452809,1.429020255,1.602375319,1.604479057,1.506142435,1.542460253,Wood_forest_im
Luxembourg,REF,MFM,AF75,0.447024042,0.493289489,0.560366306,0.560367866,0.561134781,0.691251218,1.077817135,1.248345669,1.269244391,1.184170345,1.231077981,Wood_forest_im
Malta,REF,MFM,AF75,0.062373507,0.063214267,0.077549404,0.083682206,0.090848949,0.094652344,0.095580967,0.09766839,0.09860749,0.098770658,0.099093071,Wood_forest_im
Netherlands,REF,MFM,AF75,2.998066413,5.271250959,6.644175214,6.534712074,5.493302288,4.914430771,4.894752196,5.12718606,5.619627073,6.138481764,6.745293844,Wood_forest_im
Poland,REF,MFM,AF75,0.992893063,1.714976365,2.567279934,4.663145838,13.43071133,19.69929478,22.76893558,21.19927893,20.14460059,18.61479409,19.73032545,Wood_forest_im
Portugal,REF,MFM,AF75,0.961531151,2.011155518,2.015587697,3.365336687,8.660338525,14.40335394,17.21320794,15.61063837,14.72693015,13.38184631,14.57967921,Wood_forest_im
Romania,REF,MFM,AF75,0.002033333,0.297263781,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,0.915043364,1.333956125,1.938247837,2.53511805,Wood_forest_im
Slovakia,REF,MFM,AF75,0.318702898,1.029547618,1.312673787,1.327242649,1.338724472,1.378023349,1.406461867,1.492187497,1.614358056,1.682101053,1.751940765,Wood_forest_im
Slovenia,REF,MFM,AF75,0.836287111,0.896287344,1.129431738,1.125022807,1.082062162,1.167530442,1.182094417,1.283453936,1.368584598,1.449754961,1.541576562,Wood_forest_im
Spain,REF,MFM,AF75,6.113318358,7.156303355,7.174892471,7.196608028,7.196608028,7.196608028,7.196608028,7.734808638,8.357084558,9.028913711,9.859197252,Wood_forest_im
Sweden,REF,MFM,AF75,5.142051667,6.457710064,8.472284518,8.757661594,8.609506596,8.938704183,10.01760363,12.57469354,16.13017438,19.43993435,22.71538731,Wood_forest_im
UK,REF,MFM,AF75,12.91325555,22.84072811,37.0617471,42.80628238,45.47144742,53.75541499,59.42844708,61.28389664,65.13119013,67.06864545,76.81798758,Wood_forest_im
EU28,REF,MFM,AF75,102.9879277,120.7279581,132.5472347,135.5058526,139.0903295,144.3952411,151.9766572,164.2266544,177.1275476,191.3306413,207.3826319,Wood_forest_im
Austria,REF,MFM,AF100,6.152973849,6.152973849,6.195622512,6.880329877,7.160748143,7.762059498,8.496736051,9.297209601,9.951120473,10.43766255,10.91099557,Wood_forest_im
Belgium,REF,MFM,AF100,6.777334413,9.244337761,9.390647954,9.438330452,8.998683032,8.93743478,9.320719787,10.16115271,10.80325723,11.57020792,12.0971975,Wood_forest_im
Bulgaria,REF,MFM,AF100,0.08230758,0.323452211,0.529303712,0.529303712,0.529303712,0.529303712,0.666479955,0.7939543,1.032254762,1.182954182,1.310245905,Wood_forest_im
