"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_SFM_AF0",2020,0.000612944039367787,1.44777295989583e-05,9.58110977565502e-06,1.29282923359071e-05,3.075296011726e-05,2.86665887181702e-05,2.13959858256661e-05,6.15561559045987e-05,2.3706718946508e-06,2.35419486794202e-06,2.96134890401297e-06,0,4.15204454515501e-05,0,0,3.03637108888733e-07,0,0,0,3.12175435299691e-06,1.47350253757047e-05,5.02121356091754e-05,1.63762255561155e-05,2.50134874594764e-06,5.47106723710534e-06,4.16269349750642e-06,3.1336394930358e-07,1.72048627287598e-06,3.57402218070279e-06,2.27463831803187e-05
"RCP_SFM_AF0",2030,0.000600251765346711,1.44416798842612e-05,9.5589038848609e-06,1.28948977147081e-05,3.0278481031052e-05,2.87192850370429e-05,2.07987488444203e-05,6.15428570063582e-05,2.34797359339582e-06,2.3557628078801e-06,2.95491605038008e-06,2.68324553044343e-07,4.14559147500792e-05,0,0,3.1430144016157e-07,0,0,0,5.33946578460548e-06,1.44735093281668e-05,5.6694555534171e-05,5.58551398951659e-05,2.33054224787576e-06,5.57795113353873e-06,4.14481637115307e-06,3.16282825348243e-07,1.77791812613115e-06,3.60560833730476e-06,2.30917140821017e-05
"RCP_SFM_AF0",2040,0.000598292927544231,1.44294875488299e-05,9.56320598583033e-06,1.30094046251658e-05,3.03151894248715e-05,2.88018549837156e-05,2.06125330766628e-05,6.1602718405048e-05,2.2951589827489e-06,2.36174346761052e-06,2.9488108740227e-06,2.7874059809846e-07,4.16649740485806e-05,0,0,3.29172984889098e-07,0,0,0,5.47629513504509e-06,1.3658895453846e-05,5.16053940224854e-05,4.31958958143564e-05,2.30184122844437e-06,5.76033235574832e-06,4.13887993338081e-06,3.11388227244918e-07,1.82018567797379e-06,3.5377781396337e-06,2.3190282117163e-05
"RCP_SFM_AF0",2050,0.000547643173471871,1.44170629217003e-05,9.62058434589604e-06,1.30397072107849e-05,2.98108261937268e-05,2.88344686917228e-05,2.01868687122815e-05,6.15582725440077e-05,2.35190236699602e-06,2.37204457754112e-06,2.94685666302245e-06,2.93317880042284e-07,4.35062402772187e-05,0,0,3.44850574948205e-07,0,0,0,5.52241288745686e-06,1.28441914924634e-05,5.4066673318005e-05,4.33695577409367e-05,2.20800306932632e-06,6.16643865227131e-06,4.12696726427301e-06,3.11208135485619e-07,1.87929013505171e-06,3.52570918475276e-06,2.32680645986852e-05
"RCP_SFM_AF0",2060,0.000465983357566701,1.43214084068266e-05,9.59422804686703e-06,1.30362856123335e-05,2.94510131782082e-05,2.88590472071048e-05,1.96402235035729e-05,6.15298498468386e-05,2.48167380755956e-06,2.42495981554147e-06,2.9350279245982e-06,3.03430139574635e-07,4.4541999361853e-05,0,0,3.71968349559192e-07,0,0,0,5.4058496087761e-06,1.25183292294181e-05,5.4055187778244e-05,5.2454106529122e-05,2.10898008985837e-06,6.25253584506542e-06,4.11873675946757e-06,3.10457431572978e-07,1.95364101584093e-06,3.48946708766307e-06,2.35185525479681e-05
"RCP_SFM_AF0",2070,0.000358326347992308,1.41173105606059e-05,9.48830170191417e-06,1.29490551792977e-05,2.85943621941329e-05,2.88880600544415e-05,1.91802664972087e-05,6.15028892937606e-05,2.76680094724583e-06,2.55869058716696e-06,2.90558275297539e-06,2.93202644329336e-07,4.35162129700366e-05,0,0,3.87650070725346e-07,0,0,0,6.6677737482319e-06,1.180396426658e-05,5.05176733117556e-05,5.01003562243429e-05,1.9609479723353e-06,6.16734208550772e-06,4.03728422814375e-06,3.07861760513544e-07,2.09798954472129e-06,3.39549240191387e-06,2.45585798593226e-05
"RCP_SFM_AF0",2080,0.000226392763573589,1.391196663921e-05,9.59218721496388e-06,1.28434237828578e-05,2.75285405171538e-05,2.89501411577705e-05,1.8520612101573e-05,6.14958642204953e-05,2.9122309749575e-06,2.8284652022609e-06,2.88177143964555e-06,3.07612176571262e-07,4.06213025876542e-05,0,0,3.96923635162755e-07,0,0,0,6.75569436647973e-06,1.15596596165967e-05,4.85837126767259e-05,4.71215194256337e-05,1.88568303878525e-06,6.43017483396134e-06,3.86613999308478e-06,3.082039985648e-07,2.32356356921255e-06,3.38408690329871e-06,2.59399778610672e-05
"RCP_SFM_AF0",2090,0.000168374684060172,1.38227156322277e-05,9.51369008261207e-06,1.27351761680279e-05,2.6151037653733e-05,2.89573560544189e-05,1.76237870730361e-05,6.14493009550043e-05,2.9809917878453e-06,3.07380915929391e-06,2.86815523879851e-06,3.12826012985711e-07,4.28631637961637e-05,0,0,4.16419216287184e-07,0,0,0,8.91386690925789e-06,1.12798388809886e-05,4.64299425570555e-05,5.14231793445713e-05,1.71450194975147e-06,6.78784102655318e-06,3.6436516320801e-06,3.0864765105007e-07,2.57825212515534e-06,3.38008098749807e-06,2.76557410268444e-05
"RCP_SFM_AF0",2100,0.000115050731091456,1.37714271603974e-05,9.51820007635824e-06,1.26559075319839e-05,2.49242538838268e-05,2.88515610996231e-05,1.64401750975918e-05,6.119453846067e-05,3.03539458029276e-06,3.2512956923493e-06,2.85595154631124e-06,3.08107586349229e-07,4.22434250286124e-05,0,0,4.65757582600439e-07,0,0,0,1.01091891690911e-05,1.09338269362545e-05,4.3272027205557e-05,5.7118109307447e-05,1.55567103086691e-06,6.87374429692863e-06,3.419306828302e-06,3.08208437069925e-07,2.77212834206403e-06,3.36562748327045e-06,2.9036856751316e-05
"RCP_SFM_AF100",2000,0.000605454274575178,1.4390932585832e-05,9.72828414823067e-06,1.28823780809193e-05,2.93463647417547e-05,2.8329212860532e-05,2.04899686727939e-05,6.11262827362374e-05,2.13544614814917e-06,1.80407608796077e-06,3.85608012040397e-06,0,4.11151339590713e-05,0,0,2.9025877624032e-07,0,0,0,0,0,0,0,0,0,4.59311511304302e-06,3.12865143754497e-07,1.66805866578892e-06,3.61461567575729e-06,2.26360781653759e-05
"RCP_SFM_AF100",2010,0.000594365804493116,1.43253584145385e-05,9.51829987056015e-06,1.27899440903927e-05,3.02033763051907e-05,2.84515542409582e-05,2.10865412498483e-05,6.12793611275796e-05,2.03624710964039e-06,2.11069570627035e-06,3.84405011857093e-06,0,4.09578039885633e-05,0,0,2.99250120037622e-07,0,0,0,0,0,0,0,2.39692349487821e-06,5.27449377763053e-06,4.31894554377222e-06,3.13604032303142e-07,1.64496849988951e-06,3.60673190870119e-06,2.23726785080302e-05
"RCP_SFM_AF100",2020,0.000612961872517176,1.4475470192475e-05,9.58055781988799e-06,1.29294810579662e-05,3.07527989614907e-05,2.86663378940683e-05,2.13959548203393e-05,6.15557814814626e-05,2.06889095086505e-06,2.33636573058895e-06,3.88253308837821e-06,0,4.1359135319926e-05,0,0,3.03587971274368e-07,0,0,0,3.12167425643506e-06,1.4660771567454e-05,5.02122333325602e-05,1.63672063684035e-05,2.49871561351293e-06,5.47105360961443e-06,4.16253856326032e-06,3.13266441228864e-07,1.72016368222374e-06,3.57311286938503e-06,2.27424382996156e-05
"RCP_SFM_AF100",2030,0.000600424599321265,1.44491274277781e-05,9.56311427618647e-06,1.29058444323122e-05,3.02824456824566e-05,2.87239666912902e-05,2.08005391189203e-05,6.15472897637907e-05,2.11208340936244e-06,2.42872668690099e-06,3.86589223848721e-06,0,4.10375662588488e-05,0,0,3.2339689704551e-07,0,0,0,5.34360612971619e-06,1.42331631593496e-05,5.67028469527196e-05,8.05996016200882e-05,2.3291851440953e-06,5.57825602094634e-06,4.14077179815418e-06,3.15581756052092e-07,1.77507575077464e-06,3.59783534007652e-06,2.3073361486094e-05
