Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
AT0726,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0801,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0901,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0902,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0903,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0904,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0905,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0906,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0907,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0908,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1001,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1002,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1003,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1004,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1005,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1006,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1007,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1008,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1009,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1010,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1011,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1012,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1013,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1014,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1015,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1202,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1203,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1302,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1303,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1304,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1305,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1306,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1307,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1309,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1310,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1311,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1312,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1313,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1314,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1315,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1316,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1318,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1319,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1320,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1321,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1322,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1402,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1403,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1404,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT1405,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0101,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0102,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0103,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0104,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0105,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0106,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0107,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0108,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0109,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0111,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0112,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0113,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0114,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0115,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0116,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0117,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0118,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0119,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0120,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0121,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0122,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0123,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0124,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0125,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0126,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0127,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0128,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0129,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0130,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0131,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0132,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0133,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0134,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0135,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0136,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0137,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0138,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0139,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0140,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0141,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0142,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0143,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0144,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0145,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0146,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0147,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0149,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0150,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0151,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0152,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0153,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0154,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0155,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0156,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0157,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0158,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0159,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0160,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0161,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0162,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0163,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0164,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0165,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0166,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0167,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0168,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
