Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF0,SouthKorea,0.499110909,1.286304465,1.286304465,2.393602069,2.515954876,2.51671514,2.51671514,2.534394398,2.542312296,2.713060574,3.779468668,Wood_forest_im
REF,MFM,AF0,EasternAf,0,0.056318849,1.551615262,1.782726374,1.782726374,2.035000938,2.116604473,2.136164028,2.136164028,2.143760766,2.204740541,Wood_forest_im
REF,MFM,AF0,SouthernAf,0.254481111,0.309536698,0.330025031,0.330025031,0.330025031,0.330031677,0.330031677,0.668485833,0.668485833,0.668523286,0.668610896,Wood_forest_im
REF,MFM,AF0,WesternAf,2.342035,2.588880443,2.589938095,2.599635873,2.618161357,2.928234375,2.933643218,2.943417457,3.360664081,3.364949873,3.423790638,Wood_forest_im
REF,MFM,AF0,TurkeyReg,0,0.050666667,0.873299863,0.873299863,0.873299863,0.873299863,0.873299863,0.873299863,0.873299863,0.873299863,0.895996079,Wood_forest_im
REF,MFM,AF0,UkraineReg,0.697255,1.198259043,1.564499643,3.228023394,2.991704124,2.500756137,2.948716711,2.797938573,2.718490787,2.624605256,2.587367094,Wood_forest_im
REF,MFM,AF0,USAReg,14.89597844,20.9355092,32.16738974,32.16738974,32.16738974,32.16738974,32.16738974,32.16738974,32.16738974,32.16738974,32.16738974,Wood_forest_im
REF,MFM,AF25,ANZ,0.217282222,0.381786797,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.682939242,0.684992293,0.68684004,Wood_forest_im
REF,MFM,AF25,ArgentinaReg,0.6646,0.719918395,0.999984113,1.010870799,1.018312334,1.05052257,1.271318193,1.495737239,1.510429914,1.489289052,1.567873882,Wood_forest_im
REF,MFM,AF25,BrazilReg,3.717209837,5.036672288,5.366774743,5.367428156,5.367428156,5.367428156,5.367847768,5.368962372,5.3744415,5.3744415,5.468023518,Wood_forest_im
REF,MFM,AF25,CanadaReg,38.24744452,42.6009913,44.75008595,44.76306099,44.76306099,44.76306099,44.38950973,44.31098777,45.11567909,46.44630935,46.84066809,Wood_forest_im
REF,MFM,AF25,ChinaReg,0.02599,2.530644092,3.935675752,3.935675752,3.935675752,3.935675752,4.397521555,6.719938288,8.234830557,13.05041429,18.14414539,Wood_forest_im
REF,MFM,AF25,CongoBasin,5.267845,5.4457578,5.4457578,5.453163196,5.453163196,5.453163196,5.483859497,5.531708561,6.334406333,6.366165842,6.408826376,Wood_forest_im
REF,MFM,AF25,Former_USSR,24.49108388,27.03862361,30.79765064,31.27471684,31.29506509,31.31472805,31.99544996,32.49001642,35.10694317,37.11447955,39.50239122,Wood_forest_im
REF,MFM,AF25,IndiaReg,0.01434,0.089895556,0.089963583,0.089963583,0.089963583,0.089963583,0.272266002,0.272266002,2.282820625,2.282820625,2.282820625,Wood_forest_im
REF,MFM,AF25,IndonesiaReg,3.806978884,3.839425276,3.819150709,3.968835561,4.028798285,3.98346445,4.519406955,4.609160673,4.567951804,4.515444945,4.623186785,Wood_forest_im
REF,MFM,AF25,JapanReg,0.511811244,2.189771866,2.189771866,2.189771866,2.189771866,2.195494346,2.267624353,2.35839478,2.477628509,2.702214472,3.007458243,Wood_forest_im
REF,MFM,AF25,MalaysiaReg,1.619251667,1.711051828,1.728569951,1.751032064,1.741312029,1.696679861,1.998143232,2.211708891,2.214216861,2.336269947,2.266007398,Wood_forest_im
REF,MFM,AF25,MexicoReg,0,0.438733504,1.158611317,1.162180918,1.162180918,1.195302421,1.749846061,1.958284978,1.958284978,1.970647752,1.979602831,Wood_forest_im
REF,MFM,AF25,MidEastNorthAfr,0,0.123429808,0.817269808,0.817269808,0.817269808,0.817269808,0.827238021,0.858279292,0.864139394,0.864139394,0.870669437,Wood_forest_im
REF,MFM,AF25,Pacific_Islands,0.00075,0.05674293,0.084165027,0.084165027,0.088457648,0.08988448,0.136211794,0.180860804,0.180860804,0.180860804,0.18177851,Wood_forest_im
REF,MFM,AF25,RCAM,0,0.042832618,0.870189193,0.870189193,2.054503014,2.076872485,2.07730598,2.077745758,2.077865754,2.089228097,2.100939348,Wood_forest_im
REF,MFM,AF25,RCEU,0.085855,0.411786462,0.495126705,0.495126705,0.495126705,0.478806705,0.474819246,0.476849992,0.478677663,0.486714571,0.48919628,Wood_forest_im
REF,MFM,AF25,ROWE,5.645542737,5.718051562,6.84906206,6.84906206,6.84906206,6.84906206,6.84906206,6.84906206,6.84906206,6.84906206,6.84906206,Wood_forest_im
REF,MFM,AF25,RSAM,2.290276667,3.146329441,3.150090956,3.163589955,3.184647688,3.273246121,4.065280015,4.521253484,4.599680364,4.625499166,4.645338534,Wood_forest_im
REF,MFM,AF25,RSAS,0,2.108686397,2.337662792,2.739827474,2.769137889,2.769137889,2.769137889,3.570392614,3.570392614,3.572300941,3.574224782,Wood_forest_im
REF,MFM,AF25,RSEA_OPA,0.048226667,0.052491402,0.063161505,0.063161505,0.066697283,0.080521426,0.080521426,0.080521426,0.080521426,0.080521426,0.080521426,Wood_forest_im
REF,MFM,AF25,RSEA_PAC,0.02687,0.766939521,1.328910373,2.54691475,3.278133255,3.495425763,3.996528559,3.748169849,3.506098683,5.403257808,5.55378584,Wood_forest_im
REF,MFM,AF25,SouthAfrReg,1.592960556,1.74930139,1.749622428,1.618795644,1.677508506,1.891323648,1.971016567,1.942060016,1.911442143,1.884086748,1.945735626,Wood_forest_im
REF,MFM,AF25,SouthKorea,0.499110909,1.286304465,1.286304465,2.594915794,2.784491018,2.785481981,2.785481981,2.805544393,2.814662797,2.952093968,4.384401545,Wood_forest_im
REF,MFM,AF25,EasternAf,0,0.056318849,1.551615262,1.782726374,2.024277397,2.387266918,2.398487602,2.423297728,2.423297728,2.490848178,2.949386925,Wood_forest_im
REF,MFM,AF25,SouthernAf,0.254481111,0.309536698,0.330025031,0.330025031,0.330025031,0.332495592,0.332495592,0.775115023,0.775115023,0.775745,0.775745,Wood_forest_im
REF,MFM,AF25,WesternAf,2.342035,2.588880443,2.589938095,2.599635873,2.614335472,3.045447222,3.050856064,3.26349037,3.688656396,3.701084317,3.770633994,Wood_forest_im
REF,MFM,AF25,TurkeyReg,0,0.050666667,0.938694404,0.938694404,0.938694404,0.938694404,0.938694404,0.938694404,0.938694404,0.938694404,0.956439792,Wood_forest_im
REF,MFM,AF25,UkraineReg,0.697255,1.198259043,1.632671575,2.783314882,2.629477827,2.459758493,2.541912204,2.503982356,2.450610148,2.493827226,2.377320201,Wood_forest_im
REF,MFM,AF25,USAReg,14.89597844,20.9355092,31.96802454,31.96802454,31.96802454,31.96802454,31.96802454,31.96802454,31.96802454,31.96802454,31.96802454,Wood_forest_im
REF,MFM,AF50,ANZ,0.217282222,0.381786797,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.682939242,Wood_forest_im
REF,MFM,AF50,ArgentinaReg,0.6646,0.721435782,0.9969015,1.030059211,1.125326784,1.285842693,1.515253091,1.627846164,1.606892525,1.647292998,1.646704259,Wood_forest_im
REF,MFM,AF50,BrazilReg,3.717209837,5.036672288,5.36674357,5.36823407,5.368744989,5.369286102,5.370394741,5.371630123,5.377595321,5.607860014,5.77416212,Wood_forest_im
REF,MFM,AF50,CanadaReg,38.24744452,42.59156128,43.08826816,43.10829529,43.10829529,42.73329529,42.51091233,42.431167,42.31811601,42.21770519,43.14947677,Wood_forest_im
REF,MFM,AF50,ChinaReg,0.02599,2.530644092,3.935669716,3.935669716,3.935669716,3.935669716,4.612493139,6.654928095,10.61386846,16.87053383,23.36881743,Wood_forest_im
REF,MFM,AF50,CongoBasin,5.267845,5.4457578,5.4457578,5.453163196,5.453163196,5.454609488,5.456787065,5.456787065,6.438816583,6.455939453,6.469448652,Wood_forest_im
REF,MFM,AF50,Former_USSR,24.49108388,27.03862361,29.10429506,29.80280712,30.1555313,30.38204586,33.21168282,35.94338035,40.97436818,45.69784495,51.47916108,Wood_forest_im
REF,MFM,AF50,IndiaReg,0.01434,0.096599182,0.096673245,0.096673245,0.096673245,0.096673245,0.381776785,0.381776785,1.382102614,1.382102614,1.382102614,Wood_forest_im
REF,MFM,AF50,IndonesiaReg,3.806978884,3.839425276,3.847350709,4.004847133,3.970613098,3.935911753,4.415485643,4.49375174,4.598289932,4.690502501,4.759526316,Wood_forest_im
REF,MFM,AF50,JapanReg,0.511811244,2.189771866,2.189771866,2.189771866,2.189771866,4.384401891,4.645477931,5.555255264,5.710352132,5.870373073,6.122311968,Wood_forest_im
REF,MFM,AF50,MalaysiaReg,1.619251667,1.711051828,1.728569951,2.1567071,2.189754196,1.953652985,2.016308991,2.035090836,2.050877667,2.04595754,2.004951597,Wood_forest_im
REF,MFM,AF50,MexicoReg,0,0.438733504,1.158611317,1.166247712,1.264815994,1.274771239,2.060588976,2.396811999,2.5198468,2.547615089,2.557228684,Wood_forest_im
REF,MFM,AF50,MidEastNorthAfr,0,0.123429808,0.817269808,0.817269808,0.817269808,0.817269808,0.827238021,0.858279292,0.864139394,0.866016944,0.877278388,Wood_forest_im
REF,MFM,AF50,Pacific_Islands,0.00075,0.05674293,0.084165027,0.084165027,0.090638979,0.09217689,0.138533694,0.182107445,0.182117685,0.182117685,0.182184213,Wood_forest_im
REF,MFM,AF50,RCAM,0,0.042832618,0.870189193,0.881971317,1.770434493,1.874284019,2.038954666,2.039832889,2.044777102,2.051506567,2.054740621,Wood_forest_im
REF,MFM,AF50,RCEU,0.085855,0.411786462,0.495097926,0.495097926,0.496355924,0.496355924,0.496355924,0.496355924,0.496375309,0.510330666,0.515088148,Wood_forest_im
REF,MFM,AF50,ROWE,5.645542737,5.718051562,5.960460626,6.031326608,6.0314145,6.0314145,6.0314145,6.0314145,6.0314145,6.0314145,6.0314145,Wood_forest_im
REF,MFM,AF50,RSAM,2.290276667,3.146329441,3.150090956,3.170683014,3.667396859,3.76656698,4.257109513,4.957747073,5.314889515,5.284382097,5.314940378,Wood_forest_im
REF,MFM,AF50,RSAS,0,2.108686397,2.337641667,2.883330572,2.91797597,2.91797597,2.988467434,4.035806626,4.035806626,4.035842982,4.036139296,Wood_forest_im
REF,MFM,AF50,RSEA_OPA,0.048226667,0.052491402,0.063161505,0.063161505,0.071472635,0.090398527,0.090398527,0.090398527,0.090398527,0.090398527,0.090398527,Wood_forest_im
REF,MFM,AF50,RSEA_PAC,0.02687,0.769702724,1.331653483,2.243757418,4.031059805,3.979739078,4.501058111,4.217398057,3.936901932,5.769404513,6.152726053,Wood_forest_im
REF,MFM,AF50,SouthAfrReg,1.592960556,1.74930139,1.749622428,1.617163133,1.71732739,1.861136782,1.85688301,1.979068644,2.101212081,2.210041653,2.306434017,Wood_forest_im
REF,MFM,AF50,SouthKorea,0.499110909,1.286304465,1.286304465,2.928248267,3.267396496,3.273130366,3.273130366,3.304537251,3.523581285,3.737930388,5.121486732,Wood_forest_im
REF,MFM,AF50,EasternAf,0,0.056318849,1.551615262,1.782726374,2.029184323,2.489175766,2.519802691,2.993003418,3.014285297,3.098089637,3.564030235,Wood_forest_im
REF,MFM,AF50,SouthernAf,0.254481111,0.307982506,0.328470839,0.328470839,0.330798087,0.336082809,0.336082809,0.64259022,0.64259022,0.642761644,0.642987472,Wood_forest_im
REF,MFM,AF50,WesternAf,2.342035,2.588880443,2.589938095,2.599762822,2.634235392,3.182790203,3.746983644,3.749017993,4.191677023,4.216699761,4.285278304,Wood_forest_im
REF,MFM,AF50,TurkeyReg,0,0.050666667,0.940991096,0.940991096,0.940991096,0.940991096,0.940991096,0.940991096,0.940991096,0.940991096,0.960225865,Wood_forest_im
REF,MFM,AF50,UkraineReg,0.697255,1.198259043,1.635382666,3.368883647,2.912023972,2.574685943,2.566582925,2.6645287,2.601338473,2.615998956,2.541296041,Wood_forest_im
REF,MFM,AF50,USAReg,14.89597844,20.9355092,31.96089825,31.96089825,31.96089825,31.96089825,31.96089825,31.96089825,31.96089825,31.96089825,31.96089825,Wood_forest_im
REF,MFM,AF75,ANZ,0.217282222,0.381786797,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,Wood_forest_im
REF,MFM,AF75,ArgentinaReg,0.6646,0.721435782,0.985628511,0.999945679,1.031149917,1.236306266,1.356729688,1.733083949,1.996261642,2.035636375,2.160352505,Wood_forest_im
REF,MFM,AF75,BrazilReg,3.717209837,5.029288652,5.293143467,5.293794532,5.294212637,5.294944218,5.295730892,5.297273407,5.303571005,5.368935028,5.468704703,Wood_forest_im
REF,MFM,AF75,CanadaReg,38.24744452,42.60335416,43.10006104,43.12008817,43.12008817,43.12008817,42.86020521,42.78961993,44.42197775,45.44808215,46.6822839,Wood_forest_im
REF,MFM,AF75,ChinaReg,0.02599,2.530644092,3.935675752,3.935675752,3.935675752,3.961766607,4.587933947,8.071790954,11.25193405,17.44452911,24.14480998,Wood_forest_im
REF,MFM,AF75,CongoBasin,5.267845,5.4457578,5.4457578,5.453163196,5.453163196,5.459011279,5.511310384,5.511310384,6.319221057,6.319221057,6.319221057,Wood_forest_im
