"","Scenario","Region","forest_EU_noex_min","forest_EU_noex_max","forest_EU_noex_mean","forest_ex_min","forest_ex_max","forest_ex_mean","forest_EU_ex_min","forest_EU_ex_max","forest_EU_ex_mean","forest_im_min","forest_im_max","forest_im_mean","EP_EU_min","EP_EU_max","EP_EU_mean","EP_im_min","EP_im_max","EP_im_mean","tot_noexport_min","tot_noexport_max","tot_noexport_mean"
"43","RCP6.5","MalaysiaReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01074980840198e-05,1.44906526734767e-05,1.12084936609895e-05,NA,NA,NA,8.5276068014267e-07,9.81897797261151e-07,8.86626397825835e-07,6.55364081064537e-07,1.49587947395111e-06,1.1951721260834e-06
"44","RCP6.5","MexicoReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13390033371445e-05,1.34940998965789e-05,1.2389906127373e-05,NA,NA,NA,2.83976438374574e-06,2.85783213875229e-06,2.8459594655883e-06,3.1468332605475e-07,8.26860587506584e-06,3.41890105878899e-06
"45","RCP6.5","MidEastNorthAfr",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0483987882416e-06,3.16601119979068e-06,3.12435169960691e-06,NA,NA,NA,4.60651698499871e-06,8.89773428848491e-06,6.75212563674181e-06,2.96994882219802e-06,1.3835567611181e-05,8.59418734520753e-06
"46","RCP6.5","Pacific_Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11167826674591e-05,9.06939328816097e-05,7.25094130671867e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","RCP6.5","RCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23834629893866e-05,1.40371196228062e-05,1.32641099320128e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","RCP6.5","RCEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50678521455581e-07,2.62102931174875e-07,2.54498016012084e-07,NA,NA,NA,6.4727360066828e-07,3.28266320349918e-05,4.8631556824866e-06,NA,NA,NA
"49","RCP6.5","ROWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21103322939613e-07,1.56442429923938e-07,1.37367282483892e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","RCP6.5","RSAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68440878268643e-06,7.38534249213155e-06,7.0048915202389e-06,NA,NA,NA,2.5720720076486e-06,2.79789569640825e-06,2.65648839793468e-06,5.77579853225239e-07,2.18394146975743e-06,1.48413315849998e-06
"51","RCP6.5","RSAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20074085006037e-06,9.07096156549077e-06,7.64782887517254e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","RCP6.5","RSEA_OPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00238437470426e-05,0.000124630318734476,9.96385833710165e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","RCP6.5","RSEA_PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46514312928664e-06,2.89679426774592e-06,2.65988735721451e-06,NA,NA,NA,1.36173238653037e-06,1.52612526641108e-06,1.46594012253135e-06,1.01553990829907e-07,1.97090862394048e-07,1.71812791426252e-07
"54","RCP6.5","SouthAfrReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08738939715407e-06,5.42539666504778e-06,5.17529429717642e-06,NA,NA,NA,1.21523418873635e-06,1.22053752819715e-06,1.21757822944228e-06,9.3746540881117e-07,2.64027536658537e-06,2.10934997454771e-06
"55","RCP6.5","SouthernAf",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07234270607506e-06,1.59022049972146e-05,1.17621098723601e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","RCP6.5","SouthKorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67302525911825e-07,8.35823169720616e-07,7.91262169484095e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","RCP6.5","TurkeyReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31485811884516e-06,1.62332245511792e-06,1.38359408234307e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","RCP6.5","UkraineReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11456246800757e-07,2.98430066306987e-07,2.66955637372026e-07,NA,NA,NA,1.90465351773701e-07,3.2311105992352e-07,2.48335086779604e-07,NA,NA,NA
"59","RCP6.5","USAReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90037232999193e-07,1.20273270109504e-06,9.54300676622211e-07,NA,NA,NA,7.7666213811297e-07,7.7666213811297e-07,7.7666213811297e-07,5.2209368608775e-08,5.2209368608775e-08,5.2209368608775e-08
"60","RCP6.5","WesternAf",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18843740580368e-06,5.72743104028049e-06,5.2976147001184e-06,NA,NA,NA,NA,NA,NA,9.29605916491306e-07,1.54760534345065e-06,1.26304285908062e-06
