"Scenario","Year","Region","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"REF_MFM_AF50","2020","ANZ",NA,NA,NA,3.14313647294663e-06,NA,NA,4.46804774230328e-06
"REF_MFM_AF50","2030","ANZ",NA,NA,NA,3.16593338097022e-06,NA,NA,4.50045412182354e-06
"REF_MFM_AF50","2040","ANZ",NA,NA,NA,3.17273725436297e-06,NA,NA,NA
"REF_MFM_AF50","2050","ANZ",NA,NA,NA,3.18525019989619e-06,NA,NA,NA
"REF_MFM_AF50","2060","ANZ",NA,NA,NA,3.19283190302351e-06,NA,NA,NA
"REF_MFM_AF50","2070","ANZ",NA,NA,NA,3.19849321184781e-06,NA,NA,NA
"REF_MFM_AF50","2080","ANZ",NA,NA,NA,3.20481376968202e-06,NA,NA,NA
"REF_MFM_AF50","2090","ANZ",NA,NA,NA,3.21420482019128e-06,NA,NA,NA
"REF_MFM_AF50","2100","ANZ",NA,NA,NA,3.22334577435611e-06,NA,2.64736311412025e-06,8.34536069962177e-06
"REF_MFM_AF75","2000","ANZ",NA,NA,NA,3.12124378162967e-06,NA,NA,1.43649294125392e-05
"REF_MFM_AF75","2010","ANZ",NA,NA,NA,3.13211146300142e-06,NA,NA,8.20382341037692e-06
"REF_MFM_AF75","2020","ANZ",NA,NA,NA,3.14313647770275e-06,NA,NA,4.46804774906423e-06
"REF_MFM_AF75","2030","ANZ",NA,NA,NA,3.16592773808114e-06,NA,NA,NA
"REF_MFM_AF75","2040","ANZ",NA,NA,NA,3.17273458536513e-06,NA,NA,NA
"REF_MFM_AF75","2050","ANZ",NA,NA,NA,3.18527341180285e-06,NA,NA,NA
"REF_MFM_AF75","2060","ANZ",NA,NA,NA,3.19285653693324e-06,NA,NA,NA
"REF_MFM_AF75","2070","ANZ",NA,NA,NA,3.19852045621629e-06,NA,NA,NA
"REF_MFM_AF75","2080","ANZ",NA,NA,NA,3.20483940284276e-06,NA,NA,NA
"REF_MFM_AF75","2090","ANZ",NA,NA,NA,3.21422368045766e-06,NA,NA,NA
"REF_MFM_AF75","2100","ANZ",NA,NA,NA,3.22338182778318e-06,NA,NA,NA
"REF_MFM_noAF","2000","ANZ",NA,NA,NA,3.12124378208425e-06,NA,NA,1.43649294146313e-05
"REF_MFM_noAF","2010","ANZ",NA,NA,NA,3.13211148412638e-06,NA,NA,8.20382346570874e-06
"REF_MFM_noAF","2020","ANZ",NA,NA,NA,3.14313649470096e-06,NA,NA,4.46804777322761e-06
"REF_MFM_noAF","2030","ANZ",NA,NA,NA,3.16593335808131e-06,NA,NA,4.50045408928638e-06
"REF_MFM_noAF","2040","ANZ",NA,NA,NA,3.17273753690729e-06,NA,NA,NA
"REF_MFM_noAF","2050","ANZ",NA,NA,NA,3.18528294408492e-06,NA,NA,NA
"REF_MFM_noAF","2060","ANZ",NA,NA,NA,3.19284783047736e-06,NA,NA,NA
"REF_MFM_noAF","2070","ANZ",NA,NA,NA,3.19850311876081e-06,NA,NA,NA
"REF_MFM_noAF","2080","ANZ",NA,NA,NA,3.20480558656201e-06,NA,2.63850931539095e-06,8.30641945711065e-06
"REF_MFM_noAF","2090","ANZ",NA,NA,NA,3.21419833985527e-06,NA,2.64102781427947e-06,8.32335160239829e-06
"REF_MFM_noAF","2100","ANZ",NA,NA,NA,3.22336001405974e-06,NA,2.64267279658231e-06,8.33871353708516e-06
"REF_SFM_AF0","2000","ANZ",NA,NA,NA,3.12124378217517e-06,NA,NA,1.43649294150497e-05
"REF_SFM_AF0","2010","ANZ",NA,NA,NA,3.13211148749187e-06,NA,NA,8.20382347452386e-06
"REF_SFM_AF0","2020","ANZ",NA,NA,NA,3.14313649740267e-06,NA,NA,4.46804777706815e-06
"REF_SFM_AF0","2030","ANZ",NA,NA,NA,3.16593336692155e-06,NA,NA,4.50045410185301e-06
"REF_SFM_AF0","2040","ANZ",NA,NA,NA,3.17271881408323e-06,NA,2.63585341567224e-06,8.25703187263582e-06
"REF_SFM_AF0","2050","ANZ",NA,NA,NA,3.18526271597431e-06,NA,2.6359136583706e-06,8.27494898195043e-06
