"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_SFM_AF100","2090",4.94564586057966e-07,9.02370371836843e-07,5.97698763899956e-07,3.62705231152834e-06,4.93137612701346e-07,1.68090918417526e-06,1.1025399487011e-07
"RCP_SFM_AF100","2100",5.6483869331649e-07,8.9874686439664e-07,6.6565861200828e-07,3.51936078358682e-06,4.95126106953581e-07,1.89444818107175e-06,9.18007699409938e-08
"RCP_SFM_AF25","2000",4.18897115346861e-07,7.54414165152261e-07,4.63819900258044e-07,1.85023957993312e-06,NA,NA,3.36441522710393e-07
"RCP_SFM_AF25","2010",3.76811133868184e-07,7.4992198861691e-07,4.32395618746951e-07,1.996861590004e-06,NA,NA,2.95441084670978e-07
"RCP_SFM_AF25","2020",3.4321524338316e-07,7.58237812188725e-07,4.0839506989429e-07,2.03428259778989e-06,7.04828395018799e-07,5.63020776584741e-07,2.63350357299186e-07
"RCP_SFM_AF25","2030",3.0676037098659e-07,7.54429896720287e-07,3.7127170002245e-07,2.07466905409407e-06,6.69803595395633e-07,1.79176547534612e-06,2.33539559872363e-07
"RCP_SFM_AF25","2040",2.74802887383815e-07,7.54494589645267e-07,3.46593482280087e-07,2.33586126522544e-06,6.17643773772573e-07,1.5663724951859e-06,1.99506318512033e-07
"RCP_SFM_AF25","2050",2.71738535419539e-07,7.50869991911234e-07,3.41159910745632e-07,2.39736297012703e-06,5.87368660862348e-07,1.66178284447454e-06,1.86091117972757e-07
"RCP_SFM_AF25","2060",2.80999061528635e-07,7.47591257621333e-07,3.45835694236305e-07,2.72764034011434e-06,5.61807491262256e-07,1.88000834074142e-06,1.81960609458164e-07
"RCP_SFM_AF25","2070",3.12089044820533e-07,7.39196172155562e-07,3.70496857105665e-07,3.2597654549627e-06,5.37773926423273e-07,1.76947376668248e-06,1.86576344679613e-07
"RCP_SFM_AF25","2080",3.17744757587061e-07,7.31780626805703e-07,3.73953263468864e-07,3.39593678579117e-06,5.20306463362663e-07,1.70430675627828e-06,1.74603923467786e-07
"RCP_SFM_AF25","2090",3.14622578507958e-07,7.27597679459939e-07,3.70755116501432e-07,3.31929689901325e-06,5.08684455243937e-07,1.81275803216203e-06,1.58854809755593e-07
"RCP_SFM_AF25","2100",3.04213066111678e-07,7.20563820772493e-07,3.61289301756735e-07,3.31624866302545e-06,5.00161690844448e-07,1.98340402194261e-06,1.41083964894229e-07
"RCP_SFM_AF50","2000",4.12285075969219e-07,7.97838778010029e-07,4.63907328962131e-07,1.84989376634503e-06,NA,NA,3.31186391014915e-07
"RCP_SFM_AF50","2010",3.69959190259759e-07,7.92809397028012e-07,4.32953634471045e-07,1.99539115935672e-06,NA,NA,2.90127865493275e-07
"RCP_SFM_AF50","2020",3.35117108352038e-07,8.01852426094739e-07,4.08418488382142e-07,2.03228247616826e-06,7.04817122437057e-07,NA,2.56438806057003e-07
"RCP_SFM_AF50","2030",3.01969183406016e-07,7.95204675088561e-07,3.73463054089137e-07,2.13615971596438e-06,6.53198141815275e-07,1.46390790705651e-06,2.28284926097139e-07
"RCP_SFM_AF50","2040",2.78856275454475e-07,7.97959238959905e-07,3.57116611584615e-07,2.60560316511897e-06,6.13746127921288e-07,1.52353890759074e-06,1.98716842577597e-07
"RCP_SFM_AF50","2050",2.79472834699491e-07,7.96876551737239e-07,3.55663475762613e-07,2.80736029149131e-06,5.69159767849974e-07,1.64047955351711e-06,1.84245468961836e-07
"RCP_SFM_AF50","2060",3.03790107139836e-07,7.9277603967284e-07,3.75508043911343e-07,3.4230819773749e-06,5.53944987594624e-07,1.90453953768449e-06,1.81169024132019e-07
"RCP_SFM_AF50","2070",3.39462234801068e-07,7.82266699924848e-07,4.04930636902702e-07,3.67786522759297e-06,5.16612521581869e-07,1.73981946896643e-06,1.8061487650799e-07
"RCP_SFM_AF50","2080",3.49732992151891e-07,7.73108184892051e-07,4.13792512373924e-07,3.81651591060641e-06,5.12974862140924e-07,1.65253785908829e-06,1.64990310383938e-07
"RCP_SFM_AF50","2090",3.47061907221396e-07,7.68112194823259e-07,4.13321609132991e-07,3.7893907853102e-06,5.12186879622886e-07,1.74495770870049e-06,1.43761229666375e-07
"RCP_SFM_AF50","2100",3.40854017030897e-07,7.61328412624341e-07,4.09887126755193e-07,3.71362814228377e-06,5.0499106821868e-07,1.93615076630719e-06,1.24551499921238e-07
"RCP_SFM_AF75","2000",4.0379972035374e-07,8.56844438932822e-07,4.64458427443826e-07,1.84620588894638e-06,NA,NA,3.24436153682105e-07
"RCP_SFM_AF75","2010",3.60695158462416e-07,8.51085183240881e-07,4.33751400515074e-07,1.99098813477536e-06,NA,NA,2.82940139198377e-07
"RCP_SFM_AF75","2020",3.23487369726482e-07,8.61242730466592e-07,4.07807410290532e-07,2.04035000038192e-06,7.04284097742411e-07,2.41215791786586e-06,2.51946170082196e-07
"RCP_SFM_AF75","2030",2.97100567644645e-07,8.53064234736139e-07,3.78281103104907e-07,2.30330394220601e-06,6.60375566890275e-07,2.52922745909484e-06,2.25071263679948e-07
"RCP_SFM_AF75","2040",2.84575132916245e-07,8.52589819611625e-07,3.72395843341488e-07,2.64311038946957e-06,5.839631129821e-07,1.59642569113411e-06,1.96491912021077e-07
"RCP_SFM_AF75","2050",2.88057782169918e-07,8.54692007125578e-07,3.75540969875537e-07,3.03082828349227e-06,5.48302963842416e-07,1.63232273664833e-06,1.77420749270404e-07
"RCP_SFM_AF75","2060",3.33861702869841e-07,8.50845352031187e-07,4.15767542635229e-07,3.62263679818916e-06,5.21341638228148e-07,1.82271024448272e-06,1.78600191482561e-07
"RCP_SFM_AF75","2070",3.78560029057748e-07,8.38300542452644e-07,4.54602086660242e-07,3.69626375408326e-06,5.02209618034963e-07,1.65342293934599e-06,1.72954426119352e-07
"RCP_SFM_AF75","2080",3.90102864368531e-07,8.26384127165262e-07,4.67679793642338e-07,3.71893286073784e-06,5.01805484873602e-07,1.56858554433609e-06,1.48814062082022e-07
"RCP_SFM_AF75","2090",3.9726732639028e-07,8.20705201548778e-07,4.78812782913736e-07,3.65678229101835e-06,4.99244027742919e-07,1.68695560082933e-06,1.26334800329692e-07
"RCP_SFM_AF75","2100",4.0814687734757e-07,8.14908883860365e-07,4.93905211409262e-07,3.54307695100054e-06,4.98072314202817e-07,1.91637529764445e-06,1.07580205536452e-07
"RCP_SFM_noAF","2000",4.23180669387991e-07,7.26296077357704e-07,4.63765159157994e-07,1.85011066210168e-06,NA,NA,3.39845338038454e-07
"RCP_SFM_noAF","2010",3.81256429268176e-07,7.21800153008296e-07,4.31989200030205e-07,1.99577760631274e-06,NA,NA,2.98884654475494e-07
"RCP_SFM_noAF","2020",3.48233319493184e-07,7.2981133921513e-07,4.08160636693105e-07,2.02960254277924e-06,7.049235835367e-07,2.41469051127581e-06,2.69777623323961e-07
"RCP_SFM_noAF","2030",3.24716909500333e-07,7.26238735812917e-07,3.82494032763336e-07,2.12703727658267e-06,6.60504488351288e-07,1.90972478840178e-06,2.47205943982087e-07
"RCP_SFM_noAF","2040",3.07989026539802e-07,7.29112290410072e-07,3.71100142378671e-07,2.59181729213522e-06,6.21275283683163e-07,1.58613793381703e-06,2.22348096836139e-07
"RCP_SFM_noAF","2050",3.14850437459353e-07,7.30318100704707e-07,3.75282097567769e-07,2.95683093244127e-06,5.85967202319011e-07,1.64772222653247e-06,2.14030546413847e-07
"RCP_SFM_noAF","2060",3.23881827539678e-07,7.27542099066281e-07,3.79834736464158e-07,3.09115084598949e-06,5.70233923576164e-07,1.94734943906734e-06,2.09244838204791e-07
"RCP_SFM_noAF","2070",3.62174107689179e-07,7.20172165411768e-07,4.10250585464875e-07,3.34908715970876e-06,5.44031768438568e-07,1.81115396480554e-06,2.19091629843457e-07
"RCP_SFM_noAF","2080",3.81980408365032e-07,7.15002184423992e-07,4.25964416523763e-07,3.70781876056046e-06,5.36197411580681e-07,1.74535966336438e-06,2.14728546395457e-07
"RCP_SFM_noAF","2090",3.90794539173067e-07,7.12780826922824e-07,4.3287442742041e-07,3.60269775475078e-06,5.2027723811635e-07,1.81935043801362e-06,2.0421286067354e-07
"RCP_SFM_noAF","2100",3.93170709569722e-07,7.0652215114135e-07,4.340743942504e-07,3.50385712202303e-06,5.05514555055101e-07,1.99657273899177e-06,1.9047210242888e-07
"REF_MFM_AF0","2000",4.23184286358994e-07,7.26300214133525e-07,4.63768845726295e-07,1.86535579294697e-06,NA,NA,3.39877475735521e-07
"REF_MFM_AF0","2010",3.86329697567884e-07,7.31478757862026e-07,4.37748551987868e-07,2.00110669557137e-06,NA,NA,3.02825822786394e-07
"REF_MFM_AF0","2020",3.51566086233853e-07,7.40173360791841e-07,4.12402368832388e-07,2.05541616497869e-06,7.14403785598653e-07,NA,2.70175752737125e-07
"REF_MFM_AF0","2030",3.2972516223349e-07,7.36350966304836e-07,3.90997543668898e-07,2.10273500978455e-06,6.64203585972529e-07,1.60285229197971e-06,2.50989913605947e-07
"REF_MFM_AF0","2040",3.07560941253664e-07,7.38811816514696e-07,3.78582969672024e-07,2.16935166502007e-06,6.58357471803713e-07,1.73299791634725e-06,2.27414527190642e-07
"REF_MFM_AF0","2050",2.9157790731515e-07,7.30670895584307e-07,3.64653236749725e-07,2.24744659005035e-06,6.3474750651689e-07,1.73629678357756e-06,2.08776660532429e-07
"REF_MFM_AF0","2060",2.87202930604546e-07,7.11383295230953e-07,3.59257202291454e-07,2.37699436913109e-06,5.9976713836372e-07,1.73437010493555e-06,2.00492548701684e-07
"REF_MFM_AF0","2070",2.85221059661399e-07,7.13026248467773e-07,3.58431769055347e-07,2.40426343553663e-06,6.03145453769268e-07,1.76722608117166e-06,1.95192560920913e-07
"REF_MFM_AF0","2080",2.81787265717347e-07,7.08742367285971e-07,3.55707850466542e-07,2.48026740535716e-06,6.14940698383514e-07,1.70497486519837e-06,1.9001659950437e-07
"REF_MFM_AF0","2090",2.7722347512318e-07,7.11145809228951e-07,3.52462624235691e-07,2.50696707298849e-06,6.20415514391989e-07,1.66246996404164e-06,1.84266440065998e-07
"REF_MFM_AF0","2100",2.91295787009603e-07,7.05013925082385e-07,3.63867034617572e-07,2.51310696810893e-06,6.29304776159603e-07,1.6381839819544e-06,1.90580196879346e-07
"REF_MFM_AF100","2000",4.23183809016176e-07,7.26297648339406e-07,4.63768088758198e-07,1.86250542404803e-06,NA,NA,3.39871625055575e-07
"REF_MFM_AF100","2010",3.8632925728564e-07,7.31476097754293e-07,4.37747781005365e-07,1.99718575484179e-06,NA,NA,3.02818831654004e-07
"REF_MFM_AF100","2020",3.51569957563847e-07,7.40144526703838e-07,4.12401120144868e-07,2.04737593451722e-06,7.14400919562303e-07,2.19637800623739e-06,2.73316929018626e-07
"REF_MFM_AF100","2030",3.22415409271165e-07,7.33812159304902e-07,3.84978048677217e-07,2.09868373027001e-06,6.52027312198762e-07,1.42529436004066e-06,2.44054908710841e-07
"REF_MFM_AF100","2040",2.95191695969096e-07,7.38011393177343e-07,3.68657977545502e-07,2.34552381447662e-06,6.42998342184744e-07,1.63452537389523e-06,2.1375479447432e-07
"REF_MFM_AF100","2050",2.83742570409221e-07,7.26838372557708e-07,3.58603505018783e-07,2.51407225693501e-06,6.14768626419528e-07,1.703607218149e-06,1.95455994885744e-07
"REF_MFM_AF100","2060",2.75971266401934e-07,7.0894183649006e-07,3.5177526211137e-07,2.77575316623731e-06,5.73551972890097e-07,1.74467775577291e-06,1.80478150136665e-07
"REF_MFM_AF100","2070",2.68375867040108e-07,7.06774964085408e-07,3.47889428759108e-07,2.92353982359077e-06,5.72612138766755e-07,1.78781404202356e-06,1.65941049594485e-07
"REF_MFM_AF100","2080",2.57909015561278e-07,7.05345807276062e-07,3.418034140078e-07,2.90580704529304e-06,5.80004871159963e-07,1.79644452493893e-06,1.50912842832981e-07
"REF_MFM_AF100","2090",2.49688721721974e-07,7.06666804611626e-07,3.38213271810545e-07,2.81471227410871e-06,5.86114983065153e-07,1.79588396118881e-06,1.38578786515433e-07
"REF_MFM_AF100","2100",2.94485999894796e-07,7.11077028382233e-07,3.77505037887804e-07,2.75382054146006e-06,5.9173167811869e-07,1.69983543085323e-06,1.54434770731686e-07
"REF_MFM_AF25","2000",4.2318327007076e-07,7.26299134954436e-07,4.63767821017529e-07,1.86572770518073e-06,NA,NA,3.39877382003186e-07
"REF_MFM_AF25","2010",3.86328697145048e-07,7.31477560831356e-07,4.37747522275224e-07,2.00221239551604e-06,NA,NA,3.02826922653362e-07
"REF_MFM_AF25","2020",3.52883459643101e-07,7.40067015649623e-07,4.136911335031e-07,2.02985769155362e-06,7.14858706261756e-07,2.63904336487517e-06,2.73617596154427e-07
