"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_SFM","AFM50",0.0131757191243662,0.113654775398215,0.0995147651090058,0.0272218641631333,1.9271480970409,1.68476399571985,3.89383517901716,0.844909644759365,0.0236116736107604,0.0243461225303769,0.0105952820609328,0.000693862498524361,0.124733289402374,0,0,0.000102476050932099,0,0,0,0.0253371763964121,0.0212653003856983,2.47861935777167,0.0696077778561161,0.00553562823272474,0.565220558178701,0.27028889725035,3.08478499532821e-05,0.226914297987946,0.0201815219948189,2.45156978304028
"REF_MFM","AFM50",0.109971447552191,0.117384040230136,0.113652969186071,0.0290385260273566,3.66544700313833,1.74438125661179,7.914287653546,0.870657191631805,0.0185851466557943,0.0152843031511771,0.0100412321137647,0.000508437452041459,0.0434072407483011,0,0,0.000937634085750498,0,0,0,0.00262246275306462,0.00752128740935988,0.22848051870875,0.00573029010748285,0,0.311421606962938,0.320661382374386,0.000317909332187539,0.13459507063179,0.0153963867092985,1.53114251244402
"REF_SFM","AFM50",0.109638996995989,0.117280583202548,0.113381778512718,0.029068917065828,3.6663640272541,1.74576797639779,7.91778899140463,0.870956695750927,0.0184671621895457,0.0230677960278952,0.0107990389167573,0.000564978194800294,0.0874231929820583,0,0,0.00031252606573138,0,0,0,0.00262257267765941,0.00821394372836857,0.228654699304065,0.00659838333894442,0,0.311477826140759,0.317325631233363,0.000315041538549922,0.132948047140046,0.0152894203876201,1.51057301712041
"RCP2.6_MFM","AFM75",0.0132974013476636,0.113972662156791,0.0999481802158712,0.0272491524180251,1.9309469028475,1.68403150238256,3.89573724076183,0.844828604260186,0.0216311365135516,0.0193597402063095,0.00968953773655533,0.000359337986854617,0.0902177918892851,0,0,0.000923329879093135,0,0,0,0.0253850389490202,0.0206194200617463,2.47767347474243,0.0607985571717703,0.00553377240624678,0.565024752187464,0.271250905445902,3.07194803570939e-05,0.228470128081663,0.0200269504050713,2.47059737481307
"RCP2.6_SFM","AFM75",0.0129333144341526,0.11354801493433,0.0991531881591135,0.027184091046225,1.92139384710805,1.68512893177525,3.88910245084335,0.84494416942816,0.0208942856608487,0.0308165426467207,0.0112987082278386,0.000363068051093406,0.145256824539143,0,0,8.43079874705611e-05,0,0,0,0.0253285379523333,0.0221095549275406,2.47916079556186,0.0828677398339742,0.00552314497389833,0.565327937773773,0.26950222301085,2.99866460256357e-05,0.225837684508431,0.0196236126354615,2.43499832240549
"REF_MFM","AFM75",0.110117737962287,0.117758837929692,0.113782688731165,0.0290655935266289,3.66589421062248,1.74462479699766,7.91524408410694,0.870712009651755,0.0166444385552437,0.0166460182096495,0.00994524795621667,0.000279813590684468,0.0557241042750996,0,0,0.0011606085571123,0,0,0,0.00261661373932474,0.00776525308844747,0.228510772753123,0.00551550626206139,0,0.311429286586566,0.31981985992961,0.000313403351413509,0.13415724478689,0.015186365121081,1.52669386543287
"REF_SFM","AFM75",0.108689035445154,0.11697198494682,0.113063274809354,0.0290521285527842,3.66455926064574,1.74625239883707,7.91840842640095,0.871086898064406,0.0145556731983608,0.0325901434082102,0.0115554378499283,0.000368577546655765,0.118297409653515,0,0,0.000306644534584515,0,0,0,0.00261667298484475,0.00912662669959691,0.228713148772086,0.0101094246555957,0,0.311520274163603,0.314365178326111,0.000310406945603106,0.131678360538639,0.015090822016057,1.49082330004661
"RCP2.6_MFM","AFM100",0.0133313264651178,0.114679152499164,0.100322554522687,0.0273487032296039,1.92697696672282,1.68412265083235,3.89348732929641,0.844791709465784,0.0191571539321413,0.0225765928561242,0.00967327016220108,0,0.0957885103565925,0,0,0.0011839387834795,0,0,0,0.0255336478274834,0.021042219113039,2.4778228628877,0.0688669030117818,0.00554242062976598,0.565054421215539,0.271117694444345,3.05267949672976e-05,0.227926581256734,0.01992683359036,2.46648453350313
"RCP2.6_SFM","AFM100",0.012732961368433,0.113485293096897,0.0987895178300882,0.0271504509633885,1.91864716327097,1.68583039492903,3.88681955357403,0.845105321463522,0.0181524735921673,0.0359080530783962,0.0125258158524,0,0.179815081481632,0,0,1.115886470973e-05,0,0,0,0.025425730315105,0.0230965060578331,2.48001996650031,0.0909848746102133,0.00551307455633797,0.56549655761097,0.268332144054243,2.93696064806813e-05,0.22443208595584,0.0192044914391517,2.41619345196535
"REF_MFM","AFM100",0.110438179843723,0.118475374029689,0.114091010190714,0.029100506502799,3.66549745988385,1.74495007676014,7.91557621912519,0.870760792970975,0.0145756917502063,0.0201744794040793,0.00992112898280613,0,0.0676713698468262,0,0,0.00139474939152284,0,0,0,0.00261814104368328,0.00812396191572714,0.228546875244453,0.00673702872541083,0,0.311440269725978,0.318679685447273,0.000311910640953628,0.133627343565177,0.0151223297490759,1.52000141835706
"REF_SFM","AFM100",0.107817205609112,0.116730301471721,0.112594143715927,0.0289440982432154,3.663236373484,1.747514977404,7.92012877482105,0.871378578378564,0.0116177600930048,0.0407087138127082,0.0127500086083905,0,0.164362066970599,0,0,0.000274308448122672,0,0,0,0.00261470279569544,0.00984289196555402,0.228880880595458,0.0152109255239406,0,0.311590712169673,0.31097824345552,0.000304635780107119,0.130090606632603,0.0148240105777761,1.46712707966771
