"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF25","EU","2090",0.00933487716711171,0.0604521734299892,0.0598893953022845,0.0160021326410154,0.00255117839485892,0.0041253180547905,0.00590782419634608,0.00111110268426444,0.0141942528916515,0.000486108096942612,0.00513262094700389,0.000345813300697284,0,0,0,0.000302417960062278,0,0.0099364496814427,0.00885061339198001,0.00201816628033271,0.000226574387764756,0.00188255218755505,0.000903529187741436,0.000246677265997913,2.07961354675142e-05,0.000333760597655342,0.00775543992240036,0.00125648903248651
"RCP_MFM_AF25","EU","2100",0.00582325508626266,0.0602341207391428,0.0554562969606988,0.0158990581459325,0.00217563584824967,0.0040827251896397,0.00529545978395646,0.00110404690105786,0.0137516349221056,0.00049877106785966,0.00510773608446828,0.000404776420773097,0,0,0,0.000307367498481819,0,0.0138338747089992,0.0101260007937862,0.00224873482999508,0.000222936799037642,0.00297097498803041,0.00103000484064365,0.000209953904922737,1.31594315007276e-05,0.000339778750175385,0.00777107175984932,0.00136191264767972
"RCP_MFM_AF25","Former_USSR","2000",0.00138712537335839,0.00143777675905388,0.00179696242982233,0.000250407776494113,0.0392042285139445,0.0403498964856275,0.147192274404873,0.00411911678400902,0.00156889879249715,0.000680717478740135,0.000260206843881674,0,1.26911231973404e-07,0,0,6.87222346667824e-05,0,0,0,0,0,0,0,0.00737837149284881,0.000155962465332589,0.00589797338937715,0.00226639721444316,0.00409828980931998
"RCP_MFM_AF25","Former_USSR","2010",0.00141794057342521,0.00144191060367848,0.00175647105653632,0.000251198820731563,0.0378489902477371,0.0401792827839186,0.141030778258357,0.00410247543940129,0.00157763523049756,0.000769956360339737,0.000325202964897577,0,3.66170844485828e-06,0,0,5.81305893411455e-05,0,0,0,0,0,1.12998480786493e-05,0.00153309229578036,0.00689440825789502,0.000137847132019368,0.00592587242652393,0.00241727293385272,0.00475011638128079
"RCP_MFM_AF25","Former_USSR","2020",0.00146937315666375,0.00144316643216739,0.00172724078773267,0.000251194436941662,0.0390105378613896,0.0401780436684813,0.137678070945587,0.00409792040979509,0.0015436301562225,0.000845808940739202,0.000400308167322389,0,6.32922379576234e-06,0,0,5.24272013315555e-05,0,0.000110191460351365,1.96954697358837e-05,0,0,1.14132074116838e-05,0.00240345554295987,0.00639245253189408,0.000119979958570015,0.00599769228369398,0.00256051826376994,0.0057012535851209
"RCP_MFM_AF25","Former_USSR","2030",0.00152451305349889,0.00145983568012707,0.00168447419456254,0.00025578544618899,0.0395313323750824,0.0400438868965008,0.132038204982593,0.0040829241117806,0.00152854638884651,0.000893703261686456,0.000409624532475152,2.76033337967443e-06,1.97651267889729e-05,0,0,5.33088993358173e-05,0,1.94688317786262e-05,4.1123774493935e-05,1.05895652480645e-06,0,1.89484125774131e-05,0.00348792611106457,0.00618659443168022,0.000106395720654391,0.00609437728534714,0.00271425528349724,0.00640975786813745
"RCP_MFM_AF25","Former_USSR","2040",0.00152580031161531,0.00145316352117807,0.00163058779550705,0.000254361585128374,0.0401078433415331,0.040034146026675,0.129275885735997,0.00406936188336179,0.00145637552730976,0.000898453595525238,0.000454581816059368,5.62656639038416e-06,3.31001560699095e-05,0,0,4.8500689043186e-05,0,7.04340196106623e-05,7.60162535390361e-05,1.06023571295426e-06,1.35579967680294e-05,2.16998081738393e-05,0.00433516772884179,0.00593190299144881,9.11462522264482e-05,0.0061696740499844,0.00280351580097088,0.00704066331269339
"RCP_MFM_AF25","Former_USSR","2050",0.00147254843706498,0.0014498880707075,0.00159255663750257,0.000253909219698132,0.041268154042761,0.0400013352672647,0.125870269858424,0.00406033741777564,0.00144552778150006,0.000913352439138314,0.000464314532759177,7.35722501741282e-06,3.37246023442075e-05,0,0,4.55642133025067e-05,0,0.000142761453709954,0.000116654291866891,3.015113212484e-06,3.8565645981483e-05,2.2776340520643e-05,0.00518919856941174,0.00574884791513983,7.58897743649121e-05,0.00622277875345442,0.00293716355327091,0.00762089026207416
"RCP_MFM_AF25","Former_USSR","2060",0.00141293812711873,0.00144855666105275,0.00157044327676873,0.00025396817431404,0.0423674665179861,0.0399241780573373,0.122203663989559,0.00405039676238488,0.00144918014368733,0.000898838182285997,0.000470004308622949,8.95419518339031e-06,4.17684669672702e-05,0,0,4.45803062206372e-05,0,0.000280032153748639,0.000152153572391436,3.1070294286798e-05,8.09180409815159e-05,2.28836986590589e-05,0.00578191116014291,0.0056085197270817,5.6264574154971e-05,0.00627422302710951,0.0031396449217062,0.0080559146843252
"RCP_MFM_AF25","Former_USSR","2070",0.00122064754597028,0.00144973906159008,0.0015821278375868,0.00025516878570471,0.0423432535820303,0.039822941870453,0.11912325319559,0.00404231931753374,0.00143078629617597,0.000928208898134016,0.000479538600421577,1.04599551874534e-05,4.82152452980565e-05,0,0,5.13063815651482e-05,0,0.000254507863751588,0.000197154303766093,0.00030527619402577,0.00012447428109699,2.47276916445378e-05,0.00620299119004039,0.00537577281533002,3.64793599218459e-05,0.00636659910218985,0.00337107251818812,0.00863834813406665
