"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem","For_Selective_im","For_Agroforestry","For_TimberPlant","For_ReducedImpactLogging_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA1002",1.27540612248,0.8759980522,0.00473695,0.036399178,0.1082574438,0.00687367748,0,0,0,0.0015158235,0,0,0.000681959,0,0.0015158235,0,0.181378184811119,0.0127318797630805,0.0453171504258007
"RCP_MFM_AF0","AA1003",3.596373257,0.80475966004,0.011136932,0.599715914,1.55264766696,0,0,0.001158528,0,0,0,0.001621459,0,0,0,0,0.414572877964278,0.157395291459285,0.053364927576437
"RCP_MFM_AF0","AA1201",13.074218754422,4.51245267088,0.297229487,0.526422631,4.70518855312,0.007637419422,0,4.55e-06,0,0,0,6.37e-06,0,0,0,0,2.00558905647235,0.761500881395966,0.258187135131681
"RCP_MFM_AF0","AA1202",11.083715884985,2.52619218625,0.886901845,0.589549353,3.41438543375,0.003139827985,0,0.00038489,0,0,0,0.000538686,0,0,0,0,2.4283483151306,0.921754252333492,0.31252109553591
"RCP_MFM_AF0","AA1203",5.722342095666,1.30130878893,1.162801299,0.4149221,2.50102723807,0.029361634666,0,0.000362379,0,0,0,0.00050718,0,0,0,0,0.210474952105598,0.0758571359288192,0.0257193879655831
"RCP_MFM_AF0","AA1204",1.03989488628,0.05100856047,0.049306626,0.000213273,0.22995264753,0.00364898928,0,0.00082598,0,0,0,0.00115603,0,0,0,0,0.466569408228895,0.177150450681704,0.0600629210894011
"RCP_MFM_AF0","AA1205",1.571284475,0.01947387743,0.441238294,0.00109801,0.56334228057,0.15334241,0,0.000480485,0,0,0,0.00067248,0,0,0,0,0.259633129902884,0.0985799441927523,0.0334235639043641
"RCP_MFM_AF0","AA1206",2.32746679264,0.30490836579,0.556966279,0.041231175,1.20773474421,0.11939832364,0,8.77e-05,0,0,0,0.000122728,0,0,0,0,0.0643171469794688,0.0244205381734015,0.00827979184712968
"RCP_MFM_AF0","AA1207",18.95774195349,3.76704201658,1.307352601,1.159366266,11.56759147542,0.05524400049,0,0.000432675,0,0,0,0.000605565,0,0,0,0,0.729343960753243,0.276885327836065,0.0938780654106916
"RCP_MFM_AF0","AA1208",2.640262452158,0.2510384673,0.305074943,0.063590523,1.6124802987,0.000848602158,0,0.000463613,0,0,0,0.000648866,0,0,0,0,0.269232890069326,0.102224871255126,0.0346593776755484
"RCP_MFM_AF0","AA1209",16.110445485653,3.52995983312,3.161493409,1.130516071,6.79976621288,0.004582451653,0,0.000993801,0,0,0,0.001390909,0,0,0,0,0.98231238609447,0.372973588683632,0.126456823221898
"RCP_MFM_AF0","AA1210",4.72748874966,0.20735795059,1.062608772,0.042464186,1.72175498141,0.04115720466,0,0.00192186,0,0,0,0.002689806,0,0,0,0,1.0922543996405,0.414681637780119,0.140597951579376
