"Pathway","Group","Scenario","Category","PDF"
"RCP2.6","MFM","AFM25","EU28 - Clear cut",0.000206322816491038
"RCP2.6","MFM","AFM25","EU28 - Retention",6.3751403616728e-06
"RCP2.6","MFM","AFM25","EU28 - Selection",5.38544806951023e-06
"RCP2.6","SFM","AFM25","EU28 - Clear cut",0.000206424599795568
"RCP2.6","SFM","AFM25","EU28 - Retention",6.61191023741116e-06
"RCP2.6","SFM","AFM25","EU28 - Selection",1.43370159953223e-06
"REF","MFM","AFM25","EU28 - Clear cut",0.000152121036642
"REF","MFM","AFM25","EU28 - Retention",4.273948927687e-06
"REF","MFM","AFM25","EU28 - Selection",1.00098398423e-05
"REF","SFM","AFM25","EU28 - Clear cut",0.00016567242126
"REF","SFM","AFM25","EU28 - Retention",5.0449931095e-06
"REF","SFM","AFM25","EU28 - Selection",4.618625443255e-06
"RCP2.6","MFM","AFM50","EU28 - Clear cut",0.000186669452322718
"RCP2.6","MFM","AFM50","EU28 - Retention",4.58122957119416e-06
"RCP2.6","MFM","AFM50","EU28 - Selection",8.76802705894683e-06
"RCP2.6","SFM","AFM50","EU28 - Clear cut",0.000184874347486189
"RCP2.6","SFM","AFM50","EU28 - Retention",4.65175404192742e-06
"RCP2.6","SFM","AFM50","EU28 - Selection",1.3521480282105e-06
"REF","MFM","AFM50","EU28 - Clear cut",0.000145635042197
"REF","MFM","AFM50","EU28 - Retention",3.42988836605e-06
"REF","MFM","AFM50","EU28 - Selection",1.23294497213e-05
"REF","SFM","AFM50","EU28 - Clear cut",0.000145841789241
"REF","SFM","AFM50","EU28 - Retention",3.7978702777e-06
"REF","SFM","AFM50","EU28 - Selection",4.1183704438e-06
"RCP2.6","MFM","AFM75","EU28 - Clear cut",0.000167979513129606
"RCP2.6","MFM","AFM75","EU28 - Retention",2.41649809656074e-06
"RCP2.6","MFM","AFM75","EU28 - Selection",1.20882427804022e-05
"RCP2.6","SFM","AFM75","EU28 - Clear cut",0.000162976374613319
"RCP2.6","SFM","AFM75","EU28 - Retention",2.43500615143033e-06
"RCP2.6","SFM","AFM75","EU28 - Selection",1.11254520742455e-06
"REF","MFM","AFM75","EU28 - Clear cut",0.000129531944887
"REF","MFM","AFM75","EU28 - Retention",1.8866123628858e-06
"REF","MFM","AFM75","EU28 - Selection",1.52573415196e-05
"REF","SFM","AFM75","EU28 - Clear cut",0.000115488168827
"REF","SFM","AFM75","EU28 - Retention",2.4788054654e-06
"REF","SFM","AFM75","EU28 - Selection",4.046467319e-06
"RCP2.6","MFM","AFM100","EU28 - Clear cut",0.00014820961663623
"RCP2.6","MFM","AFM100","EU28 - Retention",0
"RCP2.6","MFM","AFM100","EU28 - Selection",1.55002639748755e-05
"RCP2.6","SFM","AFM100","EU28 - Clear cut",0.000142192305904746
"RCP2.6","SFM","AFM100","EU28 - Retention",0
"RCP2.6","SFM","AFM100","EU28 - Selection",1.47044820572075e-07
"REF","MFM","AFM100","EU28 - Clear cut",0.000113009572912
"REF","MFM","AFM100","EU28 - Retention",0
"REF","MFM","AFM100","EU28 - Selection",1.83311871219e-05
"REF","SFM","AFM100","EU28 - Clear cut",9.2240722679e-05
"REF","SFM","AFM100","EU28 - Retention",0
"REF","SFM","AFM100","EU28 - Selection",3.6208657989e-06
