Ecoregion,Globiom_Reg,Share
IM0115,RSAS,0.846711487
PA0514,RSAS,0.001764041
IM0301,RSAS,0.502071648
PA0431,RCEU,0.13618092
IM1405,RSEA_OPA,0.003874991
IM0104,RSEA_OPA,0.029728865
IM0103,RSEA_OPA,0.000660635
PA0435,EU,0.934384397
PA0422,EU,0.00236715
PA0814,EU,0.025339632
PA0404,EU,0.558902538
PA0419,EU,0.027602533
PA1201,EU,0.620781788
IM0163,RSEA_PAC,0.000238149
IM1402,RSEA_PAC,0.690104792
IM0106,RSEA_PAC,0.72552372
IM0165,RSEA_PAC,1
IM0210,RSEA_PAC,0.878552526
IM0202,RSEA_PAC,0.337618325
IM0152,RSEA_PAC,0.99999573
IM0164,RSEA_PAC,1
AT0904,CongoBasin,0.028800429
AT0103,CongoBasin,0.765416144
Lake,CongoBasin,0.027137406
AT0705,CongoBasin,0.333604082
AT0710,CongoBasin,0.781231808
AT0712,CongoBasin,0.780220783
AT0121,CongoBasin,1
AT1401,CongoBasin,0.313628752
AT0107,CongoBasin,0.692261815
AT0129,CongoBasin,1
AT1303,WesternAf,1
AT0904,WesternAf,0.971199571
PA1331,WesternAf,0.901725532
Lake,WesternAf,0.011649443
AT0705,WesternAf,0.499683119
AT0713,WesternAf,0.984276201
PA1001,ChinaReg,0.176610443
PA0521,ChinaReg,0.46502868
PA0414,ChinaReg,0.49316711
PA0601,ChinaReg,7.82E-05
PA0505,ChinaReg,0.608276783
IM0149,ChinaReg,0.829149006
PA0411,ChinaReg,1
IM0501,ChinaReg,0.067170822
Rock and Ice,ChinaReg,0.026660168
IM0401,ChinaReg,0.003227083
PA0442,ChinaReg,1
PA0518,ChinaReg,1
PA1012,ChinaReg,0.024799635
PA1021,ChinaReg,0.510407717
PA1003,ChinaReg,0.803441069
PA0426,ChinaReg,0.707184629
PA1314,ChinaReg,0.367934626
PA0907,ChinaReg,0.449400402
PA0502,ChinaReg,0.119313885
PA0903,ChinaReg,1
PA0430,ChinaReg,0.999888662
PA0902,ChinaReg,1
PA1002,ChinaReg,0.979952174
PA0813,ChinaReg,0.650171403
PA1019,ChinaReg,0.689079206
PA0517,ChinaReg,1
PA0804,ChinaReg,0.013867577
PA1017,ChinaReg,1
PA0901,ChinaReg,0.434408102
PA0802,ChinaReg,0.02639641
PA1317,ChinaReg,0.78505978
PA0806,ChinaReg,0.706109954
PA0818,ChinaReg,0.067394515
PA1302,ChinaReg,0.678282197
PA1022,ChinaReg,0.999977049
PA1330,ChinaReg,0.999999076
PA1013,ChinaReg,1
PA0424,ChinaReg,1
PA1014,ChinaReg,0.28379721
PA1015,ChinaReg,1
PA0508,ChinaReg,1
PA1324,ChinaReg,1
PA1011,ChinaReg,0.96958415
PA0908,ChinaReg,1
PA0434,ChinaReg,1
PA0415,ChinaReg,1
IM0118,ChinaReg,1
PA1006,ChinaReg,0.613641265
PA1020,ChinaReg,1
PA0417,ChinaReg,1
PA0516,ChinaReg,0.945641713
PA0509,ChinaReg,1
PA0437,ChinaReg,1
PA0101,ChinaReg,1
PA0514,ChinaReg,0.998235959
PA0102,ChinaReg,1
IM0402,ChinaReg,0.000781503
IM0140,ChinaReg,0.001212072
IM0137,ChinaReg,0.33645834
IM0131,ChinaReg,0.000127546
IM0172,ChinaReg,1
IM0171,ChinaReg,1
IM0152,ChinaReg,4.27E-06
IM0169,ChinaReg,1
PA1222,EU,1
PA0418,EU,0.290481565
PA1210,EU,0.448694914
PA1206,EU,1
PA0504,EU,0.733231691
PA0430,RSEA_PAC,0.000111338
PA0426,RSEA_PAC,0.091776162
PA0414,RSEA_PAC,0.50683289
PA0413,RSEA_PAC,0.269950111
PA0405,EU,1
PA0402,EU,1
AT1305,WesternAf,0.603697176
AT1304,WesternAf,1
PA1333,MidEastNorthAfr,0.739698138
PA0904,MidEastNorthAfr,1
PA1213,MidEastNorthAfr,1
PA1320,MidEastNorthAfr,1
PA1321,MidEastNorthAfr,0.840229252
PA1325,MidEastNorthAfr,1
PA1331,MidEastNorthAfr,0.098274468
PA1303,MidEastNorthAfr,1
AT0127,CongoBasin,1
AT1007,WesternAf,0.031914654
AT0112,WesternAf,0.081528827
AT0715,WesternAf,0.465147462
PA0436,EU,0.32623742
AT1008,EasternAf,1
AT0112,EasternAf,0.918471173
AT0905,EasternAf,0.004120494
AT1007,EasternAf,0.968085346
AT0705,EasternAf,0.1667128
AT1305,EasternAf,0.396302824
AT0715,EasternAf,0.534852538
AT0711,EasternAf,0.922672246
AT0721,EasternAf,0.935647016
AT1313,EasternAf,1
Lake,EasternAf,0.116935733
PA1110,EU,0.228050703
PA0608,EU,0.270732016
PA0422,Former_USSR,0.084745474
PA1217,EU,0.586032705
PA1205,EU,1
IM1403,IndiaReg,0.494707401
IM0303,IndiaReg,0.996976828
IM1303,IndiaReg,0.494903669
IM0209,IndiaReg,1
IM0501,IndiaReg,0.119715188
IM0401,IndiaReg,0.282589803
PA1012,IndiaReg,0.50405134
Rock and Ice,IndiaReg,0.004027235
IM0701,IndiaReg,0.34695795
IM0125,IndiaReg,0.068834694
IM0101,IndiaReg,0.996379518
PA1307,IndiaReg,1.70E-05
IM1401,IndiaReg,1
IM0135,IndiaReg,1
IM0124,IndiaReg,1
IM0502,IndiaReg,0.122398135
PA1006,IndiaReg,0.003871386
IM0403,IndiaReg,0.766416926
PA1003,IndiaReg,0.01054975
IM0133,IndiaReg,1
IM0301,IndiaReg,0.497928352
PA1021,IndiaReg,0.177394493
IM0166,IndiaReg,0.99999578
IM1304,IndiaReg,0.67085361
IM0115,IndiaReg,0.153288513
IM0206,IndiaReg,1
IM0105,IndiaReg,0.995235024
IM0402,IndiaReg,0.000592421
IM0140,IndiaReg,3.12E-06
IM0120,IndiaReg,0.580790244
IM0131,IndiaReg,0.427589357
IM0126,IndiaReg,0.999266322
IM0207,IndiaReg,1
IM0203,IndiaReg,1
IM0901,IndiaReg,0.877363003
IM0109,IndiaReg,0.001240898
IM0111,IndiaReg,1
IM0162,IndiaReg,0.476661036
IM1406,IndiaReg,0.217133636
IM0208,IndiaReg,1
IM1301,IndiaReg,0.993060057
IM0134,IndiaReg,1
IM0201,IndiaReg,1
IM0142,IndiaReg,1
IM0204,IndiaReg,1
IM0151,IndiaReg,1
IM0150,IndiaReg,1
PA0812,MidEastNorthAfr,0.991677243
PA1008,MidEastNorthAfr,0.406097412
PA0407,MidEastNorthAfr,0.927871818
