"Group","PDF","lower95","upper95","Scenario","Year"
"REF_SFM",0.000264153006330542,0,0,"AFM25","2090"
"RCP2.6_MFM",0.000474097851194955,0,0,"AFM50","2090"
"RCP2.6_SFM",0.000510716710106749,0,0,"AFM50","2090"
"REF_MFM",0.000239736887603976,0,0,"AFM50","2090"
"REF_SFM",0.000260833431320635,0,0,"AFM50","2090"
"RCP2.6_MFM",0.00045297795520927,0,0,"AFM75","2090"
"RCP2.6_SFM",0.000520328080939791,0,0,"AFM75","2090"
"REF_MFM",0.000223569715458252,0,0,"AFM75","2090"
"REF_SFM",0.000261028802249251,0,0,"AFM75","2090"
"RCP2.6_MFM",0.000437605714794528,0,0,"AFM100","2090"
"RCP2.6_SFM",0.000532705080947401,0,0,"AFM100","2090"
"REF_MFM",0.000219255680312878,0,0,"AFM100","2090"
"REF_SFM",0.000261515015606604,0,0,"AFM100","2090"
"RCP2.6_MFM",0.000646265295492079,0,0,"noAFM","2100"
"RCP2.6_SFM",0.000646862012731072,0,0,"noAFM","2100"
"REF_MFM",0.000358275490906323,0,0,"noAFM","2100"
"REF_SFM",0.000358923216523413,0,0,"noAFM","2100"
"RCP2.6_MFM",0.000592216214311695,0,0,"AFMfree","2100"
"RCP2.6_SFM",0.000590163361578732,0,0,"AFMfree","2100"
"REF_MFM",0.000280882400882717,0,0,"AFMfree","2100"
"REF_SFM",0.000274002125213791,0,0,"AFMfree","2100"
"RCP2.6_MFM",0.00055263075253001,0,0,"AFM25","2100"
"RCP2.6_SFM",0.000572901167153186,0,0,"AFM25","2100"
"REF_MFM",0.000258180734545303,0,0,"AFM25","2100"
"REF_SFM",0.000262839114929496,0,0,"AFM25","2100"
"RCP2.6_MFM",0.000527787246481835,0,0,"AFM50","2100"
"RCP2.6_SFM",0.000579950345316165,0,0,"AFM50","2100"
"REF_MFM",0.000234647136569252,0,0,"AFM50","2100"
"REF_SFM",0.000257472377927778,0,0,"AFM50","2100"
"RCP2.6_MFM",0.000500352815815388,0,0,"AFM75","2100"
"RCP2.6_SFM",0.000594999466842185,0,0,"AFM75","2100"
"REF_MFM",0.000217012585138566,0,0,"AFM75","2100"
"REF_SFM",0.000257366066563418,0,0,"AFM75","2100"
"RCP2.6_MFM",0.000483066879029775,0,0,"AFM100","2100"
"RCP2.6_SFM",0.000593971566510066,0,0,"AFM100","2100"
"REF_MFM",0.000209636215027326,0,0,"AFM100","2100"
"REF_SFM",0.000258707211886331,0,0,"AFM100","2100"
