"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"REF_SFM_AF50","ChinaReg","2020",0,0,0,0,0.17632650732922,0.0660332458285952,0.239972847066114,0.04352417670945,0,0.00091465888516547,0,0,3.23726991876995e-05,0,0,0,4.38593848420487e-05,0,7.1171639135925e-06,0,0,2.60306927664743e-05,0,0,0.0132351003098196,0.0310647764103848,0,0.00527155818274772,0,0.0947656632446
"REF_SFM_AF50","ChinaReg","2030",0,0,0,0,0.177010857407034,0.0664962841511914,0.25507173953211,0.044213303430217,0,0.000930500802578805,0,0,7.75688861861711e-05,0,0,0,3.7780876114415e-05,0,1.68610184019711e-05,0,0,0.000224710080653468,0,0,0.0241921160901956,0.0258820221688468,0,0.00613857037166431,0,0.101852965618295
"REF_SFM_AF50","ChinaReg","2040",0,0,0,0,0.178455594612498,0.0667399940254685,0.26505318458142,0.044491888917207,0,0.000939836934154145,0,0,0.000105648876380174,0,0,0,3.31112006219388e-05,0,2.61630807867283e-05,0,0,0.000225926269649987,2.80843324881375e-05,0,0.0257905863100056,0.0223652889573289,0,0.00681655052838232,0,0.107817101245111
"REF_SFM_AF50","ChinaReg","2050",0,0,0,0,0.176712914918365,0.0668912693882889,0.270903037438968,0.0446242543387585,0,0.00102845668751339,0,0,0.00013095478403135,0,0,0,3.00255370935762e-05,0,2.2320812327873e-05,0,0,0.000227167406614224,4.94805940477252e-05,0,0.0265110683371266,0.0196154022673366,0,0.00734050829014273,0,0.112281132929832
"REF_SFM_AF50","ChinaReg","2060",0,0,0,0,0.169045542193454,0.0670090051819319,0.276611669143895,0.0445513882785452,0,0.00138369190943431,0,0,0.00015455186746184,0,0,0,2.93394448398761e-05,0,2.5756982036089e-05,0,0,0.000364743732573881,4.85459273063513e-05,0,0.0270496445336636,0.0180607605858332,0,0.00748844560774234,0,0.11284500882568
"REF_SFM_AF50","ChinaReg","2070",0,0,0,0,0.15765059620783,0.0670204824911302,0.279581142127803,0.0443779969655177,0,0.00226466560769982,0,0,0.000198204009659081,0,0,0,3.02517247463586e-05,0,3.08267741426305e-05,0,0,0.000442550315568477,5.05560485780111e-05,0,0.027650071999222,0.0167867215665756,0,0.00752803032170367,0,0.11266317870568
"REF_SFM_AF50","ChinaReg","2080",0,0,0,0,0.144282721765296,0.067017809952606,0.283215861476445,0.0442056354876605,0,0.00345652458199624,0,0,0.000227940296358984,0,0,0,3.35274488784221e-05,0,3.59596150927517e-05,0,0,0.000535832456409146,6.05681171453737e-05,0,0.0284193434390885,0.0156771055766248,0,0.00749407048425242,0,0.112234443689838
"REF_SFM_AF50","ChinaReg","2090",0,0,0,0,0.136993774350313,0.0670037566456534,0.282472875141313,0.0440712189445963,0,0.00506928864321141,0,0,0.000242359840004604,0,0,0,3.73907864173508e-05,0,3.99091351874508e-05,0,0,0.00061544916367707,6.43114161278099e-05,0,0.0292994712542264,0.0146941850026194,0,0.00755150508833915,0,0.111689790111725
"REF_SFM_AF50","ChinaReg","2100",0,0,0,0,0.121280913633276,0.0668389210872372,0.283079322602134,0.0437395556058477,0,0.00671907209665087,0,0,0.000272448863874554,0,0,0,3.95764932960361e-05,0,3.64021910340461e-05,0,0,0.000687796831708749,6.53865006976013e-05,0,0.0299623827928682,0.0139298609451272,0,0.00756411747122465,0,0.111385428611758
"REF_SFM_AF50","CongoBasin","2000",0,0,0,0,0.0332349775419587,0.0200257517826349,0.0681582882022826,0.135684632142331,0,0,0,0,0.00079956437692191,0,0,0,0,0,0.000196054963619645,0,0,0,0,0,0,0.0606725178010415,0,0.0151147230449315,0,0.0170526961193289
"REF_SFM_AF50","CongoBasin","2010",0,0,0,0,0.0360702849625503,0.0201672048723409,0.0815274765851518,0.135939701879802,0,0,0,0,0.000828014288999012,0,0,0,0,0,0.000202916107665384,0,0,0,0,0,0.00131077684715427,0.0556185010160257,0,0.0152685725610054,0,0.0199593916500649
"REF_SFM_AF50","CongoBasin","2020",0,0,0,0,0.0389075396652954,0.0202988021273031,0.0885426645734868,0.136107308089374,0,0,0,0,0.000833535658339733,0,0,0,0,0,0.00020446343885683,0,0,0.00503448161856927,0,0,0.00196230384061838,0.0526150909793794,0,0.0154746240728019,0,0.0218387259710275
"REF_SFM_AF50","CongoBasin","2030",0,0,0,0,0.0416694172213425,0.0204457213446028,0.0903109866737927,0.136176210002804,0,0,0,0,0.000840005358962259,0,0,0,0,0,0.000206422959446144,0,0,0.0114387058629707,0,0,0.00400045686998994,0.0506154771989718,0,0.0158283529770219,0,0.0267164922802915
"REF_SFM_AF50","CongoBasin","2040",0,0,0,0,0.0455089138136107,0.0205853848609632,0.0970704774840606,0.136336722258861,0,0,0,0,0.00084569690314004,0,0,0,0,0,0.000208119664670449,0,0,0.0119207372498296,0,0,0.00558959599847254,0.048466316899389,0,0.0161727056438092,0,0.0319240695329513
