"Pathway","Group","Scenario","Category","Values"
"REF","SFM","AFM25","EU28 Lignocel. energy crops",63.47263597
"REF","SFM","AFM25","Import - Clear cut",171.5389971
"REF","SFM","AFM25","Import - Timber and pulp plantations",45.35575802
"REF","SFM","AFM25","Import - Selection",5.98230964
"REF","SFM","AFM25","Import - Selective logging",6.902655839
"REF","SFM","AFM25","Import - Energy plantations",22.23889901
"REF","SFM","AFM50","EU28 Clear cut",359.97810699
"REF","SFM","AFM50","EU28 Selection",19.34368352
"REF","SFM","AFM50","EU28 Retention",87.68607317
"REF","SFM","AFM50","EU28 Lignocel. energy crops",70.19862744
"REF","SFM","AFM50","Import - Clear cut",209.4842083
"REF","SFM","AFM50","Import - Timber and pulp plantations",60.59755014
"REF","SFM","AFM50","Import - Selection",8.652837814
"REF","SFM","AFM50","Import - Selective logging",6.597942366
"REF","SFM","AFM50","Import - Energy plantations",30.85373544
"REF","SFM","AFM75","EU28 Clear cut",304.54605195
"REF","SFM","AFM75","EU28 Selection",18.32087873
"REF","SFM","AFM75","EU28 Retention",45.27079606
"REF","SFM","AFM75","EU28 Lignocel. energy crops",87.05200429
"REF","SFM","AFM75","Import - Clear cut",259.0491096
"REF","SFM","AFM75","Import - Timber and pulp plantations",99.87453406
"REF","SFM","AFM75","Import - Selection",9.570069937
"REF","SFM","AFM75","Import - Selective logging",14.63763292
"REF","SFM","AFM75","Import - Energy plantations",36.49630223
"REF","SFM","AFM100","EU28 Clear cut",203.0961617
"REF","SFM","AFM100","EU28 Selection",27.89863658
"REF","SFM","AFM100","EU28 Retention",0
"REF","SFM","AFM100","EU28 Lignocel. energy crops",91.85449967
"REF","SFM","AFM100","Import - Clear cut",335.3806005
"REF","SFM","AFM100","Import - Timber and pulp plantations",135.2987544
"REF","SFM","AFM100","Import - Selection",11.92770157
"REF","SFM","AFM100","Import - Selective logging",20.32970368
"REF","SFM","AFM100","Import - Energy plantations",48.09222925
"RCP2.6","SFM","noAFM","EU28 Clear cut",685.4895492
"RCP2.6","SFM","noAFM","EU28 Selection",99.333086915
"RCP2.6","SFM","noAFM","EU28 Retention",0
"RCP2.6","SFM","noAFM","EU28 Lignocel. energy crops",252.6456472
"RCP2.6","SFM","noAFM","Import - Clear cut",159.7807405
"RCP2.6","SFM","noAFM","Import - Timber and pulp plantations",68.39752877
"RCP2.6","SFM","noAFM","Import - Selection",6.746772968
"RCP2.6","SFM","noAFM","Import - Selective logging",10.77190924
"RCP2.6","SFM","noAFM","Import - Energy plantations",220.5345661
"RCP2.6","SFM","AFMfree","EU28 Clear cut",650.90917623
"RCP2.6","SFM","AFMfree","EU28 Selection",7.08471311999999
"RCP2.6","SFM","AFMfree","EU28 Retention",212.3948624
"RCP2.6","SFM","AFMfree","EU28 Lignocel. energy crops",239.4307755
"RCP2.6","SFM","AFMfree","Import - Clear cut",125.0620565
"RCP2.6","SFM","AFMfree","Import - Timber and pulp plantations",55.6441076
"RCP2.6","SFM","AFMfree","Import - Selection",3.894211104
"RCP2.6","SFM","AFMfree","Import - Selective logging",0
"RCP2.6","SFM","AFMfree","Import - Energy plantations",174.9967324
"RCP2.6","SFM","AFM25","EU28 Clear cut",621.76157363
"RCP2.6","SFM","AFM25","EU28 Selection",0
"RCP2.6","SFM","AFM25","EU28 Retention",165.7554705
"RCP2.6","SFM","AFM25","EU28 Lignocel. energy crops",258.4723428
"RCP2.6","SFM","AFM25","Import - Clear cut",157.9802837
"RCP2.6","SFM","AFM25","Import - Timber and pulp plantations",59.80832412
"RCP2.6","SFM","AFM25","Import - Selection",6.009735831
"RCP2.6","SFM","AFM25","Import - Selective logging",9.439753798
"RCP2.6","SFM","AFM25","Import - Energy plantations",221.0757062
"RCP2.6","SFM","AFM50","EU28 Clear cut",579.14143117
"RCP2.6","SFM","AFM50","EU28 Selection",0
"RCP2.6","SFM","AFM50","EU28 Retention",122.4768694
"RCP2.6","SFM","AFM50","EU28 Lignocel. energy crops",279.8591765
"RCP2.6","SFM","AFM50","Import - Clear cut",203.2744485
"RCP2.6","SFM","AFM50","Import - Timber and pulp plantations",72.63490199
"RCP2.6","SFM","AFM50","Import - Selection",7.59474864
"RCP2.6","SFM","AFM50","Import - Selective logging",10.67048142
"RCP2.6","SFM","AFM50","Import - Energy plantations",275.3883431
"RCP2.6","SFM","AFM75","EU28 Clear cut",489.50973138
"RCP2.6","SFM","AFM75","EU28 Selection",0
"RCP2.6","SFM","AFM75","EU28 Retention",57.45243637
"RCP2.6","SFM","AFM75","EU28 Lignocel. energy crops",302.9074226
"RCP2.6","SFM","AFM75","Import - Clear cut",231.6255682
"RCP2.6","SFM","AFM75","Import - Timber and pulp plantations",146.2436207
"RCP2.6","SFM","AFM75","Import - Selection",9.411682153
"RCP2.6","SFM","AFM75","Import - Selective logging",22.54095248
"RCP2.6","SFM","AFM75","Import - Energy plantations",321.5480719
"RCP2.6","SFM","AFM100","EU28 Clear cut",316.2224125
"RCP2.6","SFM","AFM100","EU28 Selection",3.309452055
"RCP2.6","SFM","AFM100","EU28 Retention",0
"RCP2.6","SFM","AFM100","EU28 Lignocel. energy crops",331.633552
"RCP2.6","SFM","AFM100","Import - Clear cut",312.5731727
"RCP2.6","SFM","AFM100","Import - Timber and pulp plantations",169.1479395
"RCP2.6","SFM","AFM100","Import - Selection",10.14380431
"RCP2.6","SFM","AFM100","Import - Selective logging",21.95557593
"RCP2.6","SFM","AFM100","Import - Energy plantations",384.9500895
