"Ecoregion","A_org","Area","Share"
"AA0705",12.88262033,0.053721979,0.00415279510365344
"AA0706",33.63870508,0.647187904,0.0188762154832024
"AA0707",44.02861643,1.184741541,0.026203352154465
"AA0708",2.542321837,0.054708286,0.0210657109886746
"AA0709",22.38001034,0.113687519,0.0050541942775546
"AA0801",5.02425939,0.283316049,0.0533795613941155
"AA0802",24.07815201,0.469906228,0.0191422972621351
"AA0803",31.99439807,0.119016992,0.0037061456020862
"AA1001",1.29189745,0.015024464,0.0114960686166901
"AA1002",1.275358586,0.01029177,0.00800510803887647
"AA1003",3.596466671,0.364112721,0.0919342058223788
"AA1201",13.0746564,0.185815467,0.0140127341518231
"AA1202",11.08414948,0.173093991,0.0153762323295139
"AA1203",5.722465083,0.198435082,0.0335143435069218
"AA1204",1.039962422,0.037809553,0.035081217434699
"AA1205",1.571345897,0.109554135,0.0651758777526158
"AA1206",2.327523039,0.086723508,0.0359215624053661
"AA1207",18.95743661,0.3046153,0.0158142705368714
"AA1208",2.639820981,0.072056925,0.0265708588283325
"AA1209",16.11059415,0.300853703,0.0183319415626699
"AA1210",4.727703465,0.098866944,0.020483891380854
"AA1301",8.470236007,0.224320752,0.025800136593254
"AA1302",27.48077803,0.632864406,0.0225109360140971
"AA1303",15.3411675,0.108580245,0.00702796231965275
"AA1304",79.75141844,1.23912004,0.0152995653968394
"AA1305",41.45039462,0.368247143,0.00880581308898021
"AA1306",19.24413615,0.131866637,0.00680566773496098
"AA1307",17.68760896,0.193745867,0.0108350775919648
"AA1308",29.97086772,23.60665602,0.440607448275473
"AA1309",24.78665481,10.11745188,0.289864226288841
"AA1310",44.24045236,0.270856432,0.00608511498203083
"AA1401",1.442203693,0.049620583,0.033261680881777
"AT0101",10.45933875,0.22001955,0.0206023193359848
"AT0102",18.74294117,0.212757293,0.0112239226328318
"AT0103",4.157449748,0.021381704,0.00511667059215003
"AT0104",36.50758195,0.259763241,0.0070650529607339
"AT0105",0.109013787,0.017980393,0.141584385993122
"AT0106",2.073780778,0.027790098,0.0132234883521483
"AT0107",5.421387291,0.058971162,0.0107604570952323
"AT0108",6.93716261,0.069542281,0.00992510489336092
"AT0109",2.502631673,0.014272615,0.00567070232588837
"AT0110",6.687639386,0.122329716,0.0179633290794335
"AT0111",18.80476026,0.326492488,0.0170659230893352
"AT0112",25.00942831,1.098237336,0.0420657040308107
"AT0114",3.248056951,0.006151356,0.00189027727166944
"AT0115",0.264816252,0.0034635,0.0129100313168621
"AT0116",1.825093521,0.034257118,0.0184242376243914
"AT0117",10.92741725,0.08613775,0.00782106685806717
"AT0118",19.75315111,0.085219057,0.00429566825715134
"AT0119",3.146264513,0.118294684,0.0362360358203056
"AT0120",0.130520303,0.025660561,0.164300288414335
"AT0121",0.129513351,0.001852556,0.0141022586628965
"AT0122",1.447266662,0.021172251,0.0144182034489575
"AT0123",6.99264345,0.091655639,0.0129378556507187
"AT0124",52.39805813,0.32202859,0.00610827124982392
"AT0125",11.54225277,0.154342171,0.0131954788362368
"AT0126",42.01052526,0.050924759,0.00121072285850812
"AT0127",0.004497591,0,0
"AT0128",15.22951091,0.232290797,0.0150235271025909
"AT0129",7.304645575,0.138907132,0.0186614023528537
"AT0130",20.76042371,0.228356606,0.0108799369263931
"AT0201",0.308219479,0.068801083,0.182486288373842
"AT0202",14.5148261,0.222500998,0.015097785135691
"AT0203",3.992098985,0.001436341,0.000359666531719069
"AT0701",70.46188055,0.629694377,0.00885751057908899
"AT0702",11.12255733,0.889655395,0.0740625740958146
"AT0704",119.7389114,1.538736721,0.012687719005441
"AT0705",94.05402354,0.413962583,0.00438204094306625
"AT0706",50.87714609,0.307562777,0.00600888007000648
"AT0707",66.76226175,0.797149676,0.0117992395015629
"AT0708",0.795060838,0.010880304,0.0135001223203468
"AT0709",33.10341875,0.472930133,0.0140852161933381
"AT0710",0.735100216,0.002498076,0.00338677031535209
"AT0711",32.59851104,0.185778749,0.00566670042864048
"AT0712",73.73887233,0.100071415,0.0013552660686154
"AT0713",187.0620669,113.1172832,0.37683232761453
"AT0714",1.750137341,0.025270452,0.0142336043018597
"AT0715",93.76965353,11.3614133,0.10806903841632
"AT0716",22.72553871,0.345777505,0.0149873332660228
"AT0717",22.90560365,0.284044135,0.0122487472700526
"AT0718",57.45265942,0.12034889,0.00209037001075201
"AT0719",42.77280788,0.309482444,0.00718351883506053
"AT0721",15.90563285,0.386457295,0.0237205473061173
"AT0722",163.8577059,1.069351985,0.00648378743132395
"AT0723",42.99605027,0.15802088,0.00366178383148909
"AT0724",3.483600384,0,0
"AT0725",48.51113113,0.285123737,0.00584314795832464
