Ecoregion,EU,RoW
NT0122,0,0.008128504
NT0124,0,0.526414689
NT0125,0,2.657596995
NT0126,0,0.042989146
NT0127,0,0.369041002
NT0128,0,1.301281489
NT0129,0,0.004227444
NT0130,0,2.75E-05
NT0131,0,0.018852306
NT0132,0,2.251895919
NT0133,0,1.669695043
NT0134,0,0.001948894
NT0135,0,2.407211258
NT0136,0,0.156978859
NT0137,0,0.230768497
NT0138,0,2.523247456
NT0139,0,0.132439279
NT0140,0,0.990404989
NT0141,0,0.43244528
NT0142,0,1.482539803
NT0143,0,1.430249942
NT0144,0,0.00880213
NT0145,0,0.126675373
NT0146,0,0.000315158
NT0147,0,0.953346118
NT0148,0,0.000157652
NT0149,0,0.060231935
NT0150,0,0.790727987
NT0151,0,0.007853762
NT0152,0,0.009295711
NT0153,0,0.210833034
NT0154,0,0.007265727
NT0155,0,0.065980811
NT0156,0,1.552074261
NT0157,0,0.730349055
NT0158,0,1.074941814
NT0159,0,0.003258556
NT0160,0,0.192382342
NT0161,0,4.90E-07
NT0162,0,1.61E-05
NT0163,0,1.132521708
NT0164,0,0.104880678
NT0165,0,0.031169445
NT0166,0,1.490629676
NT0167,0,0
NT0168,0,0.412600785
NT0169,0,0.153537324
NT0170,0,1.268397691
NT0171,0,0.029327063
NT0173,0,2.605091123
NT0174,0,0.709201106
NT0175,0,0.095328119
NT0176,0,0.000562876
NT0177,0,1.59E-05
NT0178,0,0.033286585
NT0179,0,0
NT0180,0,0.947203175
NT0181,0,0.059127871
NT0182,0,1.349390299
NT0201,0,0.61933126
NT0202,0,0.003254988
NT0204,0,0.00046421
NT0205,0,0.00055861
NT0206,0,0.012946005
NT0207,0,0.006710714
NT0209,0,0.006220695
NT0210,0,2.004787786
NT0211,0,0.000324977
NT0212,0,0.84942033
NT0213,0,0.178119832
NT0214,0,0.014444982
NT0215,0,0.136468318
NT0216,0,0
NT0217,0,1.81E-06
NT0218,0,0.007791152
NT0219,0,0.031728299
NT0220,0,0.001493668
NT0221,0,0.017544089
NT0222,0,0.042943039
NT0223,0,0.008178125
NT0224,0,0.000116059
NT0225,0,0.001425561
NT0226,0,0.007864257
NT0227,0,0
NT0228,0,8.17E-05
NT0229,0,0.084056217
NT0230,0,0.000167789
NT0232,0,0.019398607
NT0233,0,0.000458528
NT0235,0,0.013198831
NT0301,0,0.134608618
NT0302,0,0.000463969
NT0303,0,0.014633279
NT0304,0,0.016157975
NT0305,0,0.121801328
NT0306,0,0.009542495
