"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"REF_MFM","AFM25",0.0297573154421072,0.0372189115527763,0.048722934429043,0.00958529718048286,2.19533885224769,1.13877177036189,5.92442758661778,0.52574238034567,0.0169725350506433,0.0219901763674885,0.0103784351530082,0.00452065534522568,0.0381400010601317,0,0,0,0,0.0009782700384039,0.00297275732372187,0.186351446872733,0.00484884655032962,0,0,0,1.56395667811309e-08,0.0862840831110397,0.00849384971406612,1.51730886294382
"REF_SFM","AFM25",0.0297267644830617,0.0372189115527763,0.0487163819301322,0.00958529718048286,2.19504881090824,1.13877177036189,5.92422752771685,0.52574238034567,0.0186792480341263,0.029520260484463,0.0102579241545536,0.00500245629414773,0.0455916900045927,0,0,0,0,0.0009782700384039,0.00300139212154644,0.186351446872733,0.005451636371264,0,0,0,1.5903007157509e-08,0.0860401443747612,0.00852507677946118,1.51181461900433
"RCP2.6_MFM","AFM50",0.00424155260498701,0.0372216090797209,0.0426653275163951,0.00958529718048286,1.13625864555691,1.13876535015417,2.64469473796794,0.52574238034567,0.0220247404408771,0.0287611698999285,0.0101936213003413,0.00472818676080626,0.068544535390305,0,0,0,0,0.0106345574154212,0.00786650362656268,2.15941029179106,0.048473971632899,0,0,0,3.89126724773896e-09,0.154892585677878,0.0122933305362839,2.50780682175847
"RCP2.6_SFM","AFM50",0.00413675412219811,0.0372216090797209,0.0424764346398697,0.00958529718048286,1.1315393469849,1.13876535015417,2.64123137450689,0.52574238034567,0.0222041143845362,0.0389739140931879,0.0108940553843255,0.00477750555199694,0.124596863370193,0,0,0,0,0.0106345574154212,0.00830521065648277,2.15941029179106,0.0600820192828732,0,0,0,3.36670232183377e-09,0.1529133561517,0.0123327916773315,2.47652470141544
"REF_MFM","AFM50",0.0297360743394612,0.0372189115527763,0.0487130073956947,0.00958529718048286,2.19504218806686,1.13877177036189,5.92427761531699,0.52574238034567,0.0160273401422449,0.0256990354551308,0.010217519549505,0.00353272867412863,0.0398438905775597,0,0,0,0,0.0009782700384039,0.00300779387548364,0.186351446872733,0.00537141146962347,0,0,0,1.55523905896182e-08,0.0862005879987199,0.00848599532343713,1.51539052487283
"REF_SFM","AFM50",0.0296436664585555,0.0372189115527763,0.0485847992952619,0.00958529718048286,2.19469766604845,1.13877177036189,5.92401196378366,0.52574238034567,0.0167351743820349,0.0392957331889108,0.0107860910052238,0.00368268467685684,0.0890947343557193,0,0,0,0,0.000978270038403899,0.00331312205464258,0.186351446872733,0.0060811843918398,0,0,0,1.13637531348815e-08,0.0848234937793329,0.00844300011705817,1.49135330672899
"RCP2.6_MFM","AFM75",0.0041742364340952,0.0372216090797209,0.0425797662382146,0.00958529718048286,1.13459873106797,1.13876535015417,2.64343958055003,0.52574238034567,0.0200609704859953,0.0305475229636713,0.0100833918146296,0.00253446154296767,0.0866918614449161,0,0,0,0,0.0106345574154212,0.00809883400292348,2.15941029179106,0.0524602721834731,0,0,0,3.96142686966158e-09,0.15429827154915,0.0122407841894015,2.49811228147056
"RCP2.6_SFM","AFM75",0.00407432102674959,0.0372216090797209,0.0423528227737418,0.00958529718048286,1.12569736454125,1.13876535015417,2.63533292177289,0.52574238034567,0.019961068178255,0.0485894617536425,0.0115442091645903,0.00247484083123651,0.141987111365564,0,0,0,0,0.0106345574154212,0.00859670002134195,2.15941029179106,0.0740360548835406,0,0,0,2.27251736981608e-09,0.152423672830408,0.012104820498164,2.46141356103888
"REF_MFM","AFM75",0.0296985983928714,0.0372189115527763,0.0486556471201081,0.00958529718048286,2.19506256708699,1.13877177036189,5.92424432023568,0.52574238034567,0.0140937201346617,0.0272197929101302,0.0101039694810147,0.00196791334215164,0.0535551177176696,0,0,0,0,0.0009782700384039,0.00315178866204388,0.186351446872733,0.0053433112023829,0,0,0,1.32653419135133e-08,0.0858415310480685,0.00840799529162932,1.51025171070126
"REF_SFM","AFM75",0.0294884822263346,0.0372189115527763,0.0485374010933652,0.00958529718048286,2.1930348660552,1.13877177036189,5.92327006614701,0.52574238034567,0.0131352650890551,0.0546622011829624,0.0115701147785027,0.00241784800536779,0.121091312161691,0,0,0,0,0.000978270038403901,0.00354230900550992,0.186351446872733,0.00892142198409344,0,0,0,4.60743976288413e-09,0.0839327454391847,0.00837956902834654,1.4711504770359
"RCP2.6_MFM","AFM100",0.00418641491859574,0.0372216090797209,0.0425391445369078,0.00958529718048286,1.13171481807743,1.13876535015417,2.64130349267472,0.52574238034567,0.0176586147429293,0.0356676887767666,0.010030857149228,0,0.0957315270482242,0,0,0,0,0.0106345574154212,0.00818564456522355,2.15941029179106,0.0596435313659122,0,0,0,3.71712359588787e-09,0.15375581905557,0.0122095035184943,2.49300598990108
"RCP2.6_SFM","AFM100",0.00402497966946601,0.0372216090797209,0.0422553286664829,0.00958529718048286,1.12324574491752,1.13876535015417,2.63215729033018,0.52574238034567,0.017994752291609,0.0554867783805727,0.0126390145011788,0,0.18531592852687,0,0,0,0,0.0106345574154212,0.00886779420062593,2.15941029179106,0.0816842346614989,0,0,0,1.5990971747708e-09,0.151120687085027,0.0118918406160172,2.43650808563748
"REF_MFM","AFM100",0.0296395259770798,0.0372189115527763,0.0486276349889156,0.00958529718048286,2.19469535626829,1.13877177036189,5.92391909962527,0.52574238034567,0.0123050458856267,0.033542802052041,0.0100567776054461,0,0.0670038928390818,0,0,0,0,0.000978270038403901,0.00325645779115396,0.186351446872733,0.00620992393724608,0,0,0,6.06987763637478e-09,0.0853978113015595,0.008380875609791,1.5028780211305
"REF_SFM","AFM100",0.0293667236324651,0.0372189115527763,0.0484978805210855,0.00958529718048286,2.19077616557371,1.13877177036189,5.9218080938528,0.52574238034567,0.0112866818960433,0.0670331286131437,0.0126683881032702,0,0.169175075581994,0,0,0,0,0.0009782700384039,0.00371875540833162,0.186351446872733,0.0135643620871888,0,0,0,3.6140901233182e-09,0.0825976195203962,0.00824303582782211,1.44548096186173
