Ecoregion,Annual_EU,Permanent_EU,Pasture_EU,Urban_EU,Annual_RoW,Permanent_RoW,Pasture_RoW,Urban_RoW,For_ClearCut_EU,For_ClearCut_im,For_ClearCut_ex,For_Retention_EU,For_PlantationFuel_im,For_TimberPlant_EU,For_TimberPlant_ex,For_TimberPlant_im,For_SelectionSystem_EU,For_SelectionSystem_im,For_SelectionSystem_ex,For_Selective_im,EP_EU,EP_conv_EU,EP_RoW,EP_conv_im,Afforested_EU,Afforested_RoW,Regrowth,ForOther_Extensive_EU,ForOther_Extensive_RoW,ForOther_Intensive_EU,ForOther_Intensive_RoW
AA0411,1.25E-13,5.75E-14,5.65E-14,1.53E-13,1.25E-13,5.75E-14,5.65E-14,1.53E-13,1.61E-14,1.61E-14,1.61E-14,1.07E-14,1.61E-14,1.61E-14,1.61E-14,1.61E-14,1.07E-14,1.07E-14,1.07E-14,1.07E-14,5.75E-14,5.75E-14,1.61E-14,1.61E-14,0.00E+00,0.00E+00,0.00E+00,1.07E-14,1.07E-14,1.61E-14,1.61E-14
AA0412,8.06E-14,4.40E-14,4.27E-14,1.29E-13,8.06E-14,4.40E-14,4.27E-14,1.29E-13,1.42E-14,1.42E-14,1.42E-14,1.06E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.06E-14,1.06E-14,1.06E-14,1.06E-14,4.40E-14,4.40E-14,1.42E-14,1.42E-14,0.00E+00,0.00E+00,0.00E+00,1.06E-14,1.06E-14,1.42E-14,1.42E-14
AA0413,9.61E-14,5.39E-14,4.96E-14,1.44E-13,9.61E-14,5.39E-14,4.96E-14,1.44E-13,1.83E-14,1.83E-14,1.83E-14,9.54E-15,1.83E-14,1.83E-14,1.83E-14,1.83E-14,9.54E-15,9.54E-15,9.54E-15,9.54E-15,5.39E-14,5.39E-14,1.83E-14,1.83E-14,0.00E+00,0.00E+00,0.00E+00,9.54E-15,9.54E-15,1.83E-14,1.83E-14
AA0414,7.99E-14,6.23E-14,8.75E-14,NA,7.99E-14,6.23E-14,8.75E-14,NA,1.38E-14,1.38E-14,1.38E-14,2.67E-15,1.38E-14,1.38E-14,1.38E-14,1.38E-14,2.67E-15,2.67E-15,2.67E-15,2.67E-15,6.23E-14,6.23E-14,1.38E-14,1.38E-14,0.00E+00,0.00E+00,0.00E+00,2.67E-15,2.67E-15,1.38E-14,1.38E-14
AA0701,NA,NA,6.33E-14,9.99E-14,NA,NA,6.33E-14,9.99E-14,1.18E-14,1.18E-14,1.18E-14,3.35E-15,1.18E-14,1.18E-14,1.18E-14,1.18E-14,3.35E-15,3.35E-15,3.35E-15,3.35E-15,NA,NA,1.18E-14,1.18E-14,0.00E+00,0.00E+00,0.00E+00,3.35E-15,3.35E-15,1.18E-14,1.18E-14
AA0702,5.49E-14,3.97E-14,4.55E-14,7.55E-14,5.49E-14,3.97E-14,4.55E-14,7.55E-14,7.37E-15,7.37E-15,7.37E-15,2.42E-15,7.37E-15,7.37E-15,7.37E-15,7.37E-15,2.42E-15,2.42E-15,2.42E-15,2.42E-15,3.97E-14,3.97E-14,7.37E-15,7.37E-15,0.00E+00,0.00E+00,0.00E+00,2.42E-15,2.42E-15,7.37E-15,7.37E-15
AA0703,6.39E-14,5.08E-14,6.55E-14,NA,6.39E-14,5.08E-14,6.55E-14,NA,1.58E-14,1.58E-14,1.58E-14,4.44E-15,1.58E-14,1.58E-14,1.58E-14,1.58E-14,4.44E-15,4.44E-15,4.44E-15,4.44E-15,5.08E-14,5.08E-14,1.58E-14,1.58E-14,0.00E+00,0.00E+00,0.00E+00,4.44E-15,4.44E-15,1.58E-14,1.58E-14
AA0704,4.95E-14,3.82E-14,4.28E-14,NA,4.95E-14,3.82E-14,4.28E-14,NA,4.69E-15,4.69E-15,4.69E-15,1.05E-15,4.69E-15,4.69E-15,4.69E-15,4.69E-15,1.05E-15,1.05E-15,1.05E-15,1.05E-15,3.82E-14,3.82E-14,4.69E-15,4.69E-15,0.00E+00,0.00E+00,0.00E+00,1.05E-15,1.05E-15,4.69E-15,4.69E-15
AA0705,6.30E-14,5.18E-14,5.95E-14,1.02E-13,6.30E-14,5.18E-14,5.95E-14,1.02E-13,1.31E-14,1.31E-14,1.31E-14,3.36E-15,1.31E-14,1.31E-14,1.31E-14,1.31E-14,3.36E-15,3.36E-15,3.36E-15,3.36E-15,5.18E-14,5.18E-14,1.31E-14,1.31E-14,0.00E+00,0.00E+00,0.00E+00,3.36E-15,3.36E-15,1.31E-14,1.31E-14
AA0706,6.25E-14,4.78E-14,5.74E-14,9.03E-14,6.25E-14,4.78E-14,5.74E-14,9.03E-14,1.03E-14,1.03E-14,1.03E-14,2.53E-15,1.03E-14,1.03E-14,1.03E-14,1.03E-14,2.53E-15,2.53E-15,2.53E-15,2.53E-15,4.78E-14,4.78E-14,1.03E-14,1.03E-14,0.00E+00,0.00E+00,0.00E+00,2.53E-15,2.53E-15,1.03E-14,1.03E-14
AA0707,6.11E-14,4.18E-14,4.53E-14,7.10E-14,6.11E-14,4.18E-14,4.53E-14,7.10E-14,3.77E-15,3.77E-15,3.77E-15,7.53E-16,3.77E-15,3.77E-15,3.77E-15,3.77E-15,7.53E-16,7.53E-16,7.53E-16,7.53E-16,4.18E-14,4.18E-14,3.77E-15,3.77E-15,0.00E+00,0.00E+00,0.00E+00,7.53E-16,7.53E-16,3.77E-15,3.77E-15
