Ecoregion,Annual_EU,Permanent_EU,Pasture_EU,Urban_EU,Annual_RoW,Permanent_RoW,Pasture_RoW,Urban_RoW,For_ClearCut_EU,For_ClearCut_im,For_ClearCut_ex,For_Retention_EU,For_PlantationFuel_im,For_TimberPlant_EU,For_TimberPlant_ex,For_TimberPlant_im,For_SelectionSystem_EU,For_SelectionSystem_im,For_SelectionSystem_ex,For_Selective_im,EP_EU,EP_conv_EU,EP_RoW,EP_conv_im,Afforested_EU,Afforested_RoW,Regrowth,ForOther_Extensive_EU,ForOther_Extensive_RoW,ForOther_Intensive_EU,ForOther_Intensive_RoW
NA1313,3.68E-14,2.36E-14,2.99E-14,4.35E-14,3.68E-14,2.36E-14,2.99E-14,4.35E-14,9.01E-15,9.01E-15,9.01E-15,6.64E-16,9.01E-15,9.01E-15,9.01E-15,9.01E-15,6.64E-16,6.64E-16,6.64E-16,6.64E-16,2.36E-14,2.36E-14,9.01E-15,9.01E-15,0.00E+00,0.00E+00,0.00E+00,6.64E-16,6.64E-16,9.01E-15,9.01E-15
NT0101,1.69E-13,1.27E-13,9.82E-14,2.01E-13,1.69E-13,1.27E-13,9.82E-14,2.01E-13,1.11E-13,1.11E-13,1.11E-13,3.24E-14,1.11E-13,1.11E-13,1.11E-13,1.11E-13,3.24E-14,3.24E-14,3.24E-14,3.24E-14,1.27E-13,1.27E-13,1.11E-13,1.11E-13,0.00E+00,0.00E+00,0.00E+00,3.24E-14,3.24E-14,1.11E-13,1.11E-13
NT0102,6.21E-13,4.40E-13,4.51E-13,6.65E-13,6.21E-13,4.40E-13,4.51E-13,6.65E-13,4.37E-13,4.37E-13,4.37E-13,1.32E-13,4.37E-13,4.37E-13,4.37E-13,4.37E-13,1.32E-13,1.32E-13,1.32E-13,1.32E-13,4.40E-13,4.40E-13,4.37E-13,4.37E-13,0.00E+00,0.00E+00,0.00E+00,1.32E-13,1.32E-13,4.37E-13,4.37E-13
NT0103,1.16E-12,8.39E-13,8.38E-13,1.24E-12,1.16E-12,8.39E-13,8.38E-13,1.24E-12,8.24E-13,8.24E-13,8.24E-13,2.48E-13,8.24E-13,8.24E-13,8.24E-13,8.24E-13,2.48E-13,2.48E-13,2.48E-13,2.48E-13,8.39E-13,8.39E-13,8.24E-13,8.24E-13,0.00E+00,0.00E+00,0.00E+00,2.48E-13,2.48E-13,8.24E-13,8.24E-13
NT0104,2.26E-13,1.58E-13,1.50E-13,2.76E-13,2.26E-13,1.58E-13,1.50E-13,2.76E-13,1.43E-13,1.43E-13,1.43E-13,3.95E-14,1.43E-13,1.43E-13,1.43E-13,1.43E-13,3.95E-14,3.95E-14,3.95E-14,3.95E-14,1.58E-13,1.58E-13,1.43E-13,1.43E-13,0.00E+00,0.00E+00,0.00E+00,3.95E-14,3.95E-14,1.43E-13,1.43E-13
NT0105,1.25E-13,1.01E-13,9.90E-14,1.59E-13,1.25E-13,1.01E-13,9.90E-14,1.59E-13,9.07E-14,9.07E-14,9.07E-14,2.29E-14,9.07E-14,9.07E-14,9.07E-14,9.07E-14,2.29E-14,2.29E-14,2.29E-14,2.29E-14,1.01E-13,1.01E-13,9.07E-14,9.07E-14,0.00E+00,0.00E+00,0.00E+00,2.29E-14,2.29E-14,9.07E-14,9.07E-14
NT0106,7.07E-14,4.46E-14,5.30E-14,7.70E-14,7.07E-14,4.46E-14,5.30E-14,7.70E-14,5.05E-14,5.05E-14,5.05E-14,1.76E-14,5.05E-14,5.05E-14,5.05E-14,5.05E-14,1.76E-14,1.76E-14,1.76E-14,1.76E-14,4.46E-14,4.46E-14,5.05E-14,5.05E-14,0.00E+00,0.00E+00,0.00E+00,1.76E-14,1.76E-14,5.05E-14,5.05E-14
NT0107,1.70E-13,1.17E-13,1.27E-13,1.83E-13,1.70E-13,1.17E-13,1.27E-13,1.83E-13,1.26E-13,1.26E-13,1.26E-13,4.68E-14,1.26E-13,1.26E-13,1.26E-13,1.26E-13,4.68E-14,4.68E-14,4.68E-14,4.68E-14,1.17E-13,1.17E-13,1.26E-13,1.26E-13,0.00E+00,0.00E+00,0.00E+00,4.68E-14,4.68E-14,1.26E-13,1.26E-13
NT0108,1.94E-13,1.37E-13,1.24E-13,2.18E-13,1.94E-13,1.37E-13,1.24E-13,2.18E-13,1.28E-13,1.28E-13,1.28E-13,3.81E-14,1.28E-13,1.28E-13,1.28E-13,1.28E-13,3.81E-14,3.81E-14,3.81E-14,3.81E-14,1.37E-13,1.37E-13,1.28E-13,1.28E-13,0.00E+00,0.00E+00,0.00E+00,3.81E-14,3.81E-14,1.28E-13,1.28E-13
NT0109,1.59E-12,1.30E-12,1.15E-12,1.91E-12,1.59E-12,1.30E-12,1.15E-12,1.91E-12,1.10E-12,1.10E-12,1.10E-12,2.99E-13,1.10E-12,1.10E-12,1.10E-12,1.10E-12,2.99E-13,2.99E-13,2.99E-13,2.99E-13,1.30E-12,1.30E-12,1.10E-12,1.10E-12,0.00E+00,0.00E+00,0.00E+00,2.99E-13,2.99E-13,1.10E-12,1.10E-12
NT0111,4.96E-13,3.66E-13,2.71E-13,5.83E-13,4.96E-13,3.66E-13,2.71E-13,5.83E-13,3.27E-13,3.27E-13,3.27E-13,1.28E-13,3.27E-13,3.27E-13,3.27E-13,3.27E-13,1.28E-13,1.28E-13,1.28E-13,1.28E-13,3.66E-13,3.66E-13,3.27E-13,3.27E-13,0.00E+00,0.00E+00,0.00E+00,1.28E-13,1.28E-13,3.27E-13,3.27E-13
NT0112,1.28E-12,1.03E-12,6.58E-13,1.54E-12,1.28E-12,1.03E-12,6.58E-13,1.54E-12,8.04E-13,8.04E-13,8.04E-13,2.83E-13,8.04E-13,8.04E-13,8.04E-13,8.04E-13,2.83E-13,2.83E-13,2.83E-13,2.83E-13,1.03E-12,1.03E-12,8.04E-13,8.04E-13,0.00E+00,0.00E+00,0.00E+00,2.83E-13,2.83E-13,8.04E-13,8.04E-13
NT0113,1.01E-12,7.30E-13,5.17E-13,1.16E-12,1.01E-12,7.30E-13,5.17E-13,1.16E-12,6.21E-13,6.21E-13,6.21E-13,2.26E-13,6.21E-13,6.21E-13,6.21E-13,6.21E-13,2.26E-13,2.26E-13,2.26E-13,2.26E-13,7.30E-13,7.30E-13,6.21E-13,6.21E-13,0.00E+00,0.00E+00,0.00E+00,2.26E-13,2.26E-13,6.21E-13,6.21E-13
NT0114,1.77E-12,1.38E-12,8.25E-13,2.00E-12,1.77E-12,1.38E-12,8.25E-13,2.00E-12,9.38E-13,9.38E-13,9.38E-13,3.32E-13,9.38E-13,9.38E-13,9.38E-13,9.38E-13,3.32E-13,3.32E-13,3.32E-13,3.32E-13,1.38E-12,1.38E-12,9.38E-13,9.38E-13,0.00E+00,0.00E+00,0.00E+00,3.32E-13,3.32E-13,9.38E-13,9.38E-13
NT0115,8.61E-13,6.36E-13,6.10E-13,1.01E-12,8.61E-13,6.36E-13,6.10E-13,1.01E-12,6.02E-13,6.02E-13,6.02E-13,2.06E-13,6.02E-13,6.02E-13,6.02E-13,6.02E-13,2.06E-13,2.06E-13,2.06E-13,2.06E-13,6.36E-13,6.36E-13,6.02E-13,6.02E-13,0.00E+00,0.00E+00,0.00E+00,2.06E-13,2.06E-13,6.02E-13,6.02E-13
NT0116,NA,NA,4.99E-13,NA,NA,NA,4.99E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
NT0117,8.84E-13,7.98E-13,5.71E-13,1.31E-12,8.84E-13,7.98E-13,5.71E-13,1.31E-12,6.32E-13,6.32E-13,6.32E-13,1.81E-13,6.32E-13,6.32E-13,6.32E-13,6.32E-13,1.81E-13,1.81E-13,1.81E-13,1.81E-13,7.98E-13,7.98E-13,6.32E-13,6.32E-13,0.00E+00,0.00E+00,0.00E+00,1.81E-13,1.81E-13,6.32E-13,6.32E-13
NT0118,9.02E-13,7.05E-13,6.83E-13,1.06E-12,9.02E-13,7.05E-13,6.83E-13,1.06E-12,6.41E-13,6.41E-13,6.41E-13,1.90E-13,6.41E-13,6.41E-13,6.41E-13,6.41E-13,1.90E-13,1.90E-13,1.90E-13,1.90E-13,7.05E-13,7.05E-13,6.41E-13,6.41E-13,0.00E+00,0.00E+00,0.00E+00,1.90E-13,1.90E-13,6.41E-13,6.41E-13
NT0119,7.89E-13,6.37E-13,4.92E-13,9.83E-13,7.89E-13,6.37E-13,4.92E-13,9.83E-13,5.37E-13,5.37E-13,5.37E-13,1.76E-13,5.37E-13,5.37E-13,5.37E-13,5.37E-13,1.76E-13,1.76E-13,1.76E-13,1.76E-13,6.37E-13,6.37E-13,5.37E-13,5.37E-13,0.00E+00,0.00E+00,0.00E+00,1.76E-13,1.76E-13,5.37E-13,5.37E-13
NT0120,1.67E-12,1.25E-12,9.74E-13,1.77E-12,1.67E-12,1.25E-12,9.74E-13,1.77E-12,1.13E-12,1.13E-12,1.13E-12,3.41E-13,1.13E-12,1.13E-12,1.13E-12,1.13E-12,3.41E-13,3.41E-13,3.41E-13,3.41E-13,1.25E-12,1.25E-12,1.13E-12,1.13E-12,0.00E+00,0.00E+00,0.00E+00,3.41E-13,3.41E-13,1.13E-12,1.13E-12
NT0121,1.27E-12,1.01E-12,9.28E-13,1.61E-12,1.27E-12,1.01E-12,9.28E-13,1.61E-12,8.84E-13,8.84E-13,8.84E-13,2.59E-13,8.84E-13,8.84E-13,8.84E-13,8.84E-13,2.59E-13,2.59E-13,2.59E-13,2.59E-13,1.01E-12,1.01E-12,8.84E-13,8.84E-13,0.00E+00,0.00E+00,0.00E+00,2.59E-13,2.59E-13,8.84E-13,8.84E-13
NT0122,1.68E-12,1.32E-12,1.05E-12,2.26E-12,1.68E-12,1.32E-12,1.05E-12,2.26E-12,1.09E-12,1.09E-12,1.09E-12,3.48E-13,1.09E-12,1.09E-12,1.09E-12,1.09E-12,3.48E-13,3.48E-13,3.48E-13,3.48E-13,1.32E-12,1.32E-12,1.09E-12,1.09E-12,0.00E+00,0.00E+00,0.00E+00,3.48E-13,3.48E-13,1.09E-12,1.09E-12
NT0124,2.34E-13,1.71E-13,1.69E-13,2.80E-13,2.34E-13,1.71E-13,1.69E-13,2.80E-13,1.69E-13,1.69E-13,1.69E-13,5.61E-14,1.69E-13,1.69E-13,1.69E-13,1.69E-13,5.61E-14,5.61E-14,5.61E-14,5.61E-14,1.71E-13,1.71E-13,1.69E-13,1.69E-13,0.00E+00,0.00E+00,0.00E+00,5.61E-14,5.61E-14,1.69E-13,1.69E-13
NT0125,1.70E-13,1.11E-13,1.15E-13,1.98E-13,1.70E-13,1.11E-13,1.15E-13,1.98E-13,1.23E-13,1.23E-13,1.23E-13,4.95E-14,1.23E-13,1.23E-13,1.23E-13,1.23E-13,4.95E-14,4.95E-14,4.95E-14,4.95E-14,1.11E-13,1.11E-13,1.23E-13,1.23E-13,0.00E+00,0.00E+00,0.00E+00,4.95E-14,4.95E-14,1.23E-13,1.23E-13
NT0126,1.77E-13,1.19E-13,1.16E-13,2.11E-13,1.77E-13,1.19E-13,1.16E-13,2.11E-13,1.34E-13,1.34E-13,1.34E-13,4.87E-14,1.34E-13,1.34E-13,1.34E-13,1.34E-13,4.87E-14,4.87E-14,4.87E-14,4.87E-14,1.19E-13,1.19E-13,1.34E-13,1.34E-13,0.00E+00,0.00E+00,0.00E+00,4.87E-14,4.87E-14,1.34E-13,1.34E-13
NT0127,1.41E-12,1.11E-12,9.23E-13,1.48E-12,1.41E-12,1.11E-12,9.23E-13,1.48E-12,9.63E-13,9.63E-13,9.63E-13,2.75E-13,9.63E-13,9.63E-13,9.63E-13,9.63E-13,2.75E-13,2.75E-13,2.75E-13,2.75E-13,1.11E-12,1.11E-12,9.63E-13,9.63E-13,0.00E+00,0.00E+00,0.00E+00,2.75E-13,2.75E-13,9.63E-13,9.63E-13
NT0128,2.01E-13,1.39E-13,1.25E-13,2.43E-13,2.01E-13,1.39E-13,1.25E-13,2.43E-13,1.49E-13,1.49E-13,1.49E-13,5.90E-14,1.49E-13,1.49E-13,1.49E-13,1.49E-13,5.90E-14,5.90E-14,5.90E-14,5.90E-14,1.39E-13,1.39E-13,1.49E-13,1.49E-13,0.00E+00,0.00E+00,0.00E+00,5.90E-14,5.90E-14,1.49E-13,1.49E-13
NT0129,5.45E-13,4.11E-13,3.41E-13,6.77E-13,5.45E-13,4.11E-13,3.41E-13,6.77E-13,3.75E-13,3.75E-13,3.75E-13,1.33E-13,3.75E-13,3.75E-13,3.75E-13,3.75E-13,1.33E-13,1.33E-13,1.33E-13,1.33E-13,4.11E-13,4.11E-13,3.75E-13,3.75E-13,0.00E+00,0.00E+00,0.00E+00,1.33E-13,1.33E-13,3.75E-13,3.75E-13
NT0130,7.11E-13,5.46E-13,4.24E-13,8.92E-13,7.11E-13,5.46E-13,4.24E-13,8.92E-13,4.74E-13,4.74E-13,4.74E-13,1.56E-13,4.74E-13,4.74E-13,4.74E-13,4.74E-13,1.56E-13,1.56E-13,1.56E-13,1.56E-13,5.46E-13,5.46E-13,4.74E-13,4.74E-13,0.00E+00,0.00E+00,0.00E+00,1.56E-13,1.56E-13,4.74E-13,4.74E-13
NT0131,1.74E-12,1.48E-12,1.07E-12,2.20E-12,1.74E-12,1.48E-12,1.07E-12,2.20E-12,1.20E-12,1.20E-12,1.20E-12,3.35E-13,1.20E-12,1.20E-12,1.20E-12,1.20E-12,3.35E-13,3.35E-13,3.35E-13,3.35E-13,1.48E-12,1.48E-12,1.20E-12,1.20E-12,0.00E+00,0.00E+00,0.00E+00,3.35E-13,3.35E-13,1.20E-12,1.20E-12
NT0132,1.26E-13,8.37E-14,8.23E-14,1.44E-13,1.26E-13,8.37E-14,8.23E-14,1.44E-13,9.68E-14,9.68E-14,9.68E-14,3.79E-14,9.68E-14,9.68E-14,9.68E-14,9.68E-14,3.79E-14,3.79E-14,3.79E-14,3.79E-14,8.37E-14,8.37E-14,9.68E-14,9.68E-14,0.00E+00,0.00E+00,0.00E+00,3.79E-14,3.79E-14,9.68E-14,9.68E-14
NT0133,1.32E-13,8.69E-14,NA,1.54E-13,1.32E-13,8.69E-14,NA,1.54E-13,1.03E-13,1.03E-13,1.03E-13,4.16E-14,1.03E-13,1.03E-13,1.03E-13,1.03E-13,4.16E-14,4.16E-14,4.16E-14,4.16E-14,8.69E-14,8.69E-14,1.03E-13,1.03E-13,0.00E+00,0.00E+00,0.00E+00,4.16E-14,4.16E-14,1.03E-13,1.03E-13
NT0134,1.28E-12,9.01E-13,9.52E-13,1.72E-12,1.28E-12,9.01E-13,9.52E-13,1.72E-12,8.44E-13,8.44E-13,8.44E-13,2.49E-13,8.44E-13,8.44E-13,8.44E-13,8.44E-13,2.49E-13,2.49E-13,2.49E-13,2.49E-13,9.01E-13,9.01E-13,8.44E-13,8.44E-13,0.00E+00,0.00E+00,0.00E+00,2.49E-13,2.49E-13,8.44E-13,8.44E-13
NT0135,1.31E-13,8.73E-14,9.29E-14,1.47E-13,1.31E-13,8.73E-14,9.29E-14,1.47E-13,9.60E-14,9.60E-14,9.60E-14,3.47E-14,9.60E-14,9.60E-14,9.60E-14,9.60E-14,3.47E-14,3.47E-14,3.47E-14,3.47E-14,8.73E-14,8.73E-14,9.60E-14,9.60E-14,0.00E+00,0.00E+00,0.00E+00,3.47E-14,3.47E-14,9.60E-14,9.60E-14
NT0136,1.15E-12,9.31E-13,8.31E-13,1.38E-12,1.15E-12,9.31E-13,8.31E-13,1.38E-12,8.10E-13,8.10E-13,8.10E-13,2.23E-13,8.10E-13,8.10E-13,8.10E-13,8.10E-13,2.23E-13,2.23E-13,2.23E-13,2.23E-13,9.31E-13,9.31E-13,8.10E-13,8.10E-13,0.00E+00,0.00E+00,0.00E+00,2.23E-13,2.23E-13,8.10E-13,8.10E-13
NT0137,2.00E-13,1.46E-13,1.39E-13,2.48E-13,2.00E-13,1.46E-13,1.39E-13,2.48E-13,1.33E-13,1.33E-13,1.33E-13,3.70E-14,1.33E-13,1.33E-13,1.33E-13,1.33E-13,3.70E-14,3.70E-14,3.70E-14,3.70E-14,1.46E-13,1.46E-13,1.33E-13,1.33E-13,0.00E+00,0.00E+00,0.00E+00,3.70E-14,3.70E-14,1.33E-13,1.33E-13
NT0138,1.43E-13,9.22E-14,9.98E-14,1.65E-13,1.43E-13,9.22E-14,9.98E-14,1.65E-13,1.07E-13,1.07E-13,1.07E-13,3.98E-14,1.07E-13,1.07E-13,1.07E-13,1.07E-13,3.98E-14,3.98E-14,3.98E-14,3.98E-14,9.22E-14,9.22E-14,1.07E-13,1.07E-13,0.00E+00,0.00E+00,0.00E+00,3.98E-14,3.98E-14,1.07E-13,1.07E-13
NT0139,8.36E-14,5.85E-14,6.10E-14,8.84E-14,8.36E-14,5.85E-14,6.10E-14,8.84E-14,6.14E-14,6.14E-14,6.14E-14,2.00E-14,6.14E-14,6.14E-14,6.14E-14,6.14E-14,2.00E-14,2.00E-14,2.00E-14,2.00E-14,5.85E-14,5.85E-14,6.14E-14,6.14E-14,0.00E+00,0.00E+00,0.00E+00,2.00E-14,2.00E-14,6.14E-14,6.14E-14
NT0140,6.29E-14,4.37E-14,4.58E-14,6.97E-14,6.29E-14,4.37E-14,4.58E-14,6.97E-14,4.57E-14,4.57E-14,4.57E-14,1.47E-14,4.57E-14,4.57E-14,4.57E-14,4.57E-14,1.47E-14,1.47E-14,1.47E-14,1.47E-14,4.37E-14,4.37E-14,4.57E-14,4.57E-14,0.00E+00,0.00E+00,0.00E+00,1.47E-14,1.47E-14,4.57E-14,4.57E-14
NT0141,1.57E-13,1.06E-13,1.03E-13,1.89E-13,1.57E-13,1.06E-13,1.03E-13,1.89E-13,1.22E-13,1.22E-13,1.22E-13,4.70E-14,1.22E-13,1.22E-13,1.22E-13,1.22E-13,4.70E-14,4.70E-14,4.70E-14,4.70E-14,1.06E-13,1.06E-13,1.22E-13,1.22E-13,0.00E+00,0.00E+00,0.00E+00,4.70E-14,4.70E-14,1.22E-13,1.22E-13
NT0142,2.32E-13,1.62E-13,1.47E-13,2.79E-13,2.32E-13,1.62E-13,1.47E-13,2.79E-13,1.65E-13,1.65E-13,1.65E-13,6.72E-14,1.65E-13,1.65E-13,1.65E-13,1.65E-13,6.72E-14,6.72E-14,6.72E-14,6.72E-14,1.62E-13,1.62E-13,1.65E-13,1.65E-13,0.00E+00,0.00E+00,0.00E+00,6.72E-14,6.72E-14,1.65E-13,1.65E-13
NT0143,1.24E-13,8.43E-14,9.25E-14,1.37E-13,1.24E-13,8.43E-14,9.25E-14,1.37E-13,8.84E-14,8.84E-14,8.84E-14,3.21E-14,8.84E-14,8.84E-14,8.84E-14,8.84E-14,3.21E-14,3.21E-14,3.21E-14,3.21E-14,8.43E-14,8.43E-14,8.84E-14,8.84E-14,0.00E+00,0.00E+00,0.00E+00,3.21E-14,3.21E-14,8.84E-14,8.84E-14
NT0144,9.15E-14,6.42E-14,6.61E-14,9.45E-14,9.15E-14,6.42E-14,6.61E-14,9.45E-14,6.52E-14,6.52E-14,6.52E-14,1.93E-14,6.52E-14,6.52E-14,6.52E-14,6.52E-14,1.93E-14,1.93E-14,1.93E-14,1.93E-14,6.42E-14,6.42E-14,6.52E-14,6.52E-14,0.00E+00,0.00E+00,0.00E+00,1.93E-14,1.93E-14,6.52E-14,6.52E-14
NT0145,1.73E-12,1.44E-12,1.29E-12,2.20E-12,1.73E-12,1.44E-12,1.29E-12,2.20E-12,1.17E-12,1.17E-12,1.17E-12,3.27E-13,1.17E-12,1.17E-12,1.17E-12,1.17E-12,3.27E-13,3.27E-13,3.27E-13,3.27E-13,1.44E-12,1.44E-12,1.17E-12,1.17E-12,0.00E+00,0.00E+00,0.00E+00,3.27E-13,3.27E-13,1.17E-12,1.17E-12
NT0146,2.76E-12,2.04E-12,1.26E-12,3.19E-12,2.76E-12,2.04E-12,1.26E-12,3.19E-12,1.52E-12,1.52E-12,1.52E-12,5.45E-13,1.52E-12,1.52E-12,1.52E-12,1.52E-12,5.45E-13,5.45E-13,5.45E-13,5.45E-13,2.04E-12,2.04E-12,1.52E-12,1.52E-12,0.00E+00,0.00E+00,0.00E+00,5.45E-13,5.45E-13,1.52E-12,1.52E-12
NT0147,1.80E-13,1.21E-13,1.24E-13,2.04E-13,1.80E-13,1.21E-13,1.24E-13,2.04E-13,1.34E-13,1.34E-13,1.34E-13,5.30E-14,1.34E-13,1.34E-13,1.34E-13,1.34E-13,5.30E-14,5.30E-14,5.30E-14,5.30E-14,1.21E-13,1.21E-13,1.34E-13,1.34E-13,0.00E+00,0.00E+00,0.00E+00,5.30E-14,5.30E-14,1.34E-13,1.34E-13
NT0148,3.29E-13,2.38E-13,2.23E-13,3.39E-13,3.29E-13,2.38E-13,2.23E-13,3.39E-13,2.42E-13,2.42E-13,2.42E-13,7.49E-14,2.42E-13,2.42E-13,2.42E-13,2.42E-13,7.49E-14,7.49E-14,7.49E-14,7.49E-14,2.38E-13,2.38E-13,2.42E-13,2.42E-13,0.00E+00,0.00E+00,0.00E+00,7.49E-14,7.49E-14,2.42E-13,2.42E-13
NT0149,1.53E-13,1.07E-13,1.09E-13,1.71E-13,1.53E-13,1.07E-13,1.09E-13,1.71E-13,1.10E-13,1.10E-13,1.10E-13,3.92E-14,1.10E-13,1.10E-13,1.10E-13,1.10E-13,3.92E-14,3.92E-14,3.92E-14,3.92E-14,1.07E-13,1.07E-13,1.10E-13,1.10E-13,0.00E+00,0.00E+00,0.00E+00,3.92E-14,3.92E-14,1.10E-13,1.10E-13
NT0150,1.33E-13,9.27E-14,8.31E-14,1.55E-13,1.33E-13,9.27E-14,8.31E-14,1.55E-13,8.73E-14,8.73E-14,8.73E-14,2.49E-14,8.73E-14,8.73E-14,8.73E-14,8.73E-14,2.49E-14,2.49E-14,2.49E-14,2.49E-14,9.27E-14,9.27E-14,8.73E-14,8.73E-14,0.00E+00,0.00E+00,0.00E+00,2.49E-14,2.49E-14,8.73E-14,8.73E-14
NT0151,1.37E-12,1.01E-12,8.20E-13,1.44E-12,1.37E-12,1.01E-12,8.20E-13,1.44E-12,9.67E-13,9.67E-13,9.67E-13,2.66E-13,9.67E-13,9.67E-13,9.67E-13,9.67E-13,2.66E-13,2.66E-13,2.66E-13,2.66E-13,1.01E-12,1.01E-12,9.67E-13,9.67E-13,0.00E+00,0.00E+00,0.00E+00,2.66E-13,2.66E-13,9.67E-13,9.67E-13
NT0152,2.90E-13,2.20E-13,1.57E-13,3.46E-13,2.90E-13,2.20E-13,1.57E-13,3.46E-13,1.88E-13,1.88E-13,1.88E-13,4.93E-14,1.88E-13,1.88E-13,1.88E-13,1.88E-13,4.93E-14,4.93E-14,4.93E-14,4.93E-14,2.20E-13,2.20E-13,1.88E-13,1.88E-13,0.00E+00,0.00E+00,0.00E+00,4.93E-14,4.93E-14,1.88E-13,1.88E-13
NT0153,9.28E-13,7.11E-13,7.17E-13,1.17E-12,9.28E-13,7.11E-13,7.17E-13,1.17E-12,6.72E-13,6.72E-13,6.72E-13,1.94E-13,6.72E-13,6.72E-13,6.72E-13,6.72E-13,1.94E-13,1.94E-13,1.94E-13,1.94E-13,7.11E-13,7.11E-13,6.72E-13,6.72E-13,0.00E+00,0.00E+00,0.00E+00,1.94E-13,1.94E-13,6.72E-13,6.72E-13
NT0154,4.61E-13,3.41E-13,2.72E-13,5.03E-13,4.61E-13,3.41E-13,2.72E-13,5.03E-13,3.05E-13,3.05E-13,3.05E-13,1.03E-13,3.05E-13,3.05E-13,3.05E-13,3.05E-13,1.03E-13,1.03E-13,1.03E-13,1.03E-13,3.41E-13,3.41E-13,3.05E-13,3.05E-13,0.00E+00,0.00E+00,0.00E+00,1.03E-13,1.03E-13,3.05E-13,3.05E-13
NT0155,2.14E-12,1.78E-12,1.33E-12,2.58E-12,2.14E-12,1.78E-12,1.33E-12,2.58E-12,NA,NA,NA,4.59E-13,NA,NA,NA,NA,4.59E-13,4.59E-13,4.59E-13,4.59E-13,1.78E-12,1.78E-12,NA,NA,0.00E+00,0.00E+00,0.00E+00,4.59E-13,4.59E-13,NA,NA
NT0156,1.37E-13,8.94E-14,8.94E-14,1.60E-13,1.37E-13,8.94E-14,8.94E-14,1.60E-13,1.06E-13,1.06E-13,1.06E-13,4.27E-14,1.06E-13,1.06E-13,1.06E-13,1.06E-13,4.27E-14,4.27E-14,4.27E-14,4.27E-14,8.94E-14,8.94E-14,1.06E-13,1.06E-13,0.00E+00,0.00E+00,0.00E+00,4.27E-14,4.27E-14,1.06E-13,1.06E-13
NT0157,1.31E-13,8.66E-14,8.47E-14,1.52E-13,1.31E-13,8.66E-14,8.47E-14,1.52E-13,9.95E-14,9.95E-14,9.95E-14,3.95E-14,9.95E-14,9.95E-14,9.95E-14,9.95E-14,3.95E-14,3.95E-14,3.95E-14,3.95E-14,8.66E-14,8.66E-14,9.95E-14,9.95E-14,0.00E+00,0.00E+00,0.00E+00,3.95E-14,3.95E-14,9.95E-14,9.95E-14
NT0158,1.29E-13,9.05E-14,9.90E-14,1.40E-13,1.29E-13,9.05E-14,9.90E-14,1.40E-13,9.63E-14,9.63E-14,9.63E-14,3.06E-14,9.63E-14,9.63E-14,9.63E-14,9.63E-14,3.06E-14,3.06E-14,3.06E-14,3.06E-14,9.05E-14,9.05E-14,9.63E-14,9.63E-14,0.00E+00,0.00E+00,0.00E+00,3.06E-14,3.06E-14,9.63E-14,9.63E-14
NT0159,1.94E-12,1.60E-12,1.41E-12,2.67E-12,1.94E-12,1.60E-12,1.41E-12,2.67E-12,1.29E-12,1.29E-12,1.29E-12,2.87E-13,1.29E-12,1.29E-12,1.29E-12,1.29E-12,2.87E-13,2.87E-13,2.87E-13,2.87E-13,1.60E-12,1.60E-12,1.29E-12,1.29E-12,0.00E+00,0.00E+00,0.00E+00,2.87E-13,2.87E-13,1.29E-12,1.29E-12
NT0160,1.34E-12,9.89E-13,9.22E-13,1.49E-12,1.34E-12,9.89E-13,9.22E-13,1.49E-12,9.22E-13,9.22E-13,9.22E-13,2.77E-13,9.22E-13,9.22E-13,9.22E-13,9.22E-13,2.77E-13,2.77E-13,2.77E-13,2.77E-13,9.89E-13,9.89E-13,9.22E-13,9.22E-13,0.00E+00,0.00E+00,0.00E+00,2.77E-13,2.77E-13,9.22E-13,9.22E-13
NT0161,2.68E-12,2.04E-12,1.20E-12,3.01E-12,2.68E-12,2.04E-12,1.20E-12,3.01E-12,1.34E-12,1.34E-12,1.34E-12,4.43E-13,1.34E-12,1.34E-12,1.34E-12,1.34E-12,4.43E-13,4.43E-13,4.43E-13,4.43E-13,2.04E-12,2.04E-12,1.34E-12,1.34E-12,0.00E+00,0.00E+00,0.00E+00,4.43E-13,4.43E-13,1.34E-12,1.34E-12
NT0162,7.29E-13,5.87E-13,4.14E-13,8.45E-13,7.29E-13,5.87E-13,4.14E-13,8.45E-13,4.76E-13,4.76E-13,4.76E-13,1.53E-13,4.76E-13,4.76E-13,4.76E-13,4.76E-13,1.53E-13,1.53E-13,1.53E-13,1.53E-13,5.87E-13,5.87E-13,4.76E-13,4.76E-13,0.00E+00,0.00E+00,0.00E+00,1.53E-13,1.53E-13,4.76E-13,4.76E-13
NT0163,1.41E-13,9.70E-14,8.99E-14,1.74E-13,1.41E-13,9.70E-14,8.99E-14,1.74E-13,1.08E-13,1.08E-13,1.08E-13,4.60E-14,1.08E-13,1.08E-13,1.08E-13,1.08E-13,4.60E-14,4.60E-14,4.60E-14,4.60E-14,9.70E-14,9.70E-14,1.08E-13,1.08E-13,0.00E+00,0.00E+00,0.00E+00,4.60E-14,4.60E-14,1.08E-13,1.08E-13
