Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF100,ArgentinaReg,0,0.0046,0.0046,0.024183747,0.086483884,0.218220335,0.385174086,0.66177757,0.915017063,1.078361673,1.029620389,Wood_Byproducts
REF,MFM,AF100,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,3.375,3.926792241,5.734167707,7.170211176,8.028991532,Wood_Byproducts
REF,MFM,AF100,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,3.754355895,6.764139027,11.12924504,14.55017397,13.26416771,Wood_Byproducts
REF,MFM,AF100,IndonesiaReg,0,0.0282,0.0282,0.183342425,0.218339048,0.167834864,0.806598422,1.265281941,1.138753747,1.229000043,1.311137398,Wood_Byproducts
REF,MFM,AF100,MalaysiaReg,0,0.091775,0.049680392,0.436298016,0.481985178,0.277940288,0.686397035,1.059953672,1.046031732,1.15765958,1.041881995,Wood_Byproducts
REF,MFM,AF100,MexicoReg,0,0.002325,0.002325,0.009413328,0.009413328,0.009413328,0,0.134896019,0.13693767,0.155722053,0.140149848,Wood_Byproducts
REF,MFM,AF100,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.021200591,0.075815771,0.1823108,0.343435831,0.784327068,Wood_Byproducts
REF,MFM,AF100,RCEU,0,0.1632,0.1632,0.1632,0.1632,0.1632,0.156063118,0.140456806,0.142731125,0.144041603,0.145957443,Wood_Byproducts
REF,MFM,AF100,RSAM,0,0.00245,0.006211515,0.026803572,0.050492385,0.142857496,0.798491733,1.015096715,1.645587908,2.230310999,2.072683103,Wood_Byproducts
REF,MFM,AF100,RSEA_PAC,0,0.069075,0.514648855,2.361467091,2.436020178,2.486599068,3.028773788,2.780501299,2.531536898,2.845140553,2.540039811,Wood_Byproducts
REF,MFM,AF100,SouthAfrReg,0,0.14575,0.14575,0.013251198,0.012965184,0.40728015,0.551282655,0.615560925,0.673411368,0.606070232,0.664869744,Wood_Byproducts
REF,MFM,AF100,UkraineReg,0,0.493975,0.493975,2.177638534,1.793478346,1.600536319,1.686738466,1.548955664,1.503276677,1.511792381,1.474058511,Wood_Byproducts
REF,MFM,AF100,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,AF100,ROWE,0,0.00755,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,Wood_Byproducts
RCP,MFM,noAF,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.184774666,0.186827718,0.192974469,0.194207541,0.194207541,0.18148964,Wood_Byproducts
RCP,MFM,noAF,ArgentinaReg,0,0.0046,0,0.027301365,0.152047714,0.428513057,0.45216287,0.39967808,0.272026519,0.241928958,0.217299085,Wood_Byproducts
RCP,MFM,noAF,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,1.6875,1.111269737,0.858895328,0.986012348,1.216717922,Wood_Byproducts
RCP,MFM,noAF,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,2.034825,2.062989293,1.665736932,2.323303013,2.141147355,Wood_Byproducts
RCP,MFM,noAF,IndonesiaReg,0,0.0282,0.0282,0.184865585,0.169829329,1.052695236,0.861524819,1.047543357,1.070717295,1.113050902,1.056315556,Wood_Byproducts
RCP,MFM,noAF,MalaysiaReg,0,0.091775,0.109293123,0.578196577,0.70201631,1.055840205,1.570380584,1.470130144,1.801711211,2.013407567,2.055500736,Wood_Byproducts
RCP,MFM,noAF,MexicoReg,0,0.002325,0.002325,0.013081464,0.017429635,0.028852356,0.01298356,0.022547128,0.009069395,0.066282191,0.079837976,Wood_Byproducts
RCP,MFM,noAF,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.076368451,0.5689893,1.826805369,1.826805369,1.826805369,Wood_Byproducts
RCP,MFM,noAF,RCEU,0,0.1632,0.1632,0.165992531,0.165992531,0.158269207,0.152192682,0.108349739,0.108349739,0.108349739,0.108349739,Wood_Byproducts
RCP,MFM,noAF,RSAM,0,0.00245,0.006211515,0.031054263,0.083118515,0.271638186,0.379450736,0.429404077,0.414894794,0.882078952,1.291436732,Wood_Byproducts
RCP,MFM,noAF,RSEA_PAC,0,0.069075,0.514648855,2.895638835,4.1430057,4.398061249,5.141583266,6.036764831,7.131797837,7.131797837,9.281910894,Wood_Byproducts
RCP,MFM,noAF,SouthAfrReg,0,0.14575,0.14575,0.399850917,0.35642491,0.588825723,0.347289452,0.2368701,0.149286139,0.124579204,0.095623035,Wood_Byproducts
RCP,MFM,noAF,UkraineReg,0,0.493975,0.493975,2.633883021,2.833411215,2.677569658,2.04990483,1.469466515,1.111345852,0.837714734,0.696822466,Wood_Byproducts
RCP,MFM,noAF,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.99494902,7.454640918,4.235117469,4.847877221,4.363089499,Wood_Byproducts
RCP,MFM,noAF,ROWE,0,0.00755,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.050626695,Wood_Byproducts
RCP,MFM,AF0,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.201359181,0.201359181,0.201598948,Wood_Byproducts
RCP,MFM,AF0,ArgentinaReg,0,0.0046,0.0046,0.034272671,0.104131357,0.366958831,0.406647131,0.303141743,0.277491763,0.254146964,0.161485666,Wood_Byproducts
RCP,MFM,AF0,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,3.583840718,1.241553699,1.01879793,0.958586467,1.010328927,Wood_Byproducts
RCP,MFM,AF0,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,2.034825,1.885890209,1.367841682,1.614520015,1.455187535,Wood_Byproducts
RCP,MFM,AF0,IndonesiaReg,0,0.0282,0.0282,0.185296927,0.306733489,0.26608677,2.615947816,2.191578882,1.547904243,1.358112385,1.1817436,Wood_Byproducts
RCP,MFM,AF0,MalaysiaReg,0,0.091775,0.109293123,0.814297219,0.918140375,0.671308037,1.25608658,1.256129411,1.597457368,1.787990054,1.772148709,Wood_Byproducts
RCP,MFM,AF0,MexicoReg,0,0.002325,0.002325,0.015025878,0.018357338,0.022427433,0.022427433,0.009126505,0.016897644,0.054543317,0.05523687,Wood_Byproducts
RCP,MFM,AF0,MidEastNorthAfr,0,0.01025,0.01025,0.013245927,0.013245927,0.013245927,0.09868985,0.733621554,2.07562661,2.07562661,2.07562661,Wood_Byproducts
RCP,MFM,AF0,RCEU,0,0.1632,0.1632,0.21090101,0.189810909,0.191919919,0.193818028,0.168741903,0.168741903,0.168741903,0.168741903,Wood_Byproducts
RCP,MFM,AF0,RSAM,0,0.00245,0.006211515,0.032656024,0.082793216,0.435271786,0.435271786,0.235927742,0.22400281,0.689719598,1.286527754,Wood_Byproducts
RCP,MFM,AF0,RSEA_PAC,0,0.069075,0.514648855,3.326043407,4.641282087,4.629128683,5.802551041,5.222441207,6.361070509,6.361070509,8.22021945,Wood_Byproducts
RCP,MFM,AF0,SouthAfrReg,0,0.14575,0.14575,0.590104299,0.720939181,0.660780121,0.372049699,0.194026103,0.09328899,0.084896453,0.069901234,Wood_Byproducts
RCP,MFM,AF0,UkraineReg,0,0.493975,0.493975,2.768948953,2.676950821,2.488578604,1.776267803,1.283232119,1.024877852,0.793449505,0.671809504,Wood_Byproducts
RCP,MFM,AF0,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.46388224,6.938387693,2.793334928,3.197818013,3.482302357,Wood_Byproducts
RCP,MFM,AF0,ROWE,0,0.00755,0.056251884,0.295735074,0.295735074,0.295735074,0.295735074,0.295735074,0.266161566,0.266161566,0.269118917,Wood_Byproducts
RCP,MFM,AF25,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,Wood_Byproducts
