Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
RCP,MFM,noAF,UkraineReg,0,0,0,0,1.574264311,5.486450392,6.114115219,6.694553534,8.19673024,8.470361357,8.611253625,Wood_EP_im
RCP,MFM,noAF,USAReg,0,0,0,0,0,0,0,7.899898185,11.11942163,10.50666188,10.9914496,Wood_EP_im
RCP,MFM,noAF,ROWE,0,0,0,0,0,0,0,0,0,0,0.005625188,Wood_EP_im
RCP,MFM,AF0,ANZ,0,0,0,0,0,0,0,0,0.003946003,0.003946003,0.003706237,Wood_EP_im
RCP,MFM,AF0,ArgentinaReg,0,0,0,0,0.053660012,0.808678481,2.146711646,7.799231415,16.00572216,23.18720572,23.27986702,Wood_EP_im
RCP,MFM,AF0,CanadaReg,0,0,0,0,0,0,0.166159282,3.205701585,3.428457354,3.488668817,3.436926357,Wood_EP_im
RCP,MFM,AF0,Former_USSR,0,0,0,0,0,0,0,0.148934791,3.051581061,2.804902727,2.964235207,Wood_EP_im
RCP,MFM,AF0,IndonesiaReg,0,0,0,0,0,2.019255814,12.15363452,33.32417644,38.84492003,43.62945981,43.8058286,Wood_EP_im
RCP,MFM,AF0,MalaysiaReg,0,0,0,0,2.943998165,10.89380819,20.87398401,20.87394118,31.60459588,40.45885654,43.88224138,Wood_EP_im
RCP,MFM,AF0,MexicoReg,0,0,0,0,0,0,0,0.013300927,0.005529789,0.002317228,0.001623674,Wood_EP_im
RCP,MFM,AF0,RCEU,0,0,0,0,0.021090101,0.018981091,0.017082982,0.042159107,0.042159107,0.042159107,0.042159107,Wood_EP_im
RCP,MFM,AF0,RSAM,0,0,0,0,0,0,0,0.199344044,1.241413969,10.22848622,42.91848217,Wood_EP_im
RCP,MFM,AF0,RSEA_PAC,0,0,0,0,10.22536894,22.15578389,20.98236154,21.56247137,20.42384207,20.42384207,22.24283159,Wood_EP_im
RCP,MFM,AF0,SouthAfrReg,0,0,0,0,0,0.17752642,0.466256843,0.644280438,0.745017551,1.068604395,1.083599615,Wood_EP_im
RCP,MFM,AF0,UkraineReg,0,0,0,0,1.726560128,5.110475368,5.822786168,6.315821852,7.286095563,7.51752391,7.639163911,Wood_EP_im
RCP,MFM,AF0,USAReg,0,0,0,0,0,0,0,6.525494544,10.67054731,10.26606422,9.981579879,Wood_EP_im
RCP,MFM,AF0,ROWE,0,0,0,0,0,0,0,0,0.029573507,0.029573507,0.026616157,Wood_EP_im
RCP,MFM,AF25,ArgentinaReg,0,0,0,0,0.08110454,0.813852177,2.295975923,9.256085037,19.63678727,29.08413527,29.12596382,Wood_EP_im
RCP,MFM,AF25,CanadaReg,0,0,0,0,0,0,0.154523895,3.753875298,4.324163164,4.628679242,4.739629596,Wood_EP_im
RCP,MFM,AF25,Former_USSR,0,0,0,0,0,0,1.02688986,2.084087637,5.059975619,5.180421144,4.66237903,Wood_EP_im
RCP,MFM,AF25,IndonesiaReg,0,0,0,0,0.14101568,0.12222728,13.788893,35.68792409,43.14745071,49.9653633,50.09500317,Wood_EP_im
RCP,MFM,AF25,MalaysiaReg,0,0,0.059612731,0.088793951,3.057302088,10.53356171,20.74154628,21.45725804,32.10913926,42.50433004,47.36993229,Wood_EP_im
RCP,MFM,AF25,RCEU,0,0,0,0,0,0,0,0.038960594,0.038960594,0.038960594,0.038960594,Wood_EP_im
RCP,MFM,AF25,RSAM,0,0,0,0,0,0.149418131,0.067238159,0.10137323,1.175397882,11.8713327,50.17986691,Wood_EP_im
RCP,MFM,AF25,RSEA_PAC,0,0,0,0,10.79600078,23.48345479,21.79332442,20.44165604,19.51373409,19.51373409,21.79893219,Wood_EP_im
RCP,MFM,AF25,SouthAfrReg,0,0,0,0,0.470527849,0.436144418,0.69881345,0.77257682,0.816008799,1.129360199,1.144882871,Wood_EP_im
RCP,MFM,AF25,UkraineReg,0,0,0,0,1.689648777,4.969584148,5.483754682,6.074796366,7.803108085,8.016996887,8.144070943,Wood_EP_im
RCP,MFM,AF25,USAReg,0,0,0,0,0,0,0,6.739021443,12.02846517,12.69763495,12.35791339,Wood_EP_im
RCP,MFM,AF25,ROWE,0,0,0,0,0,0,0,0,0,0.005144041,0.004629637,Wood_EP_im
RCP,MFM,AF50,ArgentinaReg,0,0,0,0,0,0.962492043,3.242305748,11.905962,26.19418417,40.22435099,41.44428228,Wood_EP_im
RCP,MFM,AF50,CanadaReg,0,0,0,0,0,0.375,1.160646616,4.80310326,4.81636752,5.051816315,4.925126504,Wood_EP_im
RCP,MFM,AF50,Former_USSR,0,0,0,0,0,0,0,0.557930496,3.977049117,4.860505383,4.374454845,Wood_EP_im
RCP,MFM,AF50,IndonesiaReg,0,0,0,0,0,0,14.68250386,38.34017312,43.73240197,50.36721034,50.70438186,Wood_EP_im
