Mitigation_scenario,Forest_use,Management_scenario,Eco_reg,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF25,PA0433,0.113092967,0.140776941,0.172911488,0.172446932,0.191380732,0.193026346,0.177591083,0.171791793,0.16748339,0.162255272,0.167115247,Clear_cut_EU_ex
REF,MFM,AF25,PA0435,0.085474727,0.106398045,0.13068507,0.131895977,0.14808163,0.151137862,0.151677835,0.152053372,0.152390385,0.152563727,0.15260947,Clear_cut_EU_ex
REF,MFM,AF25,PA0436,1.471930237,1.832243341,2.250481659,2.196261985,2.360549542,2.283140562,2.17635148,1.998505257,1.809029498,1.592551821,1.340668368,Clear_cut_EU_ex
REF,MFM,AF25,PA0445,2.086421456,2.597155574,3.189997122,3.142041348,3.450367864,3.442887619,3.367253553,3.230489784,3.097461915,2.955975656,2.907856118,Clear_cut_EU_ex
REF,MFM,AF25,PA0501,0.67088043,0.835104933,1.025730749,1.035103437,1.138713949,1.150482554,1.147668707,1.125808496,1.091144564,1.055875856,1.05919391,Clear_cut_EU_ex
REF,MFM,AF25,PA0503,0.063281911,0.07877266,0.096753756,0.097650262,0.109633441,0.111896148,0.112295921,0.112573953,0.112823463,0.112951798,0.112985664,Clear_cut_EU_ex
REF,MFM,AF25,PA0504,0.346714488,0.431586562,0.530102973,0.535014824,0.596664761,0.595375378,0.573940366,0.569644725,0.552995835,0.522201339,0.5151088,Clear_cut_EU_ex
REF,MFM,AF25,PA0608,3.587402824,4.465561458,5.484895992,5.40311675,5.775291607,5.627318803,5.377090313,5.07585065,4.781032344,4.519695796,4.477581541,Clear_cut_EU_ex
REF,MFM,AF25,PA0814,0.027597111,0.034352595,0.042194115,0.042585079,0.047810919,0.04879768,0.048972021,0.04909327,0.049202081,0.049258047,0.049272816,Clear_cut_EU_ex
REF,MFM,AF25,PA1110,0.24050324,0.299375914,0.367713168,0.365148823,0.403226306,0.404676408,0.398786942,0.391204531,0.383905637,0.38062801,0.409783359,Clear_cut_EU_ex
REF,MFM,AF25,PA1201,0.258177082,0.321376128,0.394735276,0.398392831,0.447281722,0.456513094,0.458144086,0.459278399,0.460296349,0.460819931,0.460958097,Clear_cut_EU_ex
REF,MFM,AF25,PA1204,0.019515221,0.024292342,0.029837451,0.03011392,0.033809358,0.034507144,0.034630428,0.034716169,0.034793114,0.034832691,0.034843135,Clear_cut_EU_ex
REF,MFM,AF25,PA1205,0.004744078,0.005905379,0.007253375,0.007320583,0.008218931,0.00838856,0.00841853,0.008439373,0.008458078,0.008467699,0.008470238,Clear_cut_EU_ex
REF,MFM,AF25,PA1206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clear_cut_EU_ex
