Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
AA0120,1.59E-14,1.22E-14,5.60E-15,2.68E-14,9.18E-15,5.75E-15,9.18E-15,9.18E-15,5.75E-15,5.75E-15,0.00E+00,5.75E-15,9.18E-15
AA0121,2.97E-15,2.48E-15,8.59E-16,4.49E-15,1.89E-15,7.33E-16,1.89E-15,1.89E-15,7.33E-16,7.33E-16,0.00E+00,7.33E-16,1.89E-15
AA0122,4.29E-15,3.59E-15,1.20E-15,6.68E-15,2.74E-15,1.22E-15,2.74E-15,2.74E-15,1.22E-15,1.22E-15,0.00E+00,1.22E-15,2.74E-15
AA0123,1.30E-14,8.67E-15,3.78E-15,1.92E-14,7.22E-15,3.51E-15,7.22E-15,7.22E-15,3.51E-15,3.51E-15,0.00E+00,3.51E-15,7.22E-15
AA0124,2.00E-14,8.69E-15,5.21E-15,3.02E-14,1.05E-14,7.49E-15,1.05E-14,1.05E-14,7.49E-15,7.49E-15,0.00E+00,7.49E-15,1.05E-14
AA0125,2.73E-14,1.01E-14,1.41E-14,4.88E-14,1.31E-14,1.04E-14,1.31E-14,1.31E-14,1.04E-14,1.04E-14,0.00E+00,1.04E-14,1.31E-14
AA0126,2.75E-14,2.79E-14,1.25E-14,4.63E-14,1.83E-14,6.67E-15,1.83E-14,1.83E-14,6.67E-15,6.67E-15,0.00E+00,6.67E-15,1.83E-14
AA0127,2.02E-14,1.38E-14,9.42E-15,3.57E-14,1.17E-14,6.54E-15,1.17E-14,1.17E-14,6.54E-15,6.54E-15,0.00E+00,6.54E-15,1.17E-14
AA0128,1.11E-14,9.59E-15,3.24E-15,1.85E-14,7.37E-15,3.73E-15,7.37E-15,7.37E-15,3.73E-15,3.73E-15,0.00E+00,3.73E-15,7.37E-15
AA0201,1.26E-14,1.10E-14,4.82E-15,2.13E-14,6.10E-15,2.70E-15,6.10E-15,6.10E-15,2.70E-15,2.70E-15,0.00E+00,2.70E-15,6.10E-15
AA0202,1.20E-13,1.15E-13,7.33E-14,1.73E-13,5.24E-14,2.72E-14,5.24E-14,5.24E-14,2.72E-14,2.72E-14,0.00E+00,2.72E-14,5.24E-14
AA0203,1.13E-14,1.28E-14,4.50E-15,NaN,7.59E-15,1.88E-15,7.59E-15,7.59E-15,1.88E-15,1.88E-15,0.00E+00,1.88E-15,7.59E-15
AA0204,1.45E-14,1.32E-14,6.33E-15,2.61E-14,7.29E-15,2.69E-15,7.29E-15,7.29E-15,2.69E-15,2.69E-15,0.00E+00,2.69E-15,7.29E-15
AA0401,NaN,NaN,3.36E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA0402,3.24E-15,2.86E-15,2.60E-15,6.60E-15,1.85E-15,8.15E-16,1.85E-15,1.85E-15,8.15E-16,8.15E-16,0.00E+00,8.15E-16,1.85E-15
AA0403,2.21E-15,3.90E-15,2.92E-15,NaN,2.19E-15,4.49E-16,2.19E-15,2.19E-15,4.49E-16,4.49E-16,0.00E+00,4.49E-16,2.19E-15
AA0404,1.22E-15,2.17E-15,1.47E-15,4.11E-15,1.33E-15,2.89E-16,1.33E-15,1.33E-15,2.89E-16,2.89E-16,0.00E+00,2.89E-16,1.33E-15
AA0405,1.23E-15,1.34E-15,8.25E-16,2.73E-15,8.61E-16,1.94E-16,8.61E-16,8.61E-16,1.94E-16,1.94E-16,0.00E+00,1.94E-16,8.61E-16
AA0406,2.64E-15,2.88E-15,1.63E-15,5.47E-15,1.82E-15,4.02E-16,1.82E-15,1.82E-15,4.02E-16,4.02E-16,0.00E+00,4.02E-16,1.82E-15
AA0407,2.71E-14,2.96E-14,2.11E-14,NaN,1.49E-14,5.45E-15,1.49E-14,1.49E-14,5.45E-15,5.45E-15,0.00E+00,5.45E-15,1.49E-14
AA0408,3.74E-15,4.20E-15,2.58E-15,6.73E-15,2.23E-15,7.45E-16,2.23E-15,2.23E-15,7.45E-16,7.45E-16,0.00E+00,7.45E-16,2.23E-15
AA0409,2.33E-15,1.70E-15,1.08E-15,3.50E-15,1.14E-15,4.59E-16,1.14E-15,1.14E-15,4.59E-16,4.59E-16,0.00E+00,4.59E-16,1.14E-15
AA0410,1.01E-15,1.09E-15,4.44E-16,2.12E-15,6.79E-16,1.62E-16,6.79E-16,6.79E-16,1.62E-16,1.62E-16,0.00E+00,1.62E-16,6.79E-16
AA0411,2.68E-15,1.41E-15,1.76E-15,5.09E-15,9.34E-16,6.06E-16,9.34E-16,9.34E-16,6.06E-16,6.06E-16,0.00E+00,6.06E-16,9.34E-16
AA0412,2.28E-15,1.37E-15,1.66E-15,4.88E-15,8.23E-16,5.98E-16,8.23E-16,8.23E-16,5.98E-16,5.98E-16,0.00E+00,5.98E-16,8.23E-16
AA0413,2.47E-15,1.68E-15,1.75E-15,5.12E-15,1.05E-15,5.41E-16,1.05E-15,1.05E-15,5.41E-16,5.41E-16,0.00E+00,5.41E-16,1.05E-15
AA0414,7.40E-16,1.29E-15,9.50E-16,NaN,7.82E-16,1.52E-16,7.82E-16,7.82E-16,1.52E-16,1.52E-16,0.00E+00,1.52E-16,7.82E-16
AA0701,NaN,NaN,2.30E-15,4.26E-15,8.65E-16,2.80E-16,8.65E-16,8.65E-16,2.80E-16,2.80E-16,0.00E+00,2.80E-16,8.65E-16
AA0702,1.06E-15,9.56E-16,1.03E-15,2.27E-15,5.17E-16,1.75E-16,5.17E-16,5.17E-16,1.75E-16,1.75E-16,0.00E+00,1.75E-16,5.17E-16
AA0703,2.34E-15,2.09E-15,2.53E-15,NaN,1.13E-15,3.81E-16,1.13E-15,1.13E-15,3.81E-16,3.81E-16,0.00E+00,3.81E-16,1.13E-15
AA0704,5.06E-16,5.17E-16,5.63E-16,NaN,2.86E-16,7.70E-17,2.86E-16,2.86E-16,7.70E-17,7.70E-17,0.00E+00,7.70E-17,2.86E-16
AA0705,1.45E-15,1.43E-15,1.59E-15,3.45E-15,8.28E-16,2.38E-16,8.28E-16,8.28E-16,2.38E-16,2.38E-16,0.00E+00,2.38E-16,8.28E-16
AA0706,1.42E-15,1.32E-15,1.47E-15,3.00E-15,7.24E-16,2.13E-16,7.24E-16,7.24E-16,2.13E-16,2.13E-16,0.00E+00,2.13E-16,7.24E-16
AA0707,4.21E-16,3.86E-16,4.25E-16,1.02E-15,2.16E-16,5.01E-17,2.16E-16,2.16E-16,5.01E-17,5.01E-17,0.00E+00,5.01E-17,2.16E-16
AA0708,3.90E-15,3.62E-15,1.41E-15,7.57E-15,2.24E-15,1.13E-15,2.24E-15,2.24E-15,1.13E-15,1.13E-15,0.00E+00,1.13E-15,2.24E-15
AA0709,4.69E-16,5.24E-16,4.70E-16,NaN,2.72E-16,8.28E-17,2.72E-16,2.72E-16,8.28E-17,8.28E-17,0.00E+00,8.28E-17,2.72E-16
AA0801,2.35E-15,2.28E-15,1.21E-15,3.66E-15,1.19E-15,3.49E-16,1.19E-15,1.19E-15,3.49E-16,3.49E-16,0.00E+00,3.49E-16,1.19E-15
AA0802,5.61E-16,4.12E-16,3.95E-16,NaN,2.31E-16,5.51E-17,2.31E-16,2.31E-16,5.51E-17,5.51E-17,0.00E+00,5.51E-17,2.31E-16
AA0803,7.90E-16,6.06E-16,4.94E-16,1.32E-15,3.61E-16,9.63E-17,3.61E-16,3.61E-16,9.63E-17,9.63E-17,0.00E+00,9.63E-17,3.61E-16
AA1001,3.48E-15,2.51E-15,2.64E-15,NaN,1.63E-15,1.67E-15,1.63E-15,1.63E-15,1.67E-15,1.67E-15,0.00E+00,1.67E-15,1.63E-15
AA1002,2.32E-14,2.06E-14,2.12E-14,4.68E-14,1.27E-14,5.58E-15,1.27E-14,1.27E-14,5.58E-15,5.58E-15,0.00E+00,5.58E-15,1.27E-14
AA1003,1.39E-15,2.11E-15,1.52E-15,3.89E-15,1.11E-15,2.49E-16,1.11E-15,1.11E-15,2.49E-16,2.49E-16,0.00E+00,2.49E-16,1.11E-15
AA1101,NaN,NaN,3.96E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA1201,2.94E-16,3.16E-16,3.31E-16,6.71E-16,1.65E-16,4.74E-17,1.65E-16,1.65E-16,4.74E-17,4.74E-17,0.00E+00,4.74E-17,1.65E-16
AA1202,1.28E-15,8.05E-16,8.81E-16,2.24E-15,4.51E-16,1.89E-16,4.51E-16,4.51E-16,1.89E-16,1.89E-16,0.00E+00,1.89E-16,4.51E-16
AA1203,1.58E-15,1.29E-15,7.09E-16,2.27E-15,6.54E-16,2.14E-16,6.54E-16,6.54E-16,2.14E-16,2.14E-16,0.00E+00,2.14E-16,6.54E-16
AA1204,4.78E-15,4.38E-15,5.05E-15,1.16E-14,2.81E-15,1.29E-15,2.81E-15,2.81E-15,1.29E-15,1.29E-15,0.00E+00,1.29E-15,2.81E-15
AA1205,2.34E-15,1.84E-15,1.45E-15,3.80E-15,1.09E-15,3.31E-16,1.09E-15,1.09E-15,3.31E-16,3.31E-16,0.00E+00,3.31E-16,1.09E-15
AA1206,2.36E-15,1.18E-15,1.12E-15,3.67E-15,7.81E-16,4.36E-16,7.81E-16,7.81E-16,4.36E-16,4.36E-16,0.00E+00,4.36E-16,7.81E-16
AA1207,1.21E-15,1.00E-15,6.92E-16,2.19E-15,5.23E-16,1.56E-16,5.23E-16,5.23E-16,1.56E-16,1.56E-16,0.00E+00,1.56E-16,5.23E-16
AA1208,1.43E-15,1.12E-15,5.54E-16,2.35E-15,6.66E-16,2.34E-16,6.66E-16,6.66E-16,2.34E-16,2.34E-16,0.00E+00,2.34E-16,6.66E-16
AA1209,9.70E-16,7.20E-16,5.68E-16,1.60E-15,3.82E-16,1.17E-16,3.82E-16,3.82E-16,1.17E-16,1.17E-16,0.00E+00,1.17E-16,3.82E-16
AA1210,3.29E-15,1.78E-15,1.94E-15,5.80E-15,1.04E-15,5.14E-16,1.04E-15,1.04E-15,5.14E-16,5.14E-16,0.00E+00,5.14E-16,1.04E-15
AA1301,1.36E-15,1.24E-15,1.08E-15,2.35E-15,5.85E-16,2.06E-16,5.85E-16,5.85E-16,2.06E-16,2.06E-16,0.00E+00,2.06E-16,5.85E-16
AA1302,4.17E-16,2.93E-16,4.24E-16,9.77E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA1303,2.47E-16,2.20E-16,2.41E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA1304,3.28E-16,3.04E-16,2.96E-16,7.43E-16,1.59E-16,4.49E-17,1.59E-16,1.59E-16,4.49E-17,4.49E-17,0.00E+00,4.49E-17,1.59E-16
AA1305,3.01E-16,2.57E-16,2.90E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA1306,3.40E-16,3.26E-16,2.83E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA1307,6.29E-16,4.93E-16,5.86E-16,1.34E-15,2.69E-16,7.88E-17,2.69E-16,2.69E-16,7.88E-17,7.88E-17,0.00E+00,7.88E-17,2.69E-16
AA1308,3.04E-16,2.87E-16,3.47E-16,NaN,1.62E-16,3.96E-17,1.62E-16,1.62E-16,3.96E-17,3.96E-17,0.00E+00,3.96E-17,1.62E-16
AA1309,4.68E-16,4.67E-16,4.56E-16,1.10E-15,2.45E-16,6.61E-17,2.45E-16,2.45E-16,6.61E-17,6.61E-17,0.00E+00,6.61E-17,2.45E-16
AA1310,2.28E-16,2.49E-16,2.33E-16,NaN,1.35E-16,3.13E-17,1.35E-16,1.35E-16,3.13E-17,3.13E-17,0.00E+00,3.13E-17,1.35E-16
AA1401,2.74E-15,2.78E-15,9.41E-16,5.15E-15,1.78E-15,8.77E-16,1.78E-15,1.78E-15,8.77E-16,8.77E-16,0.00E+00,8.77E-16,1.78E-15
AT0101,1.82E-14,1.26E-14,9.37E-15,2.47E-14,1.21E-14,3.18E-15,1.21E-14,1.21E-14,3.18E-15,3.18E-15,0.00E+00,3.18E-15,1.21E-14
AT0102,3.32E-15,2.40E-15,1.84E-15,5.04E-15,2.07E-15,7.89E-16,2.07E-15,2.07E-15,7.89E-16,7.89E-16,0.00E+00,7.89E-16,2.07E-15
AT0103,3.60E-14,2.50E-14,1.69E-14,4.89E-14,2.22E-14,8.90E-15,2.22E-14,2.22E-14,8.90E-15,8.90E-15,0.00E+00,8.90E-15,2.22E-14
AT0104,1.86E-15,1.17E-15,5.96E-16,2.61E-15,1.48E-15,NaN,1.48E-15,1.48E-15,NaN,NaN,0.00E+00,NaN,1.48E-15
AT0105,1.94E-13,1.68E-13,8.59E-14,2.78E-13,1.14E-13,3.32E-14,1.14E-13,1.14E-13,3.32E-14,3.32E-14,0.00E+00,3.32E-14,1.14E-13
AT0106,3.30E-15,1.92E-15,1.44E-15,4.10E-15,1.81E-15,7.91E-16,1.81E-15,1.81E-15,7.91E-16,7.91E-16,0.00E+00,7.91E-16,1.81E-15
AT0107,1.83E-14,1.17E-14,7.21E-15,2.40E-14,1.03E-14,5.04E-15,1.03E-14,1.03E-14,5.04E-15,5.04E-15,0.00E+00,5.04E-15,1.03E-14
AT0108,7.94E-15,4.67E-15,4.65E-15,1.14E-14,4.23E-15,1.29E-15,4.23E-15,4.23E-15,1.29E-15,1.29E-15,0.00E+00,1.29E-15,4.23E-15
AT0109,5.61E-14,4.46E-14,3.51E-14,8.93E-14,3.23E-14,1.27E-14,3.23E-14,3.23E-14,1.27E-14,1.27E-14,0.00E+00,1.27E-14,3.23E-14
AT0110,2.52E-15,1.76E-15,8.83E-16,3.57E-15,2.03E-15,NaN,2.03E-15,2.03E-15,NaN,NaN,0.00E+00,NaN,2.03E-15
AT0111,8.00E-15,6.71E-15,3.03E-15,9.99E-15,4.07E-15,1.30E-15,4.07E-15,4.07E-15,1.30E-15,1.30E-15,0.00E+00,1.30E-15,4.07E-15
AT0112,2.78E-15,1.74E-15,1.56E-15,4.03E-15,1.44E-15,4.57E-16,1.44E-15,1.44E-15,4.57E-16,4.57E-16,0.00E+00,4.57E-16,1.44E-15
AT0113,NaN,NaN,1.77E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT0114,9.99E-15,7.72E-15,7.16E-15,1.46E-14,5.80E-15,1.69E-15,5.80E-15,5.80E-15,1.69E-15,1.69E-15,0.00E+00,1.69E-15,5.80E-15
AT0115,9.54E-15,6.59E-15,6.53E-15,1.47E-14,5.63E-15,1.60E-15,5.63E-15,5.63E-15,1.60E-15,1.60E-15,0.00E+00,1.60E-15,5.63E-15
AT0116,1.05E-14,8.19E-15,4.57E-15,1.30E-14,5.54E-15,1.95E-15,5.54E-15,5.54E-15,1.95E-15,1.95E-15,0.00E+00,1.95E-15,5.54E-15
AT0117,4.62E-14,3.21E-14,2.22E-14,6.09E-14,1.94E-14,9.57E-15,1.94E-14,1.94E-14,9.57E-15,9.57E-15,0.00E+00,9.57E-15,1.94E-14
AT0118,2.35E-14,1.91E-14,1.74E-14,3.58E-14,1.14E-14,3.56E-15,1.14E-14,1.14E-14,3.56E-15,3.56E-15,0.00E+00,3.56E-15,1.14E-14
AT0119,3.30E-15,2.35E-15,2.02E-15,5.09E-15,1.69E-15,6.96E-16,1.69E-15,1.69E-15,6.96E-16,6.96E-16,0.00E+00,6.96E-16,1.69E-15
AT0120,8.19E-14,6.78E-14,NaN,1.13E-13,5.69E-14,1.49E-14,5.69E-14,5.69E-14,1.49E-14,1.49E-14,0.00E+00,1.49E-14,5.69E-14
AT0121,1.99E-13,9.68E-14,7.48E-14,2.86E-13,1.20E-13,6.54E-14,1.20E-13,1.20E-13,6.54E-14,6.54E-14,0.00E+00,6.54E-14,1.20E-13
AT0122,7.86E-15,5.66E-15,3.16E-15,1.01E-14,3.64E-15,1.87E-15,3.64E-15,3.64E-15,1.87E-15,1.87E-15,0.00E+00,1.87E-15,3.64E-15
AT0123,5.55E-15,3.98E-15,2.30E-15,6.84E-15,2.78E-15,1.12E-15,2.78E-15,2.78E-15,1.12E-15,1.12E-15,0.00E+00,1.12E-15,2.78E-15
AT0124,3.23E-15,2.10E-15,1.16E-15,4.58E-15,2.65E-15,5.72E-16,2.65E-15,2.65E-15,5.72E-16,5.72E-16,0.00E+00,5.72E-16,2.65E-15
AT0125,5.68E-15,3.32E-15,3.77E-15,9.31E-15,2.89E-15,1.26E-15,2.89E-15,2.89E-15,1.26E-15,1.26E-15,0.00E+00,1.26E-15,2.89E-15
AT0126,2.23E-15,1.19E-15,8.89E-16,3.60E-15,1.34E-15,7.04E-16,1.34E-15,1.34E-15,7.04E-16,7.04E-16,0.00E+00,7.04E-16,1.34E-15
AT0127,2.19E-13,2.00E-13,1.29E-13,3.96E-13,NaN,3.86E-14,NaN,NaN,3.86E-14,3.86E-14,0.00E+00,3.86E-14,NaN
AT0128,1.15E-15,7.62E-16,7.18E-16,2.07E-15,6.16E-16,2.67E-16,6.16E-16,6.16E-16,2.67E-16,2.67E-16,0.00E+00,2.67E-16,6.16E-16
AT0129,1.51E-15,9.02E-16,6.91E-16,2.22E-15,1.19E-15,2.85E-16,1.19E-15,1.19E-15,2.85E-16,2.85E-16,0.00E+00,2.85E-16,1.19E-15
AT0130,7.71E-15,5.64E-15,4.26E-15,1.05E-14,4.05E-15,1.36E-15,4.05E-15,4.05E-15,1.36E-15,1.36E-15,0.00E+00,1.36E-15,4.05E-15
AT0201,6.31E-14,5.41E-14,2.64E-14,8.54E-14,4.26E-14,NaN,4.26E-14,4.26E-14,NaN,NaN,0.00E+00,NaN,4.26E-14
AT0202,2.72E-14,2.28E-14,2.14E-14,4.43E-14,1.02E-14,4.62E-15,1.02E-14,1.02E-14,4.62E-15,4.62E-15,0.00E+00,4.62E-15,1.02E-14
AT0203,1.12E-15,1.24E-15,1.14E-15,3.13E-15,7.54E-16,2.78E-16,7.54E-16,7.54E-16,2.78E-16,2.78E-16,0.00E+00,2.78E-16,7.54E-16
AT0701,5.32E-16,5.21E-16,5.28E-16,1.41E-15,3.34E-16,1.65E-16,3.34E-16,3.34E-16,1.65E-16,1.65E-16,0.00E+00,1.65E-16,3.34E-16
AT0702,8.11E-16,7.01E-16,6.54E-16,1.52E-15,3.67E-16,1.11E-16,3.67E-16,3.67E-16,1.11E-16,1.11E-16,0.00E+00,1.11E-16,3.67E-16
AT0703,NaN,NaN,2.39E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT0704,6.79E-16,6.87E-16,4.92E-16,1.53E-15,5.23E-16,1.34E-16,5.23E-16,5.23E-16,1.34E-16,1.34E-16,0.00E+00,1.34E-16,5.23E-16
AT0705,3.45E-16,3.02E-16,3.06E-16,7.58E-16,1.73E-16,6.98E-17,1.73E-16,1.73E-16,6.98E-17,6.98E-17,0.00E+00,6.98E-17,1.73E-16
AT0706,9.47E-16,8.89E-16,8.16E-16,2.07E-15,5.06E-16,2.30E-16,5.06E-16,5.06E-16,2.30E-16,2.30E-16,0.00E+00,2.30E-16,5.06E-16
AT0707,1.86E-15,1.48E-15,1.09E-15,2.81E-15,6.91E-16,3.43E-16,6.91E-16,6.91E-16,3.43E-16,3.43E-16,0.00E+00,3.43E-16,6.91E-16
AT0708,5.88E-16,5.01E-16,4.12E-16,NaN,2.93E-16,8.05E-17,2.93E-16,2.93E-16,8.05E-17,8.05E-17,0.00E+00,8.05E-17,2.93E-16
AT0709,1.59E-16,1.58E-16,1.67E-16,3.91E-16,8.42E-17,2.24E-17,8.42E-17,8.42E-17,2.24E-17,2.24E-17,0.00E+00,2.24E-17,8.42E-17
AT0710,5.95E-16,4.56E-16,1.92E-16,NaN,2.74E-16,8.64E-17,2.74E-16,2.74E-16,8.64E-17,8.64E-17,0.00E+00,8.64E-17,2.74E-16
AT0711,1.77E-15,1.23E-15,1.62E-15,3.67E-15,7.43E-16,2.08E-16,7.43E-16,7.43E-16,2.08E-16,2.08E-16,0.00E+00,2.08E-16,7.43E-16
AT0712,5.51E-16,5.46E-16,3.39E-16,1.29E-15,4.08E-16,1.89E-16,4.08E-16,4.08E-16,1.89E-16,1.89E-16,0.00E+00,1.89E-16,4.08E-16
AT0713,2.56E-16,1.61E-16,2.38E-16,5.03E-16,9.16E-17,2.98E-17,9.16E-17,9.16E-17,2.98E-17,2.98E-17,0.00E+00,2.98E-17,9.16E-17
AT0714,2.59E-15,2.23E-15,2.19E-15,NaN,1.40E-15,2.77E-16,1.40E-15,1.40E-15,2.77E-16,2.77E-16,0.00E+00,2.77E-16,1.40E-15
AT0715,1.05E-15,9.14E-16,1.06E-15,2.33E-15,4.90E-16,1.36E-16,4.90E-16,4.90E-16,1.36E-16,1.36E-16,0.00E+00,1.36E-16,4.90E-16
AT0716,1.45E-15,1.12E-15,1.02E-15,2.87E-15,6.46E-16,1.74E-16,6.46E-16,6.46E-16,1.74E-16,1.74E-16,0.00E+00,1.74E-16,6.46E-16
AT0717,8.11E-16,5.66E-16,5.46E-16,1.51E-15,3.28E-16,1.26E-16,3.28E-16,3.28E-16,1.26E-16,1.26E-16,0.00E+00,1.26E-16,3.28E-16
AT0718,5.30E-16,5.14E-16,3.26E-16,1.36E-15,5.79E-16,7.75E-17,5.79E-16,5.79E-16,7.75E-17,7.75E-17,0.00E+00,7.75E-17,5.79E-16
AT0719,8.91E-16,7.31E-16,7.16E-16,1.80E-15,4.02E-16,2.00E-16,4.02E-16,4.02E-16,2.00E-16,2.00E-16,0.00E+00,2.00E-16,4.02E-16
AT0721,2.00E-15,1.47E-15,8.85E-16,3.36E-15,8.19E-16,2.69E-16,8.19E-16,8.19E-16,2.69E-16,2.69E-16,0.00E+00,2.69E-16,8.19E-16
AT0722,6.98E-16,4.90E-16,4.15E-16,1.10E-15,2.52E-16,9.71E-17,2.52E-16,2.52E-16,9.71E-17,9.71E-17,0.00E+00,9.71E-17,2.52E-16
AT0723,7.10E-16,7.17E-16,7.20E-16,1.88E-15,5.25E-16,1.94E-16,5.25E-16,5.25E-16,1.94E-16,1.94E-16,0.00E+00,1.94E-16,5.25E-16
AT0724,3.84E-16,3.99E-16,5.12E-16,1.09E-15,2.26E-16,7.97E-17,2.26E-16,2.26E-16,7.97E-17,7.97E-17,0.00E+00,7.97E-17,2.26E-16
AT0725,8.32E-16,6.36E-16,5.79E-16,1.54E-15,3.46E-16,1.47E-16,3.46E-16,3.46E-16,1.47E-16,1.47E-16,0.00E+00,1.47E-16,3.46E-16
AT0726,5.83E-16,5.80E-16,5.72E-16,1.19E-15,3.06E-16,1.06E-16,3.06E-16,3.06E-16,1.06E-16,1.06E-16,0.00E+00,1.06E-16,3.06E-16
AT0801,NaN,NaN,3.08E-15,5.72E-15,1.25E-15,NaN,1.25E-15,1.25E-15,NaN,NaN,0.00E+00,NaN,1.25E-15
AT0802,NaN,NaN,1.40E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT0803,NaN,NaN,3.32E-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT0901,1.30E-15,1.30E-15,1.55E-15,NaN,7.61E-16,1.65E-16,7.61E-16,7.61E-16,1.65E-16,1.65E-16,0.00E+00,1.65E-16,7.61E-16
AT0902,3.09E-16,3.25E-16,4.27E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT0903,4.10E-16,2.66E-16,3.33E-16,7.83E-16,1.44E-16,4.79E-17,1.44E-16,1.44E-16,4.79E-17,4.79E-17,0.00E+00,4.79E-17,1.44E-16
AT0904,3.00E-16,2.31E-16,1.66E-16,5.14E-16,1.25E-16,3.81E-17,1.25E-16,1.25E-16,3.81E-17,3.81E-17,0.00E+00,3.81E-17,1.25E-16
AT0905,2.86E-16,1.98E-16,2.90E-16,6.52E-16,1.23E-16,3.44E-17,1.23E-16,1.23E-16,3.44E-17,3.44E-17,0.00E+00,3.44E-17,1.23E-16
