"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_noAF","2080",3.81966287804968e-05,7.15111420029475e-05,4.2596658828745e-05,0.000368677836422928,5.36078533398613e-05,0.000174695869679797,2.14699665800363e-05
"RCP_MFM_noAF","2090",3.90756965303761e-05,7.12891991515104e-05,4.32856291949817e-05,0.000357044716204166,5.20277354989614e-05,0.000183205151740034,2.04175972714839e-05
"RCP_MFM_noAF","2100",3.94275079505901e-05,7.10800617350661e-05,4.35593098432023e-05,0.000349106744399699,5.06952769482257e-05,0.000199474699982868,1.90984365958931e-05
"RCP_SFM_AF0","2000",4.23808658587626e-05,7.22218329001306e-05,4.63763091446362e-05,0.000185141853350947,NA,NA,3.40346900164951e-05
"RCP_SFM_AF0","2010",3.82208037914137e-05,7.1807873681008e-05,4.32244641101615e-05,0.000199872626082423,NA,NA,2.99627217212024e-05
"RCP_SFM_AF0","2020",3.49230082321068e-05,7.25904206635544e-05,4.083872364602e-05,0.000203672159710008,7.0482430402966e-05,5.63151060706097e-05,2.67886339459143e-05
"RCP_SFM_AF0","2030",3.09650845669924e-05,7.23712325612159e-05,3.68973691566134e-05,0.000207378809847224,6.51976554445108e-05,0.000174299198151774,2.36322639428943e-05
"RCP_SFM_AF0","2040",2.74323906949159e-05,7.24288956225489e-05,3.41365679391672e-05,0.000241085432883426,6.28154152657485e-05,0.000160308001438318,2.0168843610142e-05
"RCP_SFM_AF0","2050",2.65234369182035e-05,7.19088117605163e-05,3.30644391078668e-05,0.000265692907518976,5.87703602905294e-05,0.000163983784599176,1.86609687513499e-05
"RCP_SFM_AF0","2060",2.69578488518823e-05,7.20214052445383e-05,3.3066345199995e-05,0.000274190599625038,5.72603364804264e-05,0.000187778989166235,1.83346655419309e-05
"RCP_SFM_AF0","2070",2.91675611690096e-05,7.09092612069181e-05,3.45977597033529e-05,0.000289810911592995,5.41965514763793e-05,0.000179304476983171,1.90086208460007e-05
"RCP_SFM_AF0","2080",2.95622200919997e-05,7.04259224355393e-05,3.47037143693597e-05,0.000308320858691951,5.33826460237737e-05,0.000173631132224074,1.83271440353831e-05
"RCP_SFM_AF0","2090",2.90676225068872e-05,7.00952479415155e-05,3.41030301109238e-05,0.000335761888642929,5.23035842705374e-05,0.000182031875060027,1.71040881527121e-05
