"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem_EU","For_Selective_im","For_Agroforestry","For_TimberPlant","For_RIL","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0704",35.080947864,5.91727706529,0.105619439,0.00637148,25.04224835671,0,0,0.004689001,0,0,0,0,0,0,0,0,2.65607288935061,1.00718366532519,0.341485967324205
"RCP_MFM_AF0","AA0705",12.882434398,1.61315967138,0.117252976,0.050683791,7.78693695262,0,0,0.003718005,0,0,0,0,0,0,0,0,2.19479718321332,0.83334119923952,0.282544619547161
"RCP_MFM_AF0","AA0706",33.63888951958,6.14742651837,0.002271435,0.04589036,23.30681935363,0.00848602158,0,0.002858006,0,0,0,0,0,0,0,0,2.73502228048165,1.03813538576017,0.351980158758174
"RCP_MFM_AF0","AA0707",44.033733592422,4.57638369857,0.667068219,0.053878144,37.93733504343,0.007637419422,0,0.001202962,0,0,0,0,0,0,0,0,0.525820890319587,0.197458756526074,0.0669484591543392
"RCP_MFM_AF0","AA0708",2.54244178528,1.49501159038,0.014777377,0.144809426,0.62695711462,0.07561045228,0,0,0,0.002350176,0,0,0,0,0.002350176,0,0.138513797425102,0.0100860163598029,0.0319756592150948
"RCP_MFM_AF0","AA0709",22.385187903,6.20199679319,0.00311725,0.001692514,14.43916900981,0,0,0.002211296,0,0,0,0,0,0,0,0,1.15203192187339,0.436853715864723,0.148115402261883
"RCP_MFM_AF0","AA0801",5.02413722747,0.79041633209,0.030411522,0.689011488,2.91234152891,0.08630283947,0,0.001011317,0,0,0,0,0,0,0,0,0.341191525848275,0.129532601250965,0.0439180729007599
"RCP_MFM_AF0","AA0802",24.075378214,6.1192975356,0.389012275,0.533894837,16.6502640974,0,0,0.000486161,0,0,0,0,0,0,0,0,0.260639341113211,0.0909480121576701,0.0308359547291189
"RCP_MFM_AF0","AA0803",31.99420670092,4.20550962896,2.432393533,0.523207966,20.08679331904,0.05108584992,0,0.004123104,0,0,0,0,0,0,0,0,3.10993290621834,1.18080728024373,0.400353113537938
"RCP_MFM_AF0","AA1001",1.291812533,0.09293696377,0.029904756,0.019700859,0.25445912823,0,0,1.51e-05,0,0,0,0,0,0,0,0,0.593199390515407,0.225231513536262,0.0763648219483308
"RCP_MFM_AF0","AA1002",1.27540612248,0.8759980522,0.00473695,0.036399178,0.1082574438,0.00687367748,0,0,0,0.0015506895,0,0,0,0,0.0015506895,0,0.181841977491874,0.0127644358264496,0.0454330286816767
"RCP_MFM_AF0","AA1003",3.596373257,0.80475966004,0.011136932,0.599715914,1.55264766696,0,0,0.001320638,0,0,0,0,0,0,0,0,0.415540344518035,0.157762628242974,0.0534894732389913
"RCP_MFM_AF0","AA1201",13.074218754422,4.51245267088,0.297229487,0.526422631,4.70518855312,0.007637419422,0,5.19e-06,0,0,0,0,0,0,0,0,2.00559285514104,0.761502323710156,0.258187624148802
"RCP_MFM_AF0","AA1202",11.083715884985,2.52619218625,0.886901845,0.589549353,3.41438543375,0.003139827985,0,0.000438826,0,0,0,0,0,0,0,0,2.42866967719816,0.921876270100245,0.312562465701596
"RCP_MFM_AF0","AA1203",5.722342095666,1.30130878893,1.162801299,0.4149221,2.50102723807,0.029361634666,0,0.000412953,0,0,0,0,0,0,0,0,0.210777656279339,0.0759720694912865,0.0257583562293749
"RCP_MFM_AF0","AA1204",1.03989488628,0.05100856047,0.049306626,0.000213273,0.22995264753,0.00364898928,0,0.000941587,0,0,0,0,0,0,0,0,0.467259150335998,0.177412338440216,0.0601517142237862
"RCP_MFM_AF0","AA1205",1.571284475,0.01947387743,0.441238294,0.00109801,0.56334228057,0.15334241,0,0.000547768,0,0,0,0,0,0,0,0,0.260034341577359,0.0987322800078851,0.033475213414756
"RCP_MFM_AF0","AA1206",2.32746679264,0.30490836579,0.556966279,0.041231175,1.20773474421,0.11939832364,0,1e-04,0,0,0,0,0,0,0,0,0.0643903545511999,0.0244483343115078,0.00828921613729231
"RCP_MFM_AF0","AA1207",18.95774195349,3.76704201658,1.307352601,1.159366266,11.56759147542,0.05524400049,0,0.000493231,0,0,0,0,0,0,0,0,0.729705271158771,0.277022513562811,0.0939245782784176
"RCP_MFM_AF0","AA1208",2.640262452158,0.2510384673,0.305074943,0.063590523,1.6124802987,0.000848602158,0,0.0005285,0,0,0,0,0,0,0,0,0.269620035399604,0.102371866228639,0.0347092163717567
"RCP_MFM_AF0","AA1209",16.110445485653,3.52995983312,3.161493409,1.130516071,6.79976621288,0.004582451653,0,0.001133804,0,0,0,0,0,0,0,0,0.983141666627703,0.373288457701761,0.126563579670535
"RCP_MFM_AF0","AA1210",4.72748874966,0.20735795059,1.062608772,0.042464186,1.72175498141,0.04115720466,0,0.002191957,0,0,0,0,0,0,0,0,1.09385853102191,0.415290709442568,0.140804457535521
"RCP_MFM_AF0","AA1301",8.470108022,3.22803389426,0.014501818,0.608863403,4.58202678374,0,0,0,0,0,0,0,0,0,0,0,0.024318190592711,0.00923335890298311,0.00313057350430591
"RCP_MFM_AF0","AA1302",27.478836985638,11.2392702967,0.000372497,1.557793655,14.6002975323,0.007722279638,0,5.8e-05,0,0,0,0,0,0,0,0,0.048976705620085,0.0181815564327424,0.00616446294717263
"RCP_MFM_AF0","AA1303",15.342649343,6.4458795714,0,2.187634727,6.7014138786,0,0,0,0,0,0,0,0,0,0,0,0.00511870009230272,0.00194351610531131,0.000658949802385965
"RCP_MFM_AF0","AA1304",79.748181852322,26.9223685943,0.001511018,1.942031282,50.6569549797,0.006025075322,0,0.000193087,0,0,0,0,0,0,0,0,0.145475776526752,0.0549807853385979,0.0186412541346504
"RCP_MFM_AF0","AA1305",41.449841027,17.1869440845,0.048270764,5.323273847,18.8268914335,0,0,1.74e-05,0,0,0,0,0,0,0,0,0.0432097118434865,0.0158573471605765,0.00537643899593708
"RCP_MFM_AF0","AA1306",19.243672672,8.1643088672,0.005173058,2.092280066,8.9368838728,0,0,2.11e-07,0,0,0,0,0,0,0,0,0.0299802759484693,0.0112365611410484,0.00380975991048226
"RCP_MFM_AF0","AA1307",17.687121303334,6.439475047,3.14e-07,1.433132208,9.793610142,0.014680817334,0,3.03e-06,0,0,0,0,0,0,0,0,0.00412334216174078,0.00156558926183293,0.000530813576426293
"RCP_MFM_AF0","AA1308",29.969797854,5.3414064078,0.167144468,0.142158042,24.2768090242,0,0,3.88e-06,0,0,0,0,0,0,0,0,0.0371792432780995,0.00380627117422932,0.00129051754767118
"RCP_MFM_AF0","AA1309",24.78619463201,8.6474844426,0.678460029,1.038994529,14.3492602264,0.02045131201,0,5.09e-05,0,0,0,0,0,0,0,0,0.0370791500469838,0.0107643771774222,0.00364966577559395
"RCP_MFM_AF0","AA1310",44.239686838,16.9625141003,0.0175462,5.527033613,21.4668945657,0,0,0,0,0,0,0,0,0,0,0,0.176143112936308,0.0668796707480822,0.0226755753156097
"RCP_MFM_AF0","AA1401",1.44226783595,0.90813163505,0.005055832,0.080956114,0.13347009395,0.02121505395,0,0,0,0.002437461,0,0,0,0,0.002437461,0,0.217167077682785,0.0149466273226495,0.0564504799945652
"RCP_MFM_AF0","AT0101",10.4598874461143,1.92696072984,1.277797177,0.429123369,2.04287849916,0.51892021968,0,0,0,0.0004063525,0,0,0,0,0.0004063525,0,2.30393909560512,1.10663645419139,0.852819196637785
"RCP_MFM_AF0","AT0102",18.7413206828948,2.38623121086,0.499235969,0.829827389,1.14648718014,0.2201273998,0,0,0,0.000321802,0,0,0,0,0.000321802,0,8.59431181403898,5.00001183350954,0.0644442825462861
"RCP_MFM_AF0","AT0103",4.15749285347564,0.30567619869,0.280433582,0.083512925,0.79242355031,0.3054967769,0,0,0,0.003029608,0,0,0,0,0.003029608,0,1.47191809968372,0.691195881793878,0.220776623098045
"RCP_MFM_AF0","AT0104",36.5068222496263,19.31221996264,1.635034719,0.460263229,0.71170605736,0.02384572064,0,0,0,0.0471677175,0,0,0,0,0.0471677175,0,9.02714211674657,5.18097027137529,0.0613047378644306
"RCP_MFM_AF0","AT0105",0.109012456183,0,0,0.020210065,0,0.018160086183,0,0,0,0,0,0,0,0,0,0,0.0664663861156935,0.00214155131058871,0.00203436757371777
"RCP_MFM_AF0","AT0106",2.07401596629184,0.03275067586,0.668150153,0.210373293,0.08950332414,0.04124206488,0,0,0,0.0039829045,0,0,0,0,0.0039829045,0,0.513547407582148,0.0962231220224486,0.414260116807248
"RCP_MFM_AF0","AT0107",5.4214823557621,0.27189887154,0.537978216,0.031523187,0.50714654846,0.209095571696,0,0,0,0.0040677395,0,0,0,0,0.0040677395,0,2.25823671377422,1.1062627268609,0.491205041430986
"RCP_MFM_AF0","AT0108",6.93716902986593,0.42768914092,0.896324268,0.354237602,3.79564871208,0.45069260609,0,0,0,0.0003384325,0,0,0,0,0.0003384325,0,0.414925662423574,0.0838961721861412,0.513078001166219
"RCP_MFM_AF0","AT0109",2.50268936229,0.15024456322,0.157086118,0.131405144,0.96404195578,0.02842817229,0,0,0,0.0001492265,0,0,0,0,0.0001492265,0,0.413674228402849,0.090408336709576,0.567102390887575
"RCP_MFM_AF0","AT0110",6.68918912233884,3.22474413202,0.226020559,0.079402815,0.09687362798,0.08138094696,0,0,0,0.012364923,0,0,0,0,0.012364923,0,1.87554008141719,1.06786145630958,0.012635657652058
"RCP_MFM_AF0","AT0111",18.8047497417351,2.82394451242,3.300451062,4.464270112,3.69532636358,0.1213501086,0,0,0,0.0205485975,0,0,0,0,0.0205485975,0,2.18541311331142,0.409578500749486,1.76331877407424
