"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_SFM_noAF","NT0905",2050,0,0,0,0,2.09669356e-06,2.207818633e-06,1.0990491393462e-05,0,0,0,0,0,3.792585e-08,0,0,0,0,0,0,0,1.67785e-10,0,0,0,0,6.68481421812638e-08,0,7.48627651415114e-08
"RCP_SFM_noAF","NT0906",2050,0,0,0,0,8.0315488e-08,1.380675443e-07,8.46781521019e-07,4.6588258401e-09,0,0,0,0,6.72843105e-09,0,0,0,0,0,0,8.04779550000001e-10,2.97675e-12,0,0,0,0,7.50103352760848e-08,0,3.35886599302267e-08
"RCP_SFM_noAF","NT0907",2050,0,0,0,0,9.3254719965e-06,1.1560967365e-06,3.1776633939621e-05,0,0,0,0,0,4.13602884200001e-08,0,0,0,0,0,0,1.81417714044e-06,1.146229e-10,0,0,0,0,1.5438800252627e-06,0,2.41896981480341e-06
"RCP_SFM_noAF","NT0908",2050,0,0,0,0,9.8570195547e-06,8.418807126e-07,6.336966010512e-06,1.15117974364e-06,0,2.31371616e-08,0,0,7.43902980000001e-10,0,0,0,0,0,0,9.4926487986e-07,5.36302449e-09,0,0,0,0,8.56928095916438e-07,0,1.12983376150705e-06
"RCP_SFM_noAF","NT0909",2050,0,0,0,0,2.0956470648e-06,3.923892297e-06,7.328493941772e-06,2.084166900048e-07,0,4.07469634e-08,0,0,5.03479905000001e-09,0,0,0,0,0,0,1.23838297716e-06,4.6763532e-09,0,0,0,0,9.53022398842395e-07,0,2.14356394899296e-06
"RCP_SFM_noAF","NT1001",2050,0,0,0,0,4.289347179e-07,1.37182723e-06,7.409757528572e-05,4.8459426234e-07,0,4.2645161e-09,0,0,7.6555e-10,0,0,0,0,0,0,0,6.99669999999999e-12,0,0,0,0,1.82267129020863e-07,0,2.60569680489157e-07
"RCP_SFM_noAF","NT1002",2050,0,0,0,0,4.340447952e-06,5.9637919782e-06,0.000122062309937901,8.667707303853e-07,0,7.484414928e-08,0,0,5.37632e-10,0,0,0,0,0,0,1.095033424e-07,5.4272e-11,0,0,0,0,6.91171090128631e-07,0,1.57608754560324e-06
"RCP_SFM_noAF","NT1003",2050,0,0,0,0,7.490434752e-06,2.50949171964e-05,0.000180334264070816,2.71040134882e-06,0,0,0,0,1.38672e-10,0,0,0,0,0,0,1.01306592e-08,2.6784e-10,0,0,0,0,6.39983756586201e-07,0,7.99099063670433e-07
"RCP_SFM_noAF","NT1004",2050,0,0,0,NA,7.746857888e-06,3.356769216e-06,6.670676618984e-05,NA,0,0,0,0,1.098491e-08,0,0,0,0,0,0,0,4.4805e-10,0,0,0,0,1.99877434846142e-07,0,2.32218447197279e-07
"RCP_SFM_noAF","NT1005",2050,0,0,0,0,4.950234405e-06,4.097311428e-06,8.179747586208e-05,1.885084833628e-06,0,0,0,0,1.94873e-09,0,0,0,0,0,0,4.5492944e-08,1.63016e-10,0,0,0,0,7.17311240030977e-07,0,9.76113469481059e-07
"RCP_SFM_noAF","NT1006",2050,0,0,0,0,3.2491649316e-05,2.9148901374e-05,0.00034456895317295,3.461702783346e-06,0,0,0,0,4.49264288e-07,0,0,0,0,0,0,1.1737297716e-05,9.8368e-09,0,0,0,0,1.01835168413417e-06,0,1.31759502950488e-06
"RCP_SFM_noAF","NT1007",2050,0,0,0,NA,5.40865094e-07,1.944885752e-06,4.446871985166e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA
"RCP_SFM_noAF","NT1008",2050,0,0,0,0,9.75510237e-07,1.38820611123e-06,6.5310932391718e-05,1.857420403476e-07,0,3.7944e-10,0,0,6.61337043e-09,0,0,0,0,0,0,0,2.85107e-10,0,0,0,0,1.40254171419614e-07,0,2.78989231527416e-07
"RCP_SFM_noAF","NT1010",2050,0,0,0,0,4.4873212996e-06,1.1801028624e-06,0.000157214554502544,1.713836918178e-06,0,3.55459022e-08,0,0,6.7204e-11,0,0,0,0,0,0,0,3.55842e-12,0,0,0,0,6.74228994646202e-07,0,1.88154009683243e-06
"RCP_SFM_noAF","NT1201",2050,0,0,0,0,4.9903376706e-06,3.964013886e-06,7.7934075252672e-05,4.085510230195e-06,0,1.8746e-10,0,0,1.0821434204e-07,0,0,0,0,0,0,5.31547876999999e-08,1.017331e-09,0,0,0,0,9.89544987381323e-07,0,7.34324013703077e-07
"RCP_SFM_noAF","NT1301",2050,0,0,0,0,5.58213014e-07,9.58885368e-07,8.386385527542e-06,8.06299340464e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.91599e-11,0,0,0,0,1.34798337025879e-07,0,1.13556059822633e-07
"RCP_SFM_noAF","NT1303",2050,NA,NA,0,0,NA,NA,1.896187113444e-05,8.98432076672e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"RCP_SFM_noAF","NT1304",2050,0,0,0,0,6.42653756096e-05,2.288393772569e-05,0.000248309215432949,8.5506765807e-06,0,0,0,0,3.9720741606e-07,0,0,0,0,0,0,1.011168522e-08,0,0,0,0,0,7.69049914138038e-06,0,1.40650452658343e-05
"RCP_SFM_noAF","NT1305",2050,0,0,0,0,5.5902e-09,2.11942935e-06,1.24566600207e-06,1.621678724232e-05,0,0,0,0,6.1776e-11,0,0,0,0,0,0,7.6866372e-07,0,0,0,0,0,2.59123051513118e-07,0,5.99016757786791e-07
"RCP_SFM_noAF","NT1306",2050,0,0,0,0,7.507978986e-06,1.255093744e-05,3.93752440224e-06,4.3422972424e-06,0,0,0,0,1.9454832e-07,0,0,0,0,0,0,4.086759204e-06,0,0,0,0,0,9.30518067665253e-07,0,2.39198708415543e-06
"RCP_SFM_noAF","NT1307",2050,NA,NA,0,NA,NA,NA,3.20696602895917e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"RCP_SFM_noAF","NT1308",2050,0,0,0,0,2.049350337e-06,1.790648018e-06,4.5647861151627e-05,4.321251909216e-06,0,0,0,0,2.110768e-09,0,0,0,0,0,0,0,7.9998e-11,0,0,0,0,1.5946420688127e-09,0,1.51548565295891e-09
"RCP_SFM_noAF","NT1309",2050,0,0,0,0,1.97930355125e-05,1.5498286143e-05,0.000114838215411976,1.818758937393e-05,0,0,0,0,1.741875031e-07,0,0,0,0,0,0,0,1.8538e-09,0,0,0,0,2.10080788925854e-06,0,2.04686188519063e-06
"RCP_SFM_noAF","NT1312",2050,0,0,0,0,9.612391296e-06,9.34497774e-06,1.112451075186e-05,7.892000088e-08,0,0,0,0,3.1439562e-07,0,0,0,0,0,0,3.290551605e-06,0,0,0,0,0,7.63079331688214e-07,0,2.39479682681829e-06
"RCP_SFM_noAF","NT1313",2050,0,0,0,0,5.2116782736e-06,2.238812541e-06,7.43805470065e-05,4.090601842236e-06,0,0,0,0,6.6285189e-09,0,0,0,0,0,0,0,4.26407999999999e-11,0,0,0,0,1.37502062108229e-07,0,9.56669729429749e-08
"RCP_SFM_noAF","NT1314",2050,0,0,0,0,7.22841875e-07,2.821261368e-06,2.011841850913e-05,9.90318718386e-07,0,0,0,0,1.68030924e-07,0,0,0,0,0,0,0,0,0,0,0,0,8.69771188842756e-07,0,9.04777389026845e-07
"RCP_SFM_noAF","NT1315",2050,0,0,0,0,1.38187042798e-05,5.9147190432e-06,0.000187950081726774,1.2724331116283e-05,0,0,0,0,1.35e-09,0,0,0,0,0,0,0,5.718e-11,0,0,0,0,1.26096349837837e-07,0,1.07618217127762e-07
"RCP_SFM_noAF","NT1316",2050,0,0,0,0,2.8686884004e-05,1.954533966e-05,2.279978521856e-05,1.268066204758e-06,0,0,0,0,9.66326984e-07,0,0,0,0,0,0,0,0,0,0,0,0,3.37381663386509e-06,0,3.16129947972032e-06
"RCP_SFM_noAF","NT1318",2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_SFM_noAF","NT1401",2050,0,0,0,0,3.0950523424e-06,4.0079932736e-06,1.2248879264944e-05,8.246342386956e-06,0,0,0,0,5.97656563e-08,0,0,0,0,0,0,8.393919471e-07,8.18496e-11,0,0,0,0,2.31709769022795e-06,0,2.15883253912024e-06
"RCP_SFM_noAF","NT1402",2050,0,0,0,0,7.033806042e-06,1.9584665347e-05,7.01861883622e-06,1.015174275671e-05,0,0,0,0,1.603509663e-07,0,0,0,0,0,0,1.04356571634e-05,0,0,0,0,0,1.49211805472205e-06,0,3.74859958943592e-06
"RCP_SFM_noAF","NT1403",2050,0,0,0,0,1.2208421914308e-05,9.1543260224e-06,4.838956254543e-06,4.964297166855e-06,0,0,0,0,8.6506884e-07,0,0,0,0,0,0,3.2742813e-07,3.195e-13,0,0,0,0,3.80897809635375e-06,0,5.08045482114504e-06
"RCP_SFM_noAF","NT1404",2050,0,0,0,0,1.3621674313e-06,3.496881084e-07,1.245057979509e-06,3.501162783729e-07,0,0,0,0,5.93549224e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.83716489964276e-07,0,1.77738645654764e-07
"RCP_SFM_noAF","NT1405",2050,0,0,0,0,3.086088819e-06,6.036014124e-06,2.8034158484457e-05,3.995643261162e-06,0,0,0,0,9.92061386e-08,0,0,0,0,0,0,6.4754292e-07,5.20708e-10,0,0,0,0,7.18384705486547e-07,0,6.5684326456479e-07
"RCP_SFM_noAF","NT1406",2050,0,0,0,0,4.5533144475e-05,1.4017806522e-05,3.66546961709e-05,6.31716418678e-05,0,0,0,0,1.38472464e-07,0,0,0,0,0,0,2.28766512e-06,0,0,0,0,0,2.14222150306016e-06,0,3.46406290040483e-06
