"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_TimberPlant","For_SelectionSystem_EU","For_Selective_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"REF_MFM_AF25","PA0601",376.304578072139,126.341524865394,0.21932099591358,5.283209363,48.9686228317835,0.313303910473922,3.798019002,0,0.0006646827,0.0006645635,0,0,63.8311602276462,116.877144186632,10.6709434430965
"REF_MFM_AF25","PA0602",6.647540449271,3.2484977525,0,0.006836511,3.3810894975,0.011116688271,0,0,0,0,0,0,0,0,0
"REF_MFM_AF25","PA0603",12.190168939088,4.16306261497,0.001921837,0.912785351,3.25898050503,0.020875613088,0.101783012,0,0,0,0,0,1.19343241355047,2.3251612340752,0.212166358374331
"REF_MFM_AF25","PA0604",1.387749839,0.41012010222,0.000248212,0.08014961,0.39920412078,0,0.013593327,0,0,0,0,0,0.154965689089905,0.301919244686542,0.027549533223553
"REF_MFM_AF25","PA0605",98.213955537902,31.9352913535,0,3.323945543,21.0847745845,0.014511096902,1.057312578,0,0,0,0,0,13.0509097915701,25.427043244465,2.32016734596492
"REF_MFM_AF25","PA0606",39.13982579521,7.95651137863,0.01538712,0.568937909,4.51333668537,0.05159501121,0.081323336,0,0.005819453,0,0,0,9.34552686866032,15.2132125161245,1.38817551721514
"REF_MFM_AF25","PA0607",6.911087095543,0.56298791864,0.015288722,0.068307162,0.60602642636,0.066275828543,0.03623817,0,2.183e-05,0,0,0,1.78192953112596,3.45843606432613,0.315575442547911
"REF_MFM_AF25","PA0608",200.760191227618,19.5208956548199,1.96847065003153,3.475443422569,27.5222285359691,1.73895554056104,28.7153176654179,0.1078716043,0.000391758,0,4.595054014,0,27.0063628175543,55.9036456697987,30.2055538945969
"REF_MFM_AF25","PA0609",20.84965831918,2.21273598476,0.028963335,0.879865878,2.77103415824,0.03428352718,0.007424724,0,0.031906423,0.031906423,0,0,4.75360302145239,7.81131825590699,2.28661658864062
"REF_MFM_AF25","PA0610",17.44813623651,2.10177701273,0.182830567,0.338151262,2.36423182127,0.28097217451,0.248702544,0,0,0,0,0,3.86188576569303,7.39482220607312,0.674762883233855
"REF_MFM_AF25","PA0611",128.1836983837,42.0503130772,0.344559679,2.470165839,16.5802237178,0.4654582837,1.658781643,0,0,0,0,0,21.8666148827269,39.1731123308504,3.57446893042271
