"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"REF_MFM_AF0","CanadaReg","2080",0,0,0,0,0.0123642051365604,0.00994476782869294,0.0272792975206044,0.00236290721669936,0,0.00198757219011955,0,0,0,0,0,0,0,0,0,0,0,0,2.4910695709715e-05,0,0.000912534698607526,0.0085391397359908,0,8.69597171952437e-05,0,0.0123822743544142
"REF_MFM_AF0","CanadaReg","2090",0,0,0,0,0.0123756112221399,0.00993324186802707,0.0273605144853756,0.00236421810474399,0,0.00201775195607573,0,0,0,0,0,0,0,0,0,0,0,0,2.16489506841347e-05,0,0.00101888211828403,0.00839577541135945,0,9.61219296198068e-05,0,0.0127922450492419
"REF_MFM_AF0","CanadaReg","2100",0,0,0,0,0.012509644621379,0.00993648559728329,0.0276074939601445,0.00236794696003118,0,0.00203552695303497,0,0,0,0,0,0,0,0,0,0,0,0,1.97263780981684e-05,0,0.00109670099135819,0.0082843505472346,0,0.000105036367145961,0,0.0130524795963242
"REF_MFM_AF0","ChinaReg","2000",0,0,0,0,0.197067825607334,0.0664861835289799,0.254322827105398,0.0437182274711009,0,5.90948009789911e-05,0,0,3.3494813806e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0360158479444014,0,0.00480428228909653,0,0.0924386203777748
"REF_MFM_AF0","ChinaReg","2010",0,0,0,0,0.175392754119107,0.0659115889860988,0.233109261042176,0.0433638757662975,0,0.000619409285417663,0,0,0.000122634871721202,0,0,0,0,0,0,0,0,0,0,0,0.0112453038821702,0.032994616311771,0,0.00490129780176254,0,0.0921769350209383
"REF_MFM_AF0","ChinaReg","2020",0,0,0,0,0.176336291263169,0.0660432177141394,0.239988313311324,0.0435259385975888,0,0.00093880122980629,0,0,0.000146909216789809,0,0,0,0,0,0,0,0,2.60402437299462e-05,0,0,0.0132357109792974,0.0310967832754201,0,0.00528463327839774,0,0.0948308484644375
"REF_MFM_AF0","ChinaReg","2030",0,0,0,0,0.17702266474424,0.0665090489197913,0.255092579410307,0.0442152628695124,0,0.000955221433536162,0,0,0.000215262535787618,0,0,0,0,0,0,0,0,0.000224795440636359,0,0,0.0241931082253788,0.0259109022779087,0,0.00615151839666658,0,0.101930873495266
"REF_MFM_AF0","ChinaReg","2040",0,0,0,0,0.17847299867526,0.0667530013905678,0.26507352508739,0.0444939634294418,0,0.000963006097720104,0,0,0.000230457867038241,0,0,0,0,0,0,0,0,0.000226013410404362,2.57282400810059e-05,0,0.0257918794368113,0.0223948872282585,0,0.00683097230109014,0,0.107920787766926
"REF_MFM_AF0","ChinaReg","2050",0,0,0,0,0.176713284465887,0.0669043294522556,0.270916679790198,0.0446257705099193,0,0.000966665480287626,0,0,0.000234768338012243,0,0,0,0,0,0,0,0,0.000227259287300226,7.03175661526868e-05,0,0.0265123222303494,0.0196493299348292,0,0.00735836127056793,0,0.112447000099436
"REF_MFM_AF0","ChinaReg","2060",0,0,0,0,0.169034080213746,0.0670230539556918,0.276619931686648,0.0445521576355563,0,0.00106637239587682,0,0,0.000257678689789229,0,0,0,0,0,0,0,0,0.000364880692412196,9.14778233228562e-05,0,0.0270509266113473,0.0181247926120997,0,0.00752043236314294,0,0.113225068708341
"REF_MFM_AF0","ChinaReg","2070",0,0,0,0,0.157637222869298,0.0670370720572038,0.279595682881654,0.0443774990479207,0,0.00154642788706585,0,0,0.000300770928855772,0,0,0,0,0,0,0,0,0.000442717762249893,9.41281783054697e-05,0,0.027651325944658,0.0168971127798666,0,0.00758392032897042,0,0.113382602378583
"REF_MFM_AF0","ChinaReg","2080",0,0,0,0,0.144268205852209,0.0670368402437682,0.283246762153159,0.0442026971139232,0,0.00183413902482993,0,0,0.000370605377203843,0,0,0,0,0,0,0,0,0.000536079703683237,9.34026579110557e-05,0,0.0284206048346884,0.0158862430296427,0,0.00760166408609023,0,0.113693985273521
"REF_MFM_AF0","ChinaReg","2090",0,0,0,0,0.136970670777043,0.0670230626437035,0.282504238829027,0.0440675317247404,0,0.00293546179889767,0,0,0.000401820533444188,0,0,0,0,0,0,0,0,0.000615676790605218,0.000110041714365669,0,0.0293008265073334,0.0149524041621028,0,0.00769297274844147,0,0.113601674921358
"REF_MFM_AF0","ChinaReg","2100",0,0,0,0,0.121248222823199,0.06685711137343,0.283111642281682,0.0437346601296345,0,0.00405102725604432,0,0,0.000411991616080331,0,0,0,0,0,0,0,0,0.000688006185316317,0.000118003532385721,0,0.0299635245276626,0.0142352747294463,0,0.00773899908768869,0,0.113761216394102
"REF_MFM_AF0","CongoBasin","2000",0,0,0,0,0.0332381100662683,0.020027528465467,0.0681635939569314,0.135684988117045,0,0,0,0,0.00110448666077212,0,0,0,0,0,0,0,0,0,0,0,0,0.0608421562413423,0,0.0151572075513064,0,0.0171161895125451
"REF_MFM_AF0","CongoBasin","2010",0,0,0,0,0.0360743580685649,0.0201693472578953,0.0815349339854936,0.135940401700524,0,0,0,0,0.00115960911258606,0,0,0,0,0,0,0,0,0,0,0,0.00131104181829351,0.0557830974988413,0,0.0153147509001389,0,0.0200424455345044
"REF_MFM_AF0","CongoBasin","2020",0,0,0,0,0.0389133117484342,0.0203015424789204,0.0885536553356237,0.136108517391458,0,0,0,0,0.00122290814416992,0,0,0,0,0,0,0,0,0.00503564858109784,0,0,0.00196282366944983,0.0527675040896952,0,0.0155212908987555,0,0.0219232230156355
