"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"REF_MFM","AFM25",0.14204530438989,0.1035678093159,0.0561532105261815,0.0273140909967538,3.22220287015921,1.16207987906089,5.22486295652309,0.727534877193319,0.0218915066000351,0.0123053437348857,0.0113850720731379,0.00203515566000635,0.0282811017917913,0,0,0.0102565971970478,0,0.00154294797572,0.00650979760457308,0.123215042053929,0.00318828075110376,0,0,0,0.000704620528026959,0.311230586255954,0.00415308415039632,1.05513911861914
"REF_SFM","AFM25",0.141977659892188,0.1035678093159,0.0561377078903208,0.0273140909967538,3.22179507027525,1.16207987906089,5.224743793489,0.727534877193319,0.023801704157027,0.0169716551859653,0.0115053750600188,0.00243120555694627,0.0323380340564737,0,0,0.00509503259656498,0,0.00154294797572,0.00657277008702434,0.123215042053929,0.00359948676196545,0,0,0,0.000705763123175097,0.310077434646785,0.00416687227006711,1.05208743542841
"RCP2.6_MFM","AFM50",0.0143539063827569,0.103568859159065,0.0513329113066075,0.0273140909967538,1.65905679572228,1.16207788166532,2.52670629324967,0.727534877193319,0.0269808062941226,0.01684782090746,0.0111823325520884,0.00239456947326224,0.0501117540769458,0,0,0.00674940346762795,0,0.0206148341167378,0.0174632567537261,1.51745488887883,0.0393458205971015,0,0,0,8.10148188807741e-05,0.558469970461202,0.0065119651224392,1.77881814260183
"RCP2.6_SFM","AFM50",0.0138495405671505,0.103568859159065,0.0511078234759811,0.0273140909967538,1.65286530225835,1.16207788166532,2.52377866361307,0.727534877193319,0.0267313691320696,0.0225227799576078,0.0123383787343344,0.00250373122225791,0.0840984887796735,0,0,0.00111410994141525,0,0.0206148341167377,0.0186516739624232,1.51745488887883,0.0484415065519548,0,0,0,8.13052926134799e-05,0.551863223787055,0.00653605560066545,1.76018158874617
"REF_MFM","AFM50",0.14198781788938,0.1035678093159,0.0561400670152424,0.0273140909967538,3.22178005723612,1.16207987906089,5.22477461985142,0.727534877193319,0.0217365803745873,0.014596008103459,0.0112085487599608,0.00163133593829695,0.0290762656366239,0,0,0.0108377865833795,0,0.00154294797572,0.00658383058478649,0.123215042053929,0.00360983020379658,0,0,0,0.000703304369406416,0.310754010946526,0.00415010162802805,1.05419326755781
"REF_SFM","AFM50",0.141684129801837,0.1035678093159,0.0560368476804852,0.0273140909967538,3.22127424997053,1.16207987906089,5.22459042132403,0.727534877193319,0.0211451447765888,0.0229067740745432,0.0122919334242512,0.00183216762898441,0.057639597958025,0,0,0.00484286768180958,0,0.00154294797572,0.00704302282324453,0.123215042053929,0.00408243147921797,0,0,0,0.000698516452322271,0.305793996720975,0.00412580760980651,1.0394677390507
"RCP2.6_MFM","AFM75",0.0140609093785133,0.103568859159065,0.0512285818895312,0.0273140909967538,1.65692947741766,1.16207788166532,2.52567083893662,0.727534877193319,0.0249788838916436,0.0178144782725263,0.011061411556297,0.00126435801038062,0.0615837062605172,0,0,0.00884009541728205,0,0.0206148341167377,0.0180860191260533,1.51745488887883,0.042407640984833,0,0,0,8.06672375958609e-05,0.556573410246548,0.00648976859208758,1.7726450910102
"RCP2.6_SFM","AFM75",0.0135978255009593,0.103568859159065,0.0509786037312002,0.0273140909967538,1.64658442136766,1.16207788166532,2.51922418918849,0.727534877193319,0.024210543086418,0.0272661031821989,0.0133737036443553,0.00132458415850233,0.0980458539772334,0,0,0.000808589512883815,0,0.0206148341167377,0.0193158322821382,1.51745488887883,0.0578608312625594,0,0,0,7.92342841163538e-05,0.54914008422442,0.00636762367527315,1.75007749065723
"REF_MFM","AFM75",0.141876125721392,0.1035678093159,0.0561088403558327,0.0273140909967538,3.22185810664365,1.16207987906089,5.22476574037651,0.727534877193319,0.0195329413819525,0.0152865738475769,0.0110839851133677,0.000899936118147074,0.0367567211727887,0,0,0.0125273284094129,0,0.00154294797572,0.00673107022240651,0.123215042053929,0.00360889724564193,0,0,0,0.000696571573151837,0.309511245558263,0.00411534230585847,1.05125099567693
"REF_SFM","AFM75",0.140887104025718,0.1035678093159,0.0559730729724604,0.0273140909967538,3.21889136629639,1.16207987906089,5.22407893011511,0.727534877193319,0.0159038949732794,0.0321372368174185,0.0134021107925996,0.00128141925897955,0.0768693784639015,0,0,0.00546027712221326,0,0.00154294797572,0.0077442081405414,0.123215042053929,0.00648726666178771,0,0,0,0.000691371097105653,0.302419670706608,0.00408786468624858,1.02698951912785
"RCP2.6_MFM","AFM100",0.0141342909331579,0.103568859159065,0.0511706603374335,0.0273140909967538,1.65315580816441,1.16207788166532,2.52388909897966,0.727534877193319,0.0222565236639064,0.0208247522622779,0.0110037813947576,0,0.0652917987507131,0,0,0.0111507041666353,0,0.0206148341167378,0.0183363243350967,1.51745488887883,0.047919436537133,0,0,0,8.04446549919621e-05,0.5547957269142,0.00647353799850887,1.77023004171179
"RCP2.6_SFM","AFM100",0.0133827478672925,0.103568859159065,0.0508476015293672,0.0273140909967538,1.64350764179975,1.16207788166532,2.51667047372749,0.727534877193319,0.0212873346720621,0.0308598779196842,0.0150489610510336,0,0.120788905718557,0,0,0.000480386140319847,0,0.0206148341167377,0.0200514856022814,1.51745488887883,0.0633855115900389,0,0,0,7.7435644596134e-05,0.545044211315981,0.00624265657683078,1.73632065411784
"REF_MFM","AFM100",0.141621962033346,0.1035678093159,0.0560812027995078,0.0273140909967538,3.22126756349237,1.16207987906089,5.22452539519527,0.727534877193319,0.0170394808667814,0.0191112053609121,0.0110322159547173,0,0.0445945166407091,0,0,0.0143451370222806,0,0.00154294797572,0.00697721362601955,0.123215042053929,0.00422549042146339,0,0,0,0.000693879471586568,0.307891337078829,0.00409756746369034,1.04665614002057
"REF_SFM","AFM100",0.14031984912546,0.1035678093159,0.0559283635159042,0.0273140909967538,3.21607325156173,1.16207987906089,5.22295634117392,0.727534877193319,0.012837831080683,0.0399325338407596,0.0150839354595749,0,0.106224720964721,0,0,0.00495939928674548,0,0.00154294797572,0.00822972527848416,0.123215042053929,0.00949318010895235,0,0,0,0.000679549393223781,0.297985224662937,0.00401617234090576,1.01058086519111
